Date,Date_Name,Cidade de Deus,Galeao Airport,Santos Dumont Airport,Industrial Area,Pedra de Guaratiba,Copacabana,Ipanema,Centro,Cidade Nova,Barra da Tijuca,Campo Grande
275,"Oct 3, 2019",-0.126,-0.402,-0.16,-0.533,0.03,0.25,0.293,0.153,-0.068,0.007,-0.179
276,"Oct 4, 2019",-0.099,-0.061,-0.64,-0.308,0.121,-0.196,-0.151,-0.076,-0.255,0.012,-0.106
277,"Oct 5, 2019",0.131,-0.206,-0.016,-0.176,0.212,0.384,0.432,0.065,-0.003,0.054,0.055
278,"Oct 6, 2019",0.293,0.21,0.609,0.173,-0.308,0.294,-0.107,-0.119,0.018,0.151,0.29
279,"Oct 7, 2019",,-0.504,-0.604,-0.439,-0.843,-0.781,-0.849,-0.63,-0.721,-0.726,
280,"Oct 8, 2019",,,,,,,,,,,
281,"Oct 9, 2019",,,,,,,,,,,
282,"Oct 10, 2019",,,,,,,,,,,
283,"Oct 11, 2019",,,,,,,,,,,
284,"Oct 12, 2019",0.071,-0.087,0.301,-0.23,-0.408,-0.283,0.515,-0.055,0.14,0.07,0.071
285,"Oct 13, 2019",-0.012,-0.231,-0.284,-0.443,-0.076,-0.119,-0.141,0.055,0.055,0.076,-0.147
286,"Oct 14, 2019",-0.022,-0.273,-0.079,-0.421,-0.142,0.406,-0.179,0.141,-0.032,0.096,-0.152
287,"Oct 15, 2019",,-0.143,0.269,-0.022,-0.328,0.159,-0.129,0.242,-0.081,-0.34,0.041
288,"Oct 16, 2019",-0.262,-0.177,-0.137,-0.042,-0.368,-0.409,-0.347,-0.397,-0.296,0.023,-0.023
289,"Oct 17, 2019",-0.067,0.08,-0.057,-0.103,-0.14,-0.655,-0.794,-0.182,-0.26,-0.354,0.025
290,"Oct 18, 2019",,-0.075,,-0.105,0.081,,,,,,-0.024
291,"Oct 19, 2019",-0.093,-0.274,-0.115,0.007,-0.283,0.222,-0.163,0.019,-0.111,-0.054,-0.168
292,"Oct 20, 2019",,0.278,,,,,,,,,
293,"Oct 21, 2019",,-0.178,-0.137,,,-0.373,-0.287,0.002,,-0.51,
294,"Oct 22, 2019",,,,,,,,,,,
295,"Oct 23, 2019",,-0.304,-0.712,,,-0.337,-0.435,-0.755,-0.82,,
296,"Oct 24, 2019",0.06,0.039,-0.532,-0.171,-0.29,,-0.386,-0.161,-0.255,-0.255,0.066
297,"Oct 25, 2019",-0.137,-0.079,0.097,-0.335,-0.1,0.095,-0.098,0.1,-0.179,-0.055,-0.102
298,"Oct 26, 2019",-0.243,0.03,,-0.319,-0.802,-0.07,-0.179,-0.048,-0.195,-0.087,-0.023
299,"Oct 27, 2019",-0.159,0.159,-0.224,-0.026,-0.243,-0.01,0.131,-0.308,-0.173,0.007,0.165
300,"Oct 28, 2019",,,,-0.102,,,,,,,
301,"Oct 29, 2019",,,,,,,,,,,
302,"Oct 30, 2019",,,,,,,,,,,
303,"Oct 31, 2019",,,,,,,-0.076,,,-0.244,-0.082
304,"Nov 1, 2019",-0.081,0.009,-0.303,0.178,-0.117,-0.628,-0.777,-0.281,-0.196,-0.163,0.134
305,"Nov 2, 2019",-0.331,0.23,-0.61,0.208,-0.586,-0.851,-0.777,-0.547,-0.439,-0.427,0.225
306,"Nov 3, 2019",0.012,-0.029,,-0.228,0.167,-0.033,0.442,0.053,-0.047,-0.011,-0.055
307,"Nov 4, 2019",-0.318,-0.388,-0.561,,-0.172,0.063,0.095,0.025,-0.169,-0.043,0.2
308,"Nov 5, 2019",0.042,-0.135,,-0.323,-0.265,-0.315,0.388,0.067,-0.018,0.027,-0.044
309,"Nov 6, 2019",,,,,,,,,,,
310,"Nov 7, 2019",,,,-0.176,-0.302,,,,,0.016,-0.054
311,"Nov 8, 2019",,-0.134,,-0.033,,-0.198,,-0.458,-0.025,0.078,-0.097
312,"Nov 9, 2019",,,,,,,,,,,0.378
313,"Nov 10, 2019",,,,-0.169,,,,,,,0.552
314,"Nov 11, 2019",,,,,,,,,,,
315,"Nov 12, 2019",,,,,,,,,,,
316,"Nov 13, 2019",,0.105,,0.107,0.053,,,0.077,,0.041,0.178
317,"Nov 14, 2019",,,,,,,,,,,
318,"Nov 15, 2019",,,,,,,,,,,
319,"Nov 16, 2019",,,,,,,,,,,
320,"Nov 17, 2019",,0.1,-0.357,0.104,-0.568,-0.234,0.083,0.053,-0.026,-0.184,
321,"Nov 18, 2019",,-0.322,-0.719,-0.042,0.009,-0.366,0.095,0.059,-0.025,-0.133,0.035
322,"Nov 19, 2019",,,,,,,,,,,
323,"Nov 20, 2019",,,,,,,,,,,
324,"Nov 21, 2019",,,-0.26,0.474,-0.378,0.169,-0.119,0.071,0.033,-0.223,-0.009
325,"Nov 22, 2019",0.08,-0.275,0.233,0.264,0.236,0.055,0.084,0.112,-0.121,0.012,-0.054
326,"Nov 23, 2019",,,,,,,,,,,
327,"Nov 24, 2019",,,,,,,,,,,
328,"Nov 25, 2019",0.042,-0.449,-0.155,-0.083,-0.302,-0.324,-0.343,-0.186,-0.017,-0.051,-0.167
329,"Nov 26, 2019",,-0.205,-0.742,-0.268,-0.61,-0.721,-0.721,-0.5,-0.608,-0.708,
330,"Nov 27, 2019",,,,,,0.284,0.641,,,,
331,"Nov 28, 2019",,,,,,,,,,,
332,"Nov 29, 2019",,,,,,,,,,,
333,"Nov 30, 2019",-0.276,-0.025,-0.395,0.196,-0.576,-0.507,-0.647,-0.459,-0.475,-0.104,-0.116
334,"Dec 1, 2019",,,,,,,,,,,
335,"Dec 2, 2019",,,,-0.757,,,-0.175,,,0.182,0.292
336,"Dec 3, 2019",,-0.645,-0.036,-0.247,-0.771,-0.123,-0.119,0.057,-0.017,-0.022,
337,"Dec 4, 2019",,,,,,,,,,,
338,"Dec 5, 2019",,0.093,,-0.191,,-0.202,-0.008,-0.32,-0.035,-0.006,0.008
339,"Dec 6, 2019",,,,,,,,,,,
340,"Dec 7, 2019",,,,,,,,,,,
341,"Dec 8, 2019",0.12,-0.086,0.074,-0.174,0.243,0.074,0.412,0.142,0.21,0.113,0.056
342,"Dec 9, 2019",0.308,0.099,-0.232,0.2,0.405,0.056,-0.018,0.062,0.064,0.04,0.238
343,"Dec 10, 2019",,,,,,,,,,,
344,"Dec 11, 2019",,,,,,,,,,,
345,"Dec 12, 2019",,,,,,,,,,,
346,"Dec 13, 2019",,,,,,,,,,,
347,"Dec 14, 2019",,,,,,,,,,,
348,"Dec 15, 2019",0.042,-0.226,-0.39,0.115,,-0.637,-0.644,-0.584,-0.652,-0.347,0.067
349,"Dec 16, 2019",-0.058,-0.301,-0.208,0.045,-0.039,0.006,0.398,0.027,0.05,0.037,-0.134
350,"Dec 17, 2019",-0.182,-0.307,-0.068,0.045,-0.222,0.275,0.303,0.229,0.183,0.082,-0.208
351,"Dec 18, 2019",,,,0.016,-0.504,,,0.033,,-0.092,-0.147
352,"Dec 19, 2019",,,,,,,,,,,
353,"Dec 20, 2019",,,,,,,,,,,
354,"Dec 21, 2019",,,,-0.388,-0.006,-0.347,0.112,,,0.025,-0.164
355,"Dec 22, 2019",,,,,,,,,,,
356,"Dec 23, 2019",,,,,,,,,,,
357,"Dec 24, 2019",,,,,,,,,,,
358,"Dec 25, 2019",,,0.162,0.203,0.61,-0.1,0.022,0.089,,-0.246,0.275
359,"Dec 26, 2019",0.133,-0.192,-0.088,-0.149,0.054,0.023,0.244,0.003,0.032,-0.05,-0.071
360,"Dec 27, 2019",-0.149,-0.35,-0.437,-0.43,-0.135,-0.353,-0.337,-0.266,-0.345,-0.289,-0.146
361,"Dec 28, 2019",-0.237,-0.202,-0.067,-0.281,-0.282,-0.15,-0.26,0.116,-0.26,0.054,-0.267
362,"Dec 29, 2019",-0.121,-0.317,-0.281,0.058,0.092,0.136,0.179,0.012,-0.044,0.045,-0.035
363,"Dec 30, 2019",0.287,-0.147,0.594,0.404,0.413,0.273,0.033,0.105,-0.033,0.088,0.195
364,"Dec 31, 2019",0.031,0,0.073,0.018,0.09,-0.335,-0.059,-0.011,0.094,0.07,0.024
365,"Jan 1, 2020",0.016,-0.268,-0.324,-0.329,0.128,0.219,0.511,-0.01,0.123,0.165,-0.025
366,"Jan 2, 2020",,,,,,0.523,0.641,,,,
367,"Jan 3, 2020",0.038,,0.005,-0.354,-0.234,0.228,0.261,0.005,0.002,0.008,0.019
368,"Jan 4, 2020",-0.511,,,,,,,,,,0.054
369,"Jan 5, 2020",,,,,,,,,,,
370,"Jan 6, 2020",,,,,,,,,,,
371,"Jan 7, 2020",-0.118,-0.228,0.472,-0.288,,0.19,0.231,0.097,0.26,0.125,-0.272
372,"Jan 8, 2020",,,0.005,,,-0.113,0.09,0.026,,,
373,"Jan 9, 2020",,,,,,,,,,,
374,"Jan 10, 2020",0.089,0.1,0.203,0.069,0.229,-0.138,-0.056,-0.049,-0.025,-0.023,0.086
375,"Jan 11, 2020",0.038,0.201,-0.267,-0.059,0.058,-0.159,-0.312,-0.367,,0.067,-0.051
376,"Jan 12, 2020",,,,,,,,,,,
377,"Jan 13, 2020",,,,,0.105,0.094,0.078,,,-0.063,0.035
378,"Jan 14, 2020",,,,,,,,,,,
379,"Jan 15, 2020",,-0.018,-0.027,0.226,0.436,0.04,0.105,0.04,-0.725,0.052,0.099
380,"Jan 16, 2020",0.062,0.03,-0.009,0.033,0.107,-0.245,-0.011,-0.081,0.18,-0.07,-0.009
381,"Jan 17, 2020",,,0.005,0.05,,,-0.179,-0.027,,,0.079
382,"Jan 18, 2020",,,,0.208,0.123,,,,,0.081,0.053
383,"Jan 19, 2020",-0.505,-0.333,-0.824,0.294,0.131,0.03,0.094,-0.732,-0.677,-0.254,0.158
384,"Jan 20, 2020",-0.083,0.111,-0.027,0.134,0.086,0.227,1.523,-0.267,-0.015,-0.084,0.087
385,"Jan 21, 2020",0.037,-0.383,-0.531,-0.178,-0.149,-0.594,0.104,-0.894,-0.905,-0.537,-0.02
386,"Jan 22, 2020",,,,-0.1,-0.056,,,,,0.13,
387,"Jan 23, 2020",,,,,,,,,,,
388,"Jan 24, 2020",,,,,,,,,,,
389,"Jan 25, 2020",-0.287,-0.258,-0.949,0.044,-0.128,-0.203,-0.368,-0.853,-0.566,-0.353,-0.117
390,"Jan 26, 2020",0.447,0.309,-0.142,0.557,0.483,0.077,0.569,0.021,0.347,0.082,0.491
391,"Jan 27, 2020",-0.011,0.035,-0.499,-0.081,-0.032,-0.073,0.254,-0.07,0.112,-0.037,0.009
392,"Jan 28, 2020",-0.15,-0.277,-0.187,-0.405,-0.208,0.165,0.059,0.047,0.014,-0.076,-0.208
393,"Jan 29, 2020",,-0.049,,,,0.251,,-0.334,,,0.086
394,"Jan 30, 2020",-0.154,-0.276,-0.679,,,0.124,0.155,-0.007,-0.032,-0.21,
395,"Jan 31, 2020",,,,,,,,,,,
396,"Feb 1, 2020",-0.001,0.086,-0.186,-0.032,-0.016,-0.119,0.303,-0.089,0.173,0.007,-0.009
397,"Feb 2, 2020",,,,,,,,,,,
398,"Feb 3, 2020",,,,0.338,,,,,,,
399,"Feb 4, 2020",,,,,,,,,,,
400,"Feb 5, 2020",,,,,,,,,,,
401,"Feb 6, 2020",,,,,,,,,,,
402,"Feb 7, 2020",,,,,,,,,,,
403,"Feb 8, 2020",-0.165,-0.212,0.35,-0.116,-0.072,0.246,0.148,0.286,0.059,0.053,-0.223
404,"Feb 9, 2020",0.06,-0.292,0.337,0.043,-0.007,0.359,0.56,0.15,0.41,0.056,-0.148
405,"Feb 10, 2020",,,,,,,,,,,
406,"Feb 11, 2020",,,,,,,,,,,
407,"Feb 12, 2020",,,,0.164,0.098,,,,,-0.001,0.057
408,"Feb 13, 2020",,,,0.509,0.041,,,,,,
409,"Feb 14, 2020",-0.371,-0.302,-0.126,-0.112,-0.423,-0.006,-0.076,0.244,0.6,-0.165,-0.211
410,"Feb 15, 2020",0.037,,,-0.014,-0.173,0.081,-0.015,,,0.057,0.194
411,"Feb 16, 2020",0.072,0.117,0.636,0.293,0.236,-0.023,0.321,0.074,0.607,-0.324,0.12
412,"Feb 17, 2020",-0.238,-0.001,0.007,-0.112,-0.019,-0.221,-0.194,-0.037,0.327,-0.03,-0.039
413,"Feb 18, 2020",-0.166,-0.344,-0.132,-0.021,0.06,0.06,0.148,0.038,-0.014,0.05,0.044
414,"Feb 19, 2020",,,,,,,0.229,,,0.122,
415,"Feb 20, 2020",-0.188,-0.29,-0.108,-0.444,-0.118,0.116,0.24,0.173,0.441,-0.056,-0.215
416,"Feb 21, 2020",0.076,-0.089,0.076,-0.046,-0.021,0.202,0.39,0.054,0.308,-0.109,0.007
417,"Feb 22, 2020",,,,,,,,,,,
418,"Feb 23, 2020",-0.002,-0.509,,0.232,-0.673,0.023,,0.057,0.792,0.067,0.053
419,"Feb 24, 2020",,0.051,0.181,0.005,-0.551,-0.242,0.122,0.057,-0.105,0.005,0.037
420,"Feb 25, 2020",,,,,,,,,,,0.146
421,"Feb 26, 2020",,,,,,,,,,,
422,"Feb 27, 2020",,,,,,,,,,,
423,"Feb 28, 2020",,,,,,,,,,,
424,"Feb 29, 2020",,,,,,,,,,,
425,"Mar 1, 2020",,,,,,,,,,,
426,"Mar 2, 2020",,,,,,,,,,,
427,"Mar 3, 2020",,,,,,,,,,,
428,"Mar 4, 2020",,,,0.045,,,,,,,
429,"Mar 5, 2020",-0.195,-0.478,-0.17,-0.509,-0.028,0.019,0.215,-0.101,-0.105,-0.178,-0.245
430,"Mar 6, 2020",-0.176,,,-0.33,,0.29,-0.279,-0.29,,-0.089,-0.149
431,"Mar 7, 2020",,,,0.075,0.071,,,,,0.304,0.007
432,"Mar 8, 2020",0.206,-0.069,0.056,0.016,0.252,-0.046,0.034,0.055,0.063,0.039,0.132
433,"Mar 9, 2020",,,,,,,,,,,
434,"Mar 10, 2020",0.01,0.032,0.004,-0.21,0.125,0.127,0.193,-0.106,0.004,-0.017,-0.086
435,"Mar 11, 2020",-0.104,-0.394,-0.204,-0.223,-0.068,0.316,-0.043,0.154,0.039,-0.015,-0.118
436,"Mar 12, 2020",0.018,-0.33,-0.315,-0.315,0.005,0.16,0.41,0.223,0.019,0.036,-0.183
437,"Mar 13, 2020",0.018,-0.294,-0.069,0.046,0.025,0.111,0.273,0.03,-0.175,0.012,-0.008
438,"Mar 14, 2020",0.069,0.038,-0.245,0.266,0.452,0.227,0.017,0.054,0.346,0.143,0.274
439,"Mar 15, 2020",-0.462,-0.189,-0.271,0.093,-0.586,-0.243,0.059,-0.086,0.069,-0.164,-0.006
440,"Mar 16, 2020",-0.259,-0.299,-0.061,,-0.037,0.054,-0.099,0.043,-0.135,-0.072,-0.225
441,"Mar 17, 2020",,,,-0.103,0.162,,,,,,
442,"Mar 18, 2020",-0.223,-0.411,0.167,-0.269,-0.089,0.063,-0.171,0.055,-0.124,-0.1,-0.163
443,"Mar 19, 2020",-0.035,0.039,0.017,0.303,-0.057,-0.073,,-0.14,-0.017,-0.149,0.071
444,"Mar 20, 2020",,,,0.081,,,,,,,0.039
445,"Mar 21, 2020",,,,,,,,,,,
446,"Mar 22, 2020",-0.049,,,0.066,0.045,,,,,0.045,0.012
447,"Mar 23, 2020",0.03,0.07,,-0.37,0.039,,,,,0.038,0.007
448,"Mar 24, 2020",-0.412,-0.221,-0.256,0.047,0.01,-0.262,0.109,-0.347,-0.087,-0.163,0.038
449,"Mar 25, 2020",0.171,0.022,-0.761,0.16,0.296,-0.194,-0.007,-0.192,0.113,-0.081,0.111
450,"Mar 26, 2020",-0.011,-0.272,-0.169,-0.392,0.06,-0.012,0.127,-0.096,0.168,-0.171,-0.149
451,"Mar 27, 2020",0.028,-0.132,-0.251,-0.553,-0.06,0.035,-0.211,0.024,0.1,-0.208,-0.215
452,"Mar 28, 2020",-0.064,-0.092,-0.267,-0.517,-0.041,0.22,0.42,0.121,0.065,-0.082,-0.196
453,"Mar 29, 2020",0.152,0.327,-0.54,-0.204,0.135,0.056,-0.028,-0.032,-0.023,-0.142,-0.039
454,"Mar 30, 2020",,,,,,,,,,,
455,"Mar 31, 2020",,,-0.475,0.833,,0.075,,-0.452,-0.012,-0.19,
456,"Apr 1, 2020",-0.162,-0.012,-0.318,-0.307,-0.068,0.072,0.122,-0.23,0.041,0.023,-0.223
457,"Apr 2, 2020",-0.132,-0.359,0.055,0.055,-0.19,0.259,0.162,0.186,0.082,-0.115,-0.162
458,"Apr 3, 2020",0.006,-0.255,-0.165,-0.274,-0.089,0.003,-0.039,0.019,0.002,-0.095,-0.088
459,"Apr 4, 2020",0.05,0.132,-0.384,0.085,0.178,0.106,0.076,-0.2,-0.224,-0.127,0.102
460,"Apr 5, 2020",,-0.23,-0.537,0.052,-0.085,0.132,-0.181,-0.593,-0.573,-0.373,-0.01
461,"Apr 6, 2020",,-0.134,-0.443,0.055,-0.437,-0.423,0.126,-0.594,-0.531,-0.337,-0.083
462,"Apr 7, 2020",-0.168,-0.298,-0.307,,-0.173,0.168,0.15,0.11,0.098,-0.194,-0.212
463,"Apr 8, 2020",,,,,,,,,,,
464,"Apr 9, 2020",,,,0.02,0.071,-0.181,-0.483,,,-0.309,-0.031
465,"Apr 10, 2020",,-0.229,0.02,0.055,,0.098,0.076,0.058,0.117,-0.011,
466,"Apr 11, 2020",,-0.212,-0.403,0.048,-0.432,-0.338,-0.037,-0.547,-0.596,-0.011,0.01
467,"Apr 12, 2020",,-0.045,,-0.225,-0.203,,-0.179,0.051,-0.405,-0.006,0.003
468,"Apr 13, 2020",-0.295,-0.123,-0.027,-0.057,-0.523,-0.395,-0.181,-0.103,-0.209,-0.181,-0.167
469,"Apr 14, 2020",0.025,-0.257,0.255,0.104,-0.584,-0.061,-0.179,0.045,-0.108,-0.12,0.002
470,"Apr 15, 2020",,,,0.113,,,,,,,
471,"Apr 16, 2020",,,,,,,,,,,
472,"Apr 17, 2020",,-0.128,0.02,-0.24,-0.06,0.098,0.171,-0.456,0.049,-0.848,-0.044
473,"Apr 18, 2020",,,,-0.098,,,,,,,
474,"Apr 19, 2020",-0.063,-0.045,-0.572,0.039,-0.657,-0.295,-0.249,-0.438,-0.43,-0.209,-0.038
475,"Apr 20, 2020",0.216,0.036,,0.301,0.392,,0.037,0.491,0.261,-0.099,0.151
476,"Apr 21, 2020",0.185,-0.097,-0.704,-0.174,0.192,-0.209,0.043,-0.154,0.207,-0.134,0.085
477,"Apr 22, 2020",-0.02,-0.373,0.007,-0.314,-0.071,-0.084,0.083,-0.058,0.041,-0.167,-0.087
478,"Apr 23, 2020",0.003,-0.167,,-0.072,-0.318,-0.131,-0.181,,,-0.102,-0.026
479,"Apr 24, 2020",0.005,-0.259,-0.365,0.067,0.075,-0.037,-0.12,-0.086,-0.103,-0.149,-0.102
480,"Apr 25, 2020",0.134,-0.304,0.394,-0.108,0.193,-0.183,0.116,0.152,0.103,-0.025,0.145
481,"Apr 26, 2020",0.358,0.069,-0.264,-0.171,0.25,-0.305,0.055,0.023,-0.024,-0.063,0.116
482,"Apr 27, 2020",0.041,-0.196,-0.817,-0.299,-0.28,-0.17,-0.238,-0.012,-0.084,-0.193,-0.021
483,"Apr 28, 2020",-0.295,-0.292,-0.768,-0.587,-0.189,-0.001,-0.279,0.128,0.238,-0.056,-0.151
484,"Apr 29, 2020",-0.195,-0.541,-0.247,-0.506,-0.016,0.085,-0.231,0.208,-0.004,-0.101,-0.18
485,"Apr 30, 2020",0.034,-0.365,-0.037,-0.272,0.267,0.053,-0.043,-0.036,0.05,-0.1,-0.038
486,"May 1, 2020",0.324,0.025,0.179,0.238,,-0.127,0.21,-0.165,0.073,-0.135,0.266
487,"May 2, 2020",-0.151,-0.582,-0.235,0.013,0.025,-0.213,0.112,-0.192,-0.059,-0.131,0.211
488,"May 3, 2020",,,,,,,,0.077,0.469,,-0.003
489,"May 4, 2020",-0.5,-0.162,-0.378,-0.484,0.003,0.03,-0.214,-0.051,-0.293,-0.289,-0.12
490,"May 5, 2020",-0.096,-0.388,-0.15,-0.32,0.134,0.068,0.045,0.018,0.008,-0.145,-0.119
491,"May 6, 2020",0.08,-0.104,0.384,-0.04,0.26,-0.105,-0.069,-0.074,0.085,-0.194,0.071
492,"May 7, 2020",,,,,,,,,,,
493,"May 8, 2020",,,,-0.007,-0.462,,,,,0.038,-0.037
494,"May 9, 2020",-0.139,-0.388,-0.025,-0.365,0.083,0.268,0.344,0.107,0.114,0.013,-0.243
495,"May 10, 2020",-0.044,-0.345,-0.016,-0.386,0.005,0.201,0.133,0.012,0.098,-0.055,-0.118
496,"May 11, 2020",0.155,-0.263,0.41,-0.108,0.446,-0.109,-0.099,-0.062,0.127,-0.111,0.079
497,"May 12, 2020",0.183,-0.024,-0.08,-0.156,0.328,-0.366,-0.164,-0.111,0.204,-0.077,0.082
498,"May 13, 2020",-0.091,-0.276,0.146,-0.153,,-0.004,-0.279,-0.04,-0.047,-0.115,-0.072
499,"May 14, 2020",,-0.253,,,,,,,,,-0.026
500,"May 15, 2020",,,,,,,,,,,
501,"May 16, 2020",,,,,,,,,,,
502,"May 17, 2020",0.217,0.084,-0.122,0.228,0.434,0.152,0.004,-0.247,0.002,-0.054,0.32
503,"May 18, 2020",-0.095,-0.378,-0.523,-0.387,-0.622,-0.431,-0.209,-0.634,-0.514,-0.11,-0.011
504,"May 19, 2020",-0.213,-0.245,-0.056,0.015,-0.191,-0.084,-0.192,0,-0.02,-0.163,-0.025
505,"May 20, 2020",-0.116,-0.569,-0.704,-0.102,0.049,0.315,-0.061,0.209,0.146,-0.101,-0.227
506,"May 21, 2020",-0.026,-0.459,-0.009,-0.4,0.12,-0.016,-0.124,0.072,0.093,-0.143,-0.086
507,"May 22, 2020",,-0.191,-0.305,,,-0.013,,-0.141,0.1,0.122,
508,"May 23, 2020",0.108,-0.189,-0.421,,0.183,-0.241,0.178,-0.1,-0.058,-0.234,-0.018
509,"May 24, 2020",,,,,,,,,,,
510,"May 25, 2020",,,,,,,,,,,
511,"May 26, 2020",-0.031,-0.553,-0.556,-0.522,-0.012,-0.116,0.161,0,0.068,-0.146,-0.195
512,"May 27, 2020",0.189,-0.365,-0.248,-0.226,0.357,0.009,0.074,0.01,0.058,-0.103,0.038
513,"May 28, 2020",0.238,0.013,0.181,0.104,0.199,-0.394,0.077,-0.187,-0.022,-0.054,0.146
514,"May 29, 2020",0.068,-0.305,-0.591,-0.391,0.196,-0.126,-0.067,-0.13,0.05,-0.197,-0.132
515,"May 30, 2020",-0.128,-0.504,-0.486,-0.557,0.161,0.067,0.211,0.067,-0.229,-0.197,-0.226
516,"May 31, 2020",0.077,-0.553,-0.41,-0.485,-0.047,0.197,-0.144,0.102,0.005,-0.176,-0.193
517,"Jun 1, 2020",0.169,-0.363,0.021,-0.165,0.254,0.09,-0.352,0.126,-0.098,-0.073,0.008
518,"Jun 2, 2020",0.263,-0.116,-0.254,0.113,0.606,0.062,0.137,-0.056,0.206,-0.084,0.206
519,"Jun 3, 2020",-0.087,-0.096,,,-0.17,,,,,-0.22,0.037
520,"Jun 4, 2020",-0.243,-0.257,-0.016,0.084,-0.193,0.006,-0.319,-0.017,-0.14,-0.178,-0.019
521,"Jun 5, 2020",0.006,-0.252,-0.528,-0.135,-0.138,-0.52,-0.015,-0.406,-0.396,-0.116,-0.07
522,"Jun 6, 2020",,,,,,,,,,,
523,"Jun 7, 2020",0.176,-0.236,-0.451,0.107,0.167,-0.085,-0.151,-0.07,0.051,-0.117,0.117
524,"Jun 8, 2020",0.015,-0.193,-0.324,-0.016,-0.461,-0.527,-0.465,-0.318,-0.182,-0.256,-0.097
525,"Jun 9, 2020",,-0.372,-0.136,-0.38,-0.225,-0.273,0.081,-0.367,-0.485,-0.195,-0.102
526,"Jun 10, 2020",,,,,,,,,,,
527,"Jun 11, 2020",,,,,,,,,,,
528,"Jun 12, 2020",-0.032,,,-0.04,0.193,,-0.324,,,-0.164,0.006
529,"Jun 13, 2020",-0.073,-0.063,,-0.047,0.091,-0.33,-0.066,-0.14,-0.14,-0.115,0.071
530,"Jun 14, 2020",0.089,-0.315,-0.451,-0.295,0.018,-0.097,-0.175,-0.13,0.106,-0.117,-0.167
531,"Jun 15, 2020",,,,-0.004,0.374,0.092,0.083,,-0.767,-0.061,-0.052
532,"Jun 16, 2020",,,,-0.187,0.051,,,,,,-0.003
533,"Jun 17, 2020",-0.652,-0.208,-0.027,-0.041,-0.539,-0.015,-0.626,0.085,-0.385,-0.257,0.055
534,"Jun 18, 2020",0.255,-0.067,-0.147,0.088,0.426,0.485,0.109,-0.086,0.426,-0.019,0.308
535,"Jun 19, 2020",,-0.181,,0.007,,,,,,,0.007
536,"Jun 20, 2020",-0.126,-0.473,-0.115,-0.587,0.047,0.108,0.217,-0.081,-0.115,-0.099,-0.219
537,"Jun 21, 2020",-0.194,-0.275,-0.414,-0.042,-0.092,0.082,-0.235,-0.108,-0.114,-0.309,-0.117
538,"Jun 22, 2020",0.125,-0.351,0.068,-0.43,0.128,0.026,-0.28,-0.02,0.017,-0.165,-0.142
539,"Jun 23, 2020",,-0.239,,0.028,0.242,-0.006,0.016,,0.018,,0.118
540,"Jun 24, 2020",,,0.793,-0.123,0.141,,0.858,-0.157,,0.119,0.104
541,"Jun 25, 2020",,-0.168,-0.094,-0.181,,,,-0.103,0.046,-0.235,-0.039
542,"Jun 26, 2020",0.018,-0.088,0.182,-0.468,0.133,0.18,-0.64,0.017,-0.135,-0.085,-0.151
543,"Jun 27, 2020",-0.046,-0.12,-0.742,-0.511,-0.629,-0.677,-0.549,-0.664,-0.543,-0.544,-0.057
544,"Jun 28, 2020",0.009,0.298,0.088,-0.054,-0.697,-0.36,0.052,-0.071,0.095,-0.211,-0.004
545,"Jun 29, 2020",,-0.159,,0.218,0.156,0.059,0.031,,,0.074,-0.087
