Date_Name,Cidade de Deus,Galeao Airport,Santos Dumont Airport,Industrial Area,Pedra de Guaratiba,Copacabana,Ipanema,Centro,Cidade Nova,Barra da Tijuca,Campo Grande
"Jan 1, 2019",0.353,0.12,0.058,0.17,0.381,0.266,0.68,-0.026,0.028,0.182,0.296
"Jan 2, 2019",-0.04,0.211,-0.046,0.22,0.072,-0.191,-0.004,-0.094,0.08,-0.054,0.142
"Jan 3, 2019",-0.009,-0.186,0.542,0.096,-0.085,0.04,0.11,-0.099,0.004,-0.006,-0.117
"Jan 4, 2019",,,,,,,,,,,
"Jan 5, 2019",,,,,,,,,,,
"Jan 6, 2019",,,,,,,,,,,
"Jan 7, 2019",0.276,0.213,-0.513,0.328,0.05,0.503,0.05,-0.086,0.255,-0.053,0.178
"Jan 8, 2019",-0.034,-0.018,-0.019,-0.224,-0.109,-0.067,0.072,-0.033,-0.054,-0.09,-0.101
"Jan 9, 2019",-0.285,-0.309,0.054,-0.477,-0.272,-0.123,-0.158,-0.029,0.114,-0.02,-0.238
"Jan 10, 2019",-0.275,-0.402,-0.412,-0.557,-0.165,0.212,0.013,0.132,0.13,-0.009,-0.241
"Jan 11, 2019",-0.105,-0.21,-0.754,-0.368,-0.061,0.097,0.056,0.077,0.149,-0.047,-0.166
"Jan 12, 2019",0.211,0.155,1.108,0.02,0.287,0.305,0.342,0.205,0.344,0.052,0.169
"Jan 13, 2019",0.043,0.239,-0.075,0.355,0.025,-0.17,0.086,0.009,0.077,0.035,0.102
"Jan 14, 2019",-0.069,-0.211,0.891,-0.211,-0.085,-0.062,-0.017,0.571,0.09,-0.037,-0.148
"Jan 15, 2019",-0.216,-0.104,0.087,-0.457,-0.186,0.345,0.312,0.153,0.458,0.041,-0.211
"Jan 16, 2019",-0.02,0.072,0.586,-0.197,0.071,0.415,-0.099,0.179,0.026,0.085,0.009
"Jan 17, 2019",-0.029,0.428,0.586,0.114,-0.047,-0.088,-0.007,0.009,-0.502,0.019,0.034
"Jan 18, 2019",-0.005,0.042,-0.103,0.047,-0.078,-0.162,0.033,-0.085,0.111,0.016,0.023
"Jan 19, 2019",-0.058,0.032,0.271,,-0.007,-0.206,-0.245,-0.099,0.237,0.015,-0.096
"Jan 20, 2019",,0.288,0.233,-0.03,-0.031,0.294,0.104,0.069,0.085,0.057,0.011
"Jan 21, 2019",,,,,,,,,,,
"Jan 22, 2019",-0.028,-0.17,,-0.005,-0.188,-0.056,0.068,-0.075,0.029,0.027,-0.086
"Jan 23, 2019",0.016,0.243,0.063,0.045,0.066,0.166,-0.595,-0.314,-0.258,-0.134,0.132
"Jan 24, 2019",-0.07,0.102,0.071,-0.148,-0.019,-0.224,-0.12,-0.099,-0.099,-0.01,-0.069
"Jan 25, 2019",,0.004,,0.235,-0.401,,-0.279,,,-0.146,0.036
"Jan 26, 2019",,,,,,,,,,,
"Jan 27, 2019",0.195,-0.196,0.271,-0.158,0.019,0.14,-0.001,0.137,0.027,0.1,-0.072
"Jan 28, 2019",0.23,0.009,0.386,-0.109,0.21,-0.068,0.378,0.125,0.133,0.013,0.055
"Jan 29, 2019",-0.027,0.042,0.154,-0.083,-0.105,-0.14,-0.172,0.071,0.078,-0.005,-0.007
"Jan 30, 2019",-0.02,-0.026,0.005,-0.229,0.047,0.196,0.081,0.024,0.13,0.052,-0.213
"Jan 31, 2019",-0.127,-0.342,0.032,-0.534,-0.169,0.271,0.053,0.154,0.184,0.057,-0.199
"Feb 1, 2019",0.02,-0.285,0.117,-0.463,-0.047,0.06,-0.032,0.035,0.144,-0.055,-0.191
