Date_Name,Municipality,Galeao Airport,Santos Dumont Airport,Industrial Area,Cidade de Deus,Pedra de Guaratiba,Copacabana,Ipanema,Centro,Cidade Nova,Barra da Tijuca,Campo Grande
"Dec 31, 2019",0.017,0,0.073,0.018,0.031,0.09,-0.335,-0.059,-0.011,0.094,0.07,0.024
"Jan 1, 2020",0.016,-0.268,-0.324,-0.329,0.016,0.128,0.219,0.511,-0.01,0.123,0.165,-0.025
"Jan 2, 2020",0.796,,,,,,0.523,0.641,,,,
"Jan 3, 2020",-0.096,,0.005,-0.354,0.038,-0.234,0.228,0.261,0.005,0.002,0.008,0.019
"Jan 4, 2020",-0.04,,,,-0.511,,,,,,,0.054
"Jan 5, 2020",,,,,,,,,,,,
"Jan 6, 2020",,,,,,,,,,,,
"Jan 7, 2020",-0.137,-0.228,0.472,-0.288,-0.118,,0.19,0.231,0.097,0.26,0.125,-0.272
"Jan 8, 2020",0.023,,0.005,,,,-0.113,0.09,0.026,,,
"Jan 9, 2020",,,,,,,,,,,,
"Jan 10, 2020",0.19,0.1,0.203,0.069,0.089,0.229,-0.138,-0.056,-0.049,-0.025,-0.023,0.086
"Jan 11, 2020",-0.231,0.201,-0.267,-0.059,0.038,0.058,-0.159,-0.312,-0.367,,0.067,-0.051
"Jan 12, 2020",,,,,,,,,,,,
"Jan 13, 2020",0.054,,,,,0.105,0.094,0.078,,,-0.063,0.035
"Jan 14, 2020",,,,,,,,,,,,
"Jan 15, 2020",0.124,-0.018,-0.027,0.226,,0.436,0.04,0.105,0.04,-0.725,0.052,0.099
"Jan 16, 2020",0.194,0.03,-0.009,0.033,0.062,0.107,-0.245,-0.011,-0.081,0.18,-0.07,-0.009
"Jan 17, 2020",0.07,,0.005,0.05,,,,-0.179,-0.027,,,0.079
"Jan 18, 2020",0.101,,,0.208,,0.123,,,,,0.081,0.053
"Jan 19, 2020",0.159,-0.333,-0.824,0.294,-0.505,0.131,0.03,0.094,-0.732,-0.677,-0.254,0.158
"Jan 20, 2020",0.187,0.111,-0.027,0.134,-0.083,0.086,0.227,1.523,-0.267,-0.015,-0.084,0.087
"Jan 21, 2020",-0.181,-0.383,-0.531,-0.178,0.037,-0.149,-0.594,0.104,-0.894,-0.905,-0.537,-0.02
"Jan 22, 2020",0.04,,,-0.1,,-0.056,,,,,0.13,
"Jan 23, 2020",,,,,,,,,,,,
"Jan 24, 2020",,,,,,,,,,,,
"Jan 25, 2020",-0.203,-0.258,-0.949,0.044,-0.287,-0.128,-0.203,-0.368,-0.853,-0.566,-0.353,-0.117
"Jan 26, 2020",0.391,0.309,-0.142,0.557,0.447,0.483,0.077,0.569,0.021,0.347,0.082,0.491
"Jan 27, 2020",0.032,0.035,-0.499,-0.081,-0.011,-0.032,-0.073,0.254,-0.07,0.112,-0.037,0.009
"Jan 28, 2020",-0.218,-0.277,-0.187,-0.405,-0.15,-0.208,0.165,0.059,0.047,0.014,-0.076,-0.208
"Jan 29, 2020",0.12,-0.049,,,,,0.251,,-0.334,,,0.086
"Jan 30, 2020",-0.055,-0.276,-0.679,,-0.154,,0.124,0.155,-0.007,-0.032,-0.21,
"Jan 31, 2020",,,,,,,,,,,,
"Feb 1, 2020",0.031,0.086,-0.186,-0.032,-0.001,-0.016,-0.119,0.303,-0.089,0.173,0.007,-0.009
"Feb 2, 2020",,,,,,,,,,,,
"Feb 3, 2020",,,,0.338,,,,,,,,
"Feb 4, 2020",,,,,,,,,,,,
"Feb 5, 2020",,,,,,,,,,,,
"Feb 6, 2020",,,,,,,,,,,,
"Feb 7, 2020",,,,,,,,,,,,
"Feb 8, 2020",-0.141,-0.212,0.35,-0.116,-0.165,-0.072,0.246,0.148,0.286,0.059,0.053,-0.223
"Feb 9, 2020",-0.078,-0.292,0.337,0.043,0.06,-0.007,0.359,0.56,0.15,0.41,0.056,-0.148
"Feb 10, 2020",,,,,,,,,,,,
"Feb 11, 2020",,,,,,,,,,,,
"Feb 12, 2020",0.105,,,0.164,,0.098,,,,,-0.001,0.057
"Feb 13, 2020",0.058,,,0.509,,0.041,,,,,,
"Feb 14, 2020",-0.235,-0.302,-0.126,-0.112,-0.371,-0.423,-0.006,-0.076,0.244,0.6,-0.165,-0.211
"Feb 15, 2020",-0.015,,,-0.014,0.037,-0.173,0.081,-0.015,,,0.057,0.194
"Feb 16, 2020",0.11,0.117,0.636,0.293,0.072,0.236,-0.023,0.321,0.074,0.607,-0.324,0.12
"Feb 17, 2020",-0.033,-0.001,0.007,-0.112,-0.238,-0.019,-0.221,-0.194,-0.037,0.327,-0.03,-0.039
"Feb 18, 2020",0.047,-0.344,-0.132,-0.021,-0.166,0.06,0.06,0.148,0.038,-0.014,0.05,0.044
"Feb 19, 2020",0.026,,,,,,,0.229,,,0.122,
