Date_Name,Cidade de Deus,Galeao Airport,Santos Dumont Airport,Industrial Area,Pedra de Guaratiba,Copacabana,Ipanema,Centro,Cidade Nova,Barra da Tijuca,Campo Grande
"Apr 5, 2019",798,190.545,1198,43.136,302,927,1133,1218,1758,550.209,251.833
"Apr 6, 2019",,,,,,,,,,,
"Apr 7, 2019",934,244.073,1092,100.34,,609,706,1214,1291,472.75,339.444
"Apr 8, 2019",1077,359,485,103,161,513,647,966,1052,565.706,387.8
"Apr 9, 2019",,,,,,,,,,,
"Apr 10, 2019",476,,,58.095,161,903,7,,,371.9,205.081
"Apr 11, 2019",685,188.546,434,85.01,254,337,733,742,643,210,212.802
"Apr 12, 2019",957,197,401,103.276,313,497,693,1273,1205,582.817,299.4
"Apr 13, 2019",,,,,,,,,,,
"Apr 14, 2019",,,,,,,,,,,
"Apr 16, 2019",897,217,937,75.873,,690,860,1340,1526,454.004,162
"Apr 17, 2019",,,,,,,,,,,
"Apr 18, 2019",1060,242.275,307,87.808,452,637,595,802,545,412.924,547
"Apr 19, 2019",1238,213.079,1376,72.792,482,711,987,1324,1187,562.635,373.621
"Apr 20, 2019",932,292.888,562,74.882,338,610,933,571,792,617.869,306
"Apr 21, 2019",894,463,,,,,,,,540.714,404
"Apr 22, 2019",,186.775,1096,,,758,,1263,1057,,323.438
"Apr 23, 2019",1098,283.498,1421,85.848,277,757,922,1125,1398,533.755,346.774
"Apr 24, 2019",,615,,130,,465,607,1038,1671,,358.5
"Apr 25, 2019",895,152.667,804,81.25,320,792,580,910,908,453.758,306.874
"Apr 26, 2019",715,205.734,837,72,263,631,746,1094,1813,501.333,276.667
"Apr 27, 2019",832,185.325,985,68.662,357,816,961,1193,1705,550.611,258.073
"Apr 28, 2019",1058,340.138,224,48.012,368,626,696,1223,2082,475.385,314
"Apr 29, 2019",,,,195,,,,,,,
"Apr 30, 2019",870,140,,106,,,809,,,443,252
"May 1, 2019",943,231,1131,72.699,190,555,746,1261,1635,441.32,205.002
"May 2, 2019",731,331,939,47,242,638,838,1421,1619,546.385,252.75
"May 3, 2019",,,,,,,,,,,81
"May 4, 2019",,,,56.003,,,,,,,
"May 5, 2019",862,186,745,103.973,154,423,669,941,1289,377,308.4
"May 6, 2019",921,203.797,749,,,572,602,1118,1607,579.538,
"May 7, 2019",,591,1221,72.769,134,627,420,721,438,346.667,264
"May 8, 2019",,,,,,,,,,,
