Date,PM10,Policy,New Cases,New Deaths,retail_and_recreation_mob,grocery_and_pharmacy_mob,parks_percent_mob,transit_stations_mob,workplaces_mob,residential_mob,avg_mob
2020-03-07,38.13625,10,0,0,10,11,-3,12,6,0,6
2020-03-08,27.3614583333333,10,5,0,7,7,8,6,1,1,5
2020-03-09,25.2855944055944,10,3,0,3,8,6,13,20,-2,8
2020-03-10,31.7879432624113,10,1,0,-1,1,4,11,15,-1,4.83333333333333
2020-03-11,30.2256028368794,10,8,0,1,3,-4,9,15,-2,3.66666666666667
2020-03-12,28.7805555555556,10,4,0,-4,2,3,9,16,-1,4.16666666666667
2020-03-13,32.3593670886076,10,5,0,4,13,24,11,17,-2,11.1666666666667
2020-03-14,28.5918848167539,10,8,0,-13,12,-13,-6,2,2,-2.66666666666667
2020-03-15,27.0910416666667,10,4,0,-23,3,-12,-12,-4,3,-7.5
2020-03-16,38.5212631578947,10,6,0,-19,10,-19,-13,-2,4,-6.5
2020-03-17,33.5938829787234,10,3,0,-37,0,-39,-29,-18,10,-18.8333333333333
2020-03-18,30.8932085561497,0,9,0,-46,-4,-42,-38,-27,13,-24
2020-03-19,38.882688172043,0,3,0,-55,-11,-48,-45,-32,16,-29.1666666666667
2020-03-20,28.395,0,0,1,-57,-10,-49,-47,-36,17,-30.3333333333333
2020-03-21,17.2004069767442,0,31,0,-73,-25,-80,-61,-40,20,-43.1666666666667
2020-03-22,19.6416574585635,0,9,1,-77,-32,-81,-64,-40,19,-45.8333333333333
2020-03-23,21.8578571428571,0,67,2,-66,-18,-64,-62,-49,20,-39.8333333333333
2020-03-24,20.0448167539267,0,44,2,-76,-36,-69,-69,-58,25,-47.1666666666667
2020-03-25,25.6006770833333,0,64,1,-75,-32,-67,-69,-59,24,-46.3333333333333
2020-03-26,23.3988461538462,0,53,3,-75,-33,-65,-68,-57,25,-45.5
2020-03-27,21.3301587301587,0,37,1,-71,-26,-56,-65,-55,24,-41.5
2020-03-28,23.1805376344086,0,63,0,-74,-28,-70,-62,-44,19,-43.1666666666667
2020-03-29,24.9285561497326,0,58,3,-76,-34,-74,-64,-40,18,-45
2020-03-30,28.3495789473684,0,26,1,-70,-28,-64,-64,-52,21,-42.8333333333333
2020-03-31,24.3297752808989,0,38,3,-70,-28,-63,-65,-55,23,-43
2020-04-01,22.5890322580645,0,30,2,-68,-21,-61,-64,-54,22,-41
2020-04-02,24.7958115183246,0,114,4,-69,-24,-62,-64,-53,23,-41.5
2020-04-03,28.8901047120419,0,110,7,-68,-19,-71,-61,-52,23,-41.3333333333333
2020-04-04,31.0624083769634,0,60,5,-70,-17,-78,-57,-41,18,-40.8333333333333
2020-04-05,37.9563586956522,0,115,2,-74,-27,-81,-60,-38,17,-43.8333333333333
2020-04-06,43.4787931034483,0,86,4,-66,-19,-71,-59,-49,20,-40.6666666666667
2020-04-07,41.38390625,0,42,5,-66,-18,-75,-60,-53,21,-41.8333333333333
2020-04-08,22.168128342246,0,141,12,-66,-14,-78,-61,-53,21,-41.8333333333333
2020-04-09,25.2189361702128,0,198,14,-62,1,-74,-58,-52,21,-37.3333333333333
2020-04-10,29.4901058201058,0,184,9,-79,-32,-79,-75,-73,28,-51.6666666666667
2020-04-11,32.60078125,0,175,10,-69,-14,-83,-58,-43,19,-41.3333333333333
2020-04-12,27.202380952381,0,97,6,-74,-26,-85,-59,-34,16,-43.6666666666667
2020-04-13,24.88203125,0,91,8,-66,-26,-72,-60,-49,20,-42.1666666666667
2020-04-14,25.7286033519553,0,326,9,-68,-30,-72,-62,-53,22,-43.8333333333333
2020-04-15,31.6124607329843,0,71,25,-67,-23,-74,-62,-52,21,-42.8333333333333
2020-04-16,31.2244198895028,0,126,27,-68,-25,-77,-63,-52,23,-43.6666666666667
2020-04-17,23.6354891304348,0,140,28,-65,-19,-73,-60,-51,23,-40.8333333333333
2020-04-18,25.3335329341317,0,287,24,-68,-19,-80,-57,-39,18,-40.8333333333333
2020-04-19,22.7056886227545,0,113,18,-73,-27,-81,-61,-36,17,-43.5
2020-04-20,20.0361363636364,0,68,8,-62,-18,-72,-59,-49,19,-40.1666666666667
2020-04-21,28.0519895287958,0,116,12,-77,-44,-72,-76,-72,27,-52.3333333333333
2020-04-22,28.9165680473373,0,344,26,-63,-15,-72,-60,-51,20,-40.1666666666667
2020-04-23,21.7132142857143,0,69,20,-78,-41,-75,-75,-70,27,-52
2020-04-24,19.6504191616766,0,371,19,-65,-20,-69,-60,-50,22,-40.3333333333333
2020-04-25,27.466582278481,0,64,25,-69,-22,-77,-58,-38,18,-41
2020-04-26,26.1462179487179,0,390,20,-74,-29,-78,-63,-36,17,-43.8333333333333
2020-04-27,23.5415568862275,0,17,15,-65,-24,-72,-60,-48,20,-41.5
2020-04-28,28.6081547619048,0,763,23,-67,-27,-74,-62,-52,22,-43.3333333333333
2020-04-29,32.1666285714286,0,293,51,-66,-23,-72,-62,-51,21,-42.1666666666667
2020-04-30,44.7603243243243,0,135,40,-64,-14,-70,-59,-49,21,-39.1666666666667
2020-05-01,51.0522994652406,0,214,39,-78,-34,-70,-75,-71,28,-50
2020-05-02,44.3695857988166,0,286,39,-70,-20,-79,-59,-40,19,-41.5
2020-05-03,20.6125,0,259,29,-77,-30,-87,-64,-38,18,-46.3333333333333
2020-05-04,22.9009770114942,0,302,28,-63,-14,-71,-58,-47,19,-39
2020-05-05,33.5027027027027,0,533,39,-64,-17,-70,-59,-50,21,-39.8333333333333
2020-05-06,42.4980952380952,0,549,43,-64,-13,-71,-59,-50,21,-39.3333333333333
2020-05-07,13.0898958333333,0,745,51,-68,-16,-78,-62,-52,23,-42.1666666666667
2020-05-08,16.7294791666667,0,474,155,-61,-3,-67,-56,-47,21,-35.5
2020-05-09,22.6812234042553,0,621,83,-64,1,-75,-50,-34,17,-34.1666666666667
2020-05-10,19.943595505618,0,807,90,-71,-13,-81,-56,-22,14,-38.1666666666667
2020-05-11,23.588,0,41,34,-64,-21,-70,-59,-47,19,-40.3333333333333
2020-05-12,36.2553225806452,0,99,46,-67,-24,-71,-60,-50,22,-41.6666666666667
2020-05-13,43.800985915493,0,197,107,-66,-22,-72,-61,-49,21,-41.5
2020-05-14,30.8550617283951,0,210,84,-69,-25,-75,-63,-50,23,-43.1666666666667
2020-05-15,16.2255414012739,0,238,146,-68,-21,-75,-63,-50,24,-42.1666666666667
2020-05-16,29.3117123287671,0,451,122,-68,-15,-78,-56,-33,18,-38.6666666666667
2020-05-17,32.733950617284,0,580,120,-73,-22,-79,-60,-29,17,-41
2020-05-18,36.4681875,0,626,90,-64,-18,-70,-59,-45,19,-39.5
2020-05-19,24.499125,0,522,119,-65,-22,-70,-60,-48,21,-40.6666666666667
2020-05-20,30.1099375,0,1088,175,-64,-16,-69,-59,-47,21,-39
2020-05-21,36.0564670658683,0,2535,114,-65,-18,-68,-59,-47,22,-39.1666666666667
2020-05-22,37.1113903743315,0,1677,127,-62,-13,-62,-57,-44,21,-36.1666666666667
2020-05-23,38.0588481675393,0,1418,144,-66,-14,-74,-53,-29,16,-36.6666666666667
2020-05-24,23.702972972973,0,882,182,-77,-30,-88,-63,-32,17,-45.5
2020-05-25,26.208418079096,0,732,53,-62,-16,-69,-57,-44,19,-38.1666666666667
2020-05-26,28.5727083333333,0,691,76,-64,-19,-68,-58,-46,20,-39.1666666666667
2020-05-27,35.9580729166667,0,824,147,-63,-14,-69,-57,-45,20,-38
2020-05-28,34.5869791666667,0,1460,157,-64,-15,-69,-58,-44,21,-38.1666666666667
2020-05-29,43.5863020833333,0,1224,158,-59,-3,-60,-53,-41,19,-32.8333333333333
2020-05-30,42.5799479166667,0,1337,137,-63,-6,-70,-48,-23,14,-32.6666666666667
2020-05-31,52.1069270833333,0,1170,95,-69,-15,-71,-54,-19,13,-35.8333333333333
2020-06-01,63.9312169312169,0,1533,146,-58,-10,-64,-53,-39,16,-34.6666666666667
2020-06-02,58.765625,1,1190,157,-60,-12,-64,-54,-42,19,-35.5
2020-06-03,55.0833333333333,1,1747,227,-59,-9,-65,-53,-41,19,-34.6666666666667
2020-06-04,39.8541666666667,1,744,176,-60,-9,-66,-53,-41,20,-34.8333333333333
2020-06-05,25.390625,1,1348,78,-54,3,-57,-48,-38,19,-29.1666666666667
2020-06-06,30.875,1,660,92,-57,0,-66,-43,-20,14,-28.6666666666667
2020-06-07,31.4375,1,412,61,-67,-13,-73,-51,-18,14,-34.6666666666667
2020-06-08,37.8563829787234,1,778,54,-53,-6,-60,-48,-36,16,-31.1666666666667
2020-06-09,55.8817204301075,1,1010,83,-55,-10,-60,-50,-39,18,-32.6666666666667
2020-06-10,54.1966292134832,1,1057,117,-51,-1,-57,-47,-38,16,-29.6666666666667
2020-06-11,64.1197916666667,1,1079,134,-64,-22,-55,-66,-61,24,-40.6666666666667
2020-06-12,72.2239583333333,1,465,27,-44,6,-45,-46,-39,17,-25.1666666666667
2020-06-13,68.90625,1,907,116,-54,-10,-58,-44,-18,13,-28.5
2020-06-14,49.5572916666667,1,357,50,-65,-20,-80,-53,-18,13,-37.1666666666667
2020-06-15,30.4585635359116,1,617,47,-52,-11,-70,-50,-37,17,-33.8333333333333
2020-06-16,26.9341317365269,1,1489,149,-52,-12,-63,-49,-39,18,-32.8333333333333
2020-06-17,26.5416666666667,2,2104,104,-50,-8,-60,-48,-37,17,-31
2020-06-18,32.6011904761905,2,277,165,-52,-11,-57,-49,-37,18,-31.3333333333333
2020-06-19,57.2095808383234,2,2498,124,-48,-3,-49,-46,-34,17,-27.1666666666667
2020-06-20,63.9642857142857,2,1376,159,-51,-5,-55,-41,-15,12,-25.8333333333333
2020-06-21,53.40625,2,301,41,-58,-13,-53,-47,-11,12,-28.3333333333333
2020-06-22,51.7225806451613,2,492,43,-49,-11,-53,-47,-35,15,-30
2020-06-23,61.9821428571429,2,1403,125,-51,-14,-54,-48,-38,18,-31.1666666666667
2020-06-24,51.4916201117318,2,982,87,-50,-10,-54,-48,-36,17,-30.1666666666667
2020-06-25,57.9635416666667,2,862,74,-51,-10,-54,-48,-35,18,-30
2020-06-26,38.5520833333333,2,983,103,-48,-4,-48,-44,-33,17,-26.6666666666667
2020-06-27,34.5511363636364,2,134,102,-54,-7,-67,-43,-17,13,-29.1666666666667
2020-06-28,20.2022471910112,2,774,27,-61,-13,-70,-49,-13,13,-32.1666666666667
2020-06-29,17,2,291,24,-48,-9,-63,-47,-33,16,-30.6666666666667
2020-06-30,25.15625,2,585,133,-46,-4,-55,-45,-35,16,-28.1666666666667
2020-07-01,,3,943,68,-46,0,-59,-45,-34,16,-28
2020-07-02,,3,736,71,-44,2,-55,-44,-33,16,-26.3333333333333
2020-07-03,,3,833,102,-39,7,-52,-41,-31,15,-23.5
2020-07-04,,3,585,78,-42,8,-63,-36,-12,11,-22.3333333333333
2020-07-05,,3,200,29,-48,-1,-52,-41,-7,9,-23.3333333333333
2020-07-06,,3,363,26,-37,2,-48,-40,-30,12,-23.5
2020-07-07,,3,1062,131,-38,2,-48,-40,-33,14,-23.8333333333333
2020-07-08,,3,805,46,-38,3,-48,-41,-32,13,-23.8333333333333
2020-07-09,,3.5,933,77,-42,0,-54,-43,-31,15,-25.8333333333333
2020-07-10,,3.5,631,76,-35,7,-45,-38,-29,13,-21.1666666666667
2020-07-11,,3.5,75,48,-38,4,-49,-32,-9,9,-19.1666666666667
2020-07-12,,3.5,8,8,-47,-6,-48,-40,-7,8,-23.3333333333333
2020-07-13,,3.5,525,45,-38,-4,-46,-40,-29,12,-24.1666666666667
2020-07-14,,3.5,486,77,-46,-14,-65,-46,-35,16,-31.6666666666667
2020-07-15,,3.5,368,68,-43,-4,-66,-47,-33,16,-29.5
2020-07-16,,4,82,50,-40,-2,-58,-43,-31,16,-26.3333333333333
2020-07-17,,4,125,71,-33,4,-40,-37,-27,14,-19.8333333333333
2020-07-18,,4,1133,69,-36,3,-49,-32,-9,10,-18.8333333333333
2020-07-19,,4,80,13,-43,-7,-41,-39,-6,9,-21.1666666666667
2020-07-20,,4,127,30,-35,-1,-44,-39,-26,12,-22.1666666666667
2020-07-21,,4,85,63,-38,-7,-43,-41,-29,15,-23.8333333333333
2020-07-22,,4,1213,91,-37,-2,-43,-40,-29,14,-22.8333333333333
2020-07-23,,4,176,26,-38,-3,-39,-40,-28,15,-22.1666666666667
2020-07-24,,4,946,28,-33,4,-26,-35,-25,13,-17
2020-07-25,,4,90,63,-35,3,-34,-30,-8,9,-15.8333333333333
2020-07-26,,4,24,19,-43,-4,-40,-36,-6,8,-20.1666666666667
2020-07-27,,4,800,30,-35,-2,-40,-38,-27,12,-21.6666666666667
2020-07-28,,4,89,71,-38,-6,-35,-39,-30,14,-22.3333333333333
2020-07-29,,4,233,96,-40,-3,-57,-41,-31,14,-26.3333333333333
2020-07-30,,4,297,50,-48,-12,-66,-47,-33,17,-31.5
2020-07-31,,4,333,40,-32,10,-47,-36,-27,14,-19.6666666666667
2020-08-01,,5,470,34,-31,10,-48,-30,-8,9,-16.3333333333333
2020-08-02,,5,10,14,-38,2,-36,-35,-6,8,-17.5
2020-08-03,,5,277,13,-30,6,-40,-34,-26,11,-18.8333333333333
2020-08-04,,5,643,48,-32,2,-38,-35,-29,13,-19.8333333333333
2020-08-05,,5,674,80,-29,8,-37,-35,-27,12,-18
2020-08-06,,5,121,41,-30,10,-33,-34,-26,13,-16.6666666666667
2020-08-07,,5,338,56,-21,19,-19,-27,-23,11,-10
2020-08-08,,5,548,10,-21,22,-29,-19,-5,6,-7.66666666666667
2020-08-09,,5,18,6,-40,8,-43,-27,4,4,-15.6666666666667
2020-08-10,,5,253,10,-29,3,-35,-33,-26,10,-18.3333333333333
2020-08-11,,5,1428,43,-32,-2,-30,-35,-28,13,-19
2020-08-12,,5,1525,45,-31,2,-33,-36,-27,12,-18.8333333333333
2020-08-13,,5,873,56,-33,1,-28,-35,-26,13,-18
2020-08-14,,5,1365,33,-25,9,-15,-29,-24,11,-12.1666666666667
2020-08-15,,5,700,14,-29,6,-26,-25,-8,7,-12.5
2020-08-16,,5,197,13,-41,-2,-55,-36,-9,8,-22.5
