Date,PM10,Policy,New Cases,New Deaths,Mobility_Santiago,Mobility_Met,Mobility_Met_int,Mobility_Met_ext
2020-01-01,49.6176470588235,10,,,,,,
2020-01-02,55.4592274678112,10,,,,,,
2020-01-03,62.5914893617021,10,,,,,,
2020-01-04,54.7727272727273,10,,,,,,
2020-01-05,44.5521739130435,10,,,,,,
2020-01-06,49.8836206896552,10,,,,,,
2020-01-07,54.2478260869565,10,,,,,,
2020-01-08,37.4518828451883,10,,,,,,
2020-01-09,42.6428571428571,10,,,,,,
2020-01-10,59.1570680628272,10,,,,,,
2020-01-11,55.2083333333333,10,,,,,,
2020-01-12,48.6666666666667,10,,,,,,
2020-01-13,54.1353711790393,10,,,,,,
2020-01-14,60.8157894736842,10,,,,,,
2020-01-15,69.2869198312236,10,,,,,,
2020-01-16,92.1288888888889,10,,,,,,
2020-01-17,83.0909090909091,10,,,,,,
2020-01-18,77.325,10,,,,,,
2020-01-19,57.275,10,,,,,,
2020-01-20,63.7079646017699,10,,,,,,
2020-01-21,71.1087866108787,10,,,,,,
2020-01-22,61.4510638297872,10,,,,,,
2020-01-23,51.673640167364,10,,,,,,
2020-01-24,53.478672985782,10,,,,,,
2020-01-25,55.1953488372093,10,,,,,,
2020-01-26,48.6976744186047,10,,,,,,
2020-01-27,56.1822429906542,10,,,,,,
2020-01-28,77.4837209302326,10,,,,,,
2020-01-29,40.3427230046948,10,,,,,,
2020-01-30,62.1851851851852,10,,,,,,
2020-01-31,68.7083333333333,10,,,,,,
2020-02-01,57.4861111111111,10,,,,,,
2020-02-02,49.8194444444444,10,,,,,,
2020-02-03,46.9392523364486,10,,,,,,
2020-02-04,43.3518518518519,10,,,,,,
2020-02-05,48.7990654205608,10,,,,,,
2020-02-06,48.1767441860465,10,,,,,,
2020-02-07,60.3518518518519,10,,,,,,
2020-02-08,59.6729857819905,10,,,,,,
2020-02-09,52.9611650485437,10,,,,,,
2020-02-10,69.5462962962963,10,,,,,,
2020-02-11,73.4279069767442,10,,,,,,
2020-02-12,65.7453703703704,10,,,,,,
2020-02-13,63.75,10,,,,,,
2020-02-14,84.196261682243,10,,,,,,
2020-02-15,70.6157407407408,10,,,,,,
2020-02-16,50.2009345794393,10,,,,,,
2020-02-17,45.7962962962963,10,,,,,,
2020-02-18,68.2638888888889,10,,,,,,
2020-02-19,74.7962962962963,10,,,,,,
2020-02-20,83.0283687943262,10,,,,,,
2020-02-21,73.7566371681416,10,,,,,,
2020-02-22,59.1583333333333,10,,,,,,
2020-02-23,51.0625,10,,,,,,
2020-02-24,62.2375,10,,,,,,
2020-02-25,66.9875,10,,,,,,
2020-02-26,76.4553191489362,10,0,0,18.1711821239362,10.2531779464549,4.33388363748936,5.92324410883631
2020-02-27,71.0181818181818,10,0,0,18.460425781146,10.4368340436455,4.40211719420357,6.03872883577545
2020-02-28,82.9141630901288,10,0,0,19.1396966819598,10.8633243525892,4.55078504312579,6.31668678818655
2020-02-29,82.9708333333333,10,0,0,13.1224631057709,9.21468004815399,3.90741502587772,5.31082614865972
2020-03-01,50.6833333333333,10,0,0,9.70747291169345,7.95616074039614,3.45594026453979,4.50337013873427
2020-03-02,69.4201680672269,10,0,0,19.1353039836006,10.9987026463539,4.73875081954662,6.26427061312927
2020-03-03,74.4008438818566,10,0,0,19.4512321740751,11.1714823054433,4.8401491347631,6.33574436904779
2020-03-04,77.25,10,1,0,19.5109196269312,11.4166345419427,4.97683494079332,6.44433537175383
2020-03-05,91.6569037656904,10,1,0,19.8915846548404,11.4773715825837,4.97407796718079,6.50782687336632
2020-03-06,89.8973214285714,10,1,0,20.1710312635885,11.8742440800443,5.05624685019101,6.82260537460891
2020-03-07,68.646288209607,10,1,0,13.3926717367576,9.54805960657512,4.09163917593409,5.46014945459278
2020-03-08,48.1375,10,2,0,12.497413188744,8.18995916806794,3.65358165055286,4.5397073061154
2020-03-09,73.1782608695652,10,3,0,19.5706159539255,11.381507114938,4.94465235526992,6.44136119981913
2020-03-10,83.6261261261261,10,1,0,20.1025495398759,11.5537557860982,5.03002333900592,6.52831669235498
2020-03-11,81.0502092050209,10,4,0,18.9997870206856,11.1836574698043,4.87007608471949,6.31801985817247
2020-03-12,63.4177777777778,10,9,0,20.7287530948557,12.3418696814804,5.52333579005968,6.82356773007778
2020-03-13,57.1929824561404,8,6,0,20.231375402664,12.3294480765064,5.42761650968639,6.90677816917061
2020-03-14,60.3958333333333,8,11,0,13.136501992244,9.81445197000152,4.33861654332667,5.47978954000496
2020-03-15,57.5330396475771,8,14,0,9.3253613992741,8.14869963975634,3.72692944335426,4.42516683245996
2020-03-16,67.5377358490566,8,69,0,17.369927320809,10.5200111449799,4.69922041973852,5.82507348448439
2020-03-17,65.35,8,29,0,14.7169593653216,9.44807217445854,4.2487258514188,5.20321851210216
2020-03-18,70.4377682403433,8,22,0,13.7646844800199,9.25359594665569,4.17754028460793,5.07986297425466
2020-03-19,69.9694323144105,8,73,0,12.3097872869098,8.68360739078003,3.92535530781926,4.76182955969628
2020-03-20,79.5416666666667,8,57,0,11.6576002555752,8.44850043896052,3.79858083474727,4.65338154166824
2020-03-21,45.1813953488372,8,55,0,7.50901168723988,6.54859703116757,3.13858522530443,3.41287223880373
2020-03-22,33.2314814814815,7,50,1,5.80298526005662,5.52356371460742,2.77650316762033,2.74959098683504
2020-03-23,48.5694444444444,7,50,0,9.93244118664975,7.56866604393399,3.48979076221376,4.08205579514758
2020-03-24,52.2314814814815,7,81,1,9.66190421255336,7.40910599862193,3.42002394116323,3.99219898704213
2020-03-25,50.3148148148148,7,142,0,9.86119960598827,7.59925742655805,3.51877593024862,4.08368842613892
2020-03-26,61.6995305164319,7,64,1,11.2962808487226,8.06159585271015,3.68510977374697,4.37984460155529
