Region,Casostotalesacumulados,Casosnuevostotales,Casosnuevosconsintomas,Casosnuevossinsintomas*,Fallecidos,%Total,Fecha,Fallecidostotales,Nuevos Casos,Casos Confirmados,Casosnuevossinsintomas,Tasa*100000,Incrementodiario,Region ID,Poblacion,Tasa
Arica y Parinacota,378.0,1.0,1.0,0.0,7,0.86%,2020/05/17,,,,,,,15,252110,
Tarapacá,975.0,130.0,108.0,22.0,4,2.23%,2020/05/17,,,,,,,1,382773,
Antofagasta,1505.0,76.0,60.0,16.0,13,3.44%,2020/05/17,,,,,,,2,691854,
Atacama,149.0,3.0,2.0,1.0,0,0.34%,2020/05/17,,,,,,,3,314709,
Coquimbo,194.0,7.0,1.0,6.0,2,0.44%,2020/05/17,,,,,,,4,836096,
Valparaíso,1474.0,109.0,85.0,24.0,29,3.37%,2020/05/17,,,,,,,5,1960170,
Metropolitana,32684.0,1890.0,1671.0,219.0,270,74.65%,2020/05/17,,,,,,,13,8125072,
O’Higgins,366.0,37.0,22.0,15.0,5,0.84%,2020/05/17,,,,,,,6,991063,
Maule,573.0,22.0,17.0,5.0,14,1.31%,2020/05/17,,,,,,,7,1131939,
Ñuble,942.0,21.0,14.0,7.0,20,2.15%,2020/05/17,,,,,,,16,511551,
Biobío,1099.0,25.0,19.0,6.0,9,2.51%,2020/05/17,,,,,,,8,1663696,
Araucanía,1606.0,19.0,13.0,6.0,44,3.67%,2020/05/17,,,,,,,9,1014343,
Los Ríos,220.0,1.0,1.0,0.0,6,0.50%,2020/05/17,,,,,,,14,405835,
Los Lagos,647.0,3.0,2.0,1.0,11,1.48%,2020/05/17,,,,,,,10,891440,
Aysén,8.0,0.0,0.0,0.0,0,0.02%,2020/05/17,,,,,,,11,107297,
Magallanes,961.0,9.0,8.0,1.0,16,2.20%,2020/05/17,,,,,,,12,178362,
Arica y Parinacota,582.0,20.0,17.0,3.0,7,0.64%,2020/05/29,,,,,,,15,252110,
Tarapacá,2093.0,136.0,130.0,6.0,14,2.31%,2020/05/29,,,,,,,1,382773,
Antofagasta,2318.0,70.0,57.0,13.0,28,2.56%,2020/05/29,,,,,,,2,691854,
Atacama,207.0,5.0,3.0,2.0,0,0.23%,2020/05/29,,,,,,,3,314709,
Coquimbo,537.0,55.0,52.0,3.0,2,0.59%,2020/05/29,,,,,,,4,836096,
Valparaíso,2842.0,112.0,91.0,21.0,61,3.14%,2020/05/29,,,,,,,5,1960170,
Metropolitana,72910.0,2995.0,2746.0,249.0,685,80.44%,2020/05/29,,,,,,,13,8125072,
O’Higgins,745.0,40.0,35.0,5.0,14,0.82%,2020/05/29,,,,,,,6,991063,
Maule,1180.0,60.0,55.0,5.0,15,1.30%,2020/05/29,,,,,,,7,1131939,
Ñuble,1242.0,37.0,34.0,3.0,22,1.37%,2020/05/29,,,,,,,16,511551,
