codigo_region,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
region_residencia,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana
codigo_comuna,13502,13402,13403,13102,13103,13301,13104,13503,13503,13105,13602,13106,13107,13108,13603,13109,13110,13111,13112,13113,13302,13114,13115,13116,13117,13118,13119,13504,13501,13501,13120,13604,13404,13121,13605,13122,13202,13123,13124,13201,13125,13126,13127,13128,13401,13129,13203,13203,13130,13505,13131,13101,13601,13303,13132
comuna_residencia,Alhué,Buin,Calera de Tango,Cerrillos,Cerro Navia,Colina,Conchalí,Curacaví,Curacaví,El Bosque,El Monte,Estación Central,Huechuraba,Independencia,Isla de Maipo,La Cisterna,La Florida,La Granja,La Pintana,La Reina,Lampa,Las Condes,Lo Barnechea,Lo Espejo,Lo Prado,Macul,Maipú,Maria Pinto,Melipilla,Melipilla,Ñuñoa,Padre Hurtado,Paine,Pedro Aguirre Cerda,Peñaflor,Peñalolén,Pirque,Providencia,Pudahuel,Puente Alto,Quilicura,Quinta Normal,Recoleta,Renca,San Bernardo,San Joaquín,San José de Maipo,San José de Maipo,San Miguel,San Pedro,San Ramón,Santiago,Talagante,Tiltil,Vitacura
zona,Total,Total,Total,Total,Total,Total,Total,Rural,Urbana,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Rural,Urbana,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Rural,Urbana,Total,Total,Total,Total,Total,Total,Total
2020-08-10,3,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,3,1,1,1,3,2,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,2,2
2020-08-11,3,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,3,1,1,1,3,2,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,2,2
2020-08-12,3,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,3,1,1,1,3,2,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,2,2
2020-08-13,3,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,3,1,1,1,3,2,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,2,2
2020-08-14,3,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,3,1,1,1,3,2,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,2,2
2020-08-15,3,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,3,1,1,1,3,2,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,2,2
2020-08-16,3,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,3,1,1,1,3,2,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,2,2
2020-08-17,3,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,3,1,1,1,3,2,1,1,1,1,1,1,1,1,3,1,1,3,1,2,1,2,2
2020-08-18,3,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,3,1,1,1,3,2,1,1,1,1,1,1,1,1,3,1,1,3,1,2,1,2,2
2020-08-19,3,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,3,1,1,1,3,2,1,1,1,1,1,1,1,1,3,1,1,3,1,2,1,2,2
2020-08-20,3,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,3,1,1,1,3,2,1,1,1,1,1,1,1,1,3,1,1,3,1,2,1,2,2
2020-08-21,3,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,3,1,1,1,3,2,1,1,1,1,1,1,1,1,3,1,1,3,1,2,1,2,2
2020-08-22,3,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,3,1,1,1,3,2,1,1,1,1,1,1,1,1,3,1,1,3,1,2,1,2,2
2020-08-23,3,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,3,1,1,1,3,2,1,1,1,1,1,1,1,1,3,1,1,3,1,2,1,2,2
2020-08-24,3,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,3,1,2,2,3,2,1,1,1,1,1,1,1,1,3,2,1,3,1,2,1,2,2
2020-08-25,3,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,3,1,2,2,3,2,1,1,1,1,1,1,1,1,3,2,1,3,1,2,1,2,2
2020-08-26,3,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,3,1,2,2,3,2,1,1,1,1,1,1,1,1,3,2,1,3,1,2,1,2,2
2020-08-27,3,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,3,1,2,2,3,2,1,1,1,1,1,1,1,1,3,2,1,3,1,2,1,2,2
2020-08-28,3,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,3,1,2,2,3,2,1,1,1,1,1,1,1,1,3,2,1,3,1,2,1,2,2
2020-08-29,3,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,3,1,2,2,3,2,1,1,1,1,1,1,1,1,3,2,1,3,1,2,1,2,2
2020-08-30,3,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,3,1,2,2,3,2,1,1,1,1,1,1,1,1,3,2,1,3,1,2,1,2,2
2020-08-31,3,1,2,2,1,2,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,3,2,2,2,3,2,1,1,1,1,1,1,1,1,3,2,1,3,1,2,2,2,2
2020-09-01,3,1,2,2,1,2,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,3,2,2,2,3,2,1,1,1,1,1,1,1,1,3,2,1,3,1,2,2,2,2
2020-09-02,3,1,2,2,1,2,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,3,2,1,1,2,2,2,2,2,3,2,3,2,2,2,3,3,1,1,1,1,1,1,1,1,3,3,1,3,1,2,2,2,3
2020-09-03,3,1,2,2,1,2,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,3,2,1,1,2,2,2,2,2,3,2,3,2,2,2,3,3,1,1,1,1,1,1,1,1,3,3,1,3,1,2,2,2,3
2020-09-04,3,1,2,2,1,2,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,3,2,1,1,2,2,2,2,2,3,2,3,2,2,2,3,3,1,1,1,1,1,1,1,1,3,3,1,3,1,2,2,2,3
2020-09-05,3,1,2,2,1,2,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,3,2,1,1,2,2,2,2,2,3,2,3,2,2,2,3,3,1,1,1,1,1,1,1,1,3,3,1,3,1,2,2,2,3
2020-09-06,3,1,2,2,1,2,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,3,2,1,1,2,2,2,2,2,3,2,3,2,2,2,3,3,1,1,1,1,1,1,1,1,3,3,1,3,1,2,2,2,3
2020-09-07,3,1,2,2,1,2,1,2,2,1,2,2,2,1,1,2,2,2,1,2,2,3,2,1,1,2,2,2,2,2,3,2,3,2,2,2,3,3,1,1,1,1,2,1,1,2,3,3,2,3,2,2,2,2,3
2020-09-08,3,1,2,2,1,2,1,2,2,1,2,2,2,1,1,2,2,2,1,2,2,3,2,1,1,2,2,2,2,2,3,2,3,2,2,2,3,3,1,1,1,1,2,1,1,2,3,3,2,3,2,2,2,2,3
2020-09-09,3,1,2,2,1,2,1,2,2,1,2,2,2,1,1,2,2,2,1,2,2,3,2,1,1,2,2,2,2,2,3,2,3,2,2,2,3,3,1,1,1,1,2,1,1,2,3,3,2,3,2,2,2,2,3
2020-09-10,3,1,2,2,1,2,1,2,2,1,2,2,2,1,1,2,2,2,1,2,2,3,2,1,1,2,2,2,2,2,3,2,3,2,2,2,3,3,1,1,1,1,2,1,1,2,3,3,2,3,2,2,2,2,3
2020-09-11,3,1,2,2,1,2,1,2,2,1,2,2,2,1,1,2,2,2,1,2,2,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,3,1,1,1,1,2,1,1,2,3,3,2,3,2,2,2,2,3
2020-09-12,3,1,2,2,1,2,1,2,2,1,2,2,2,1,1,2,2,2,1,2,2,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,3,1,1,1,1,2,1,1,2,3,3,2,3,2,2,2,2,3
2020-09-13,3,1,2,2,1,2,1,2,2,1,2,2,2,1,1,2,2,2,1,2,2,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,3,1,1,1,1,2,1,1,2,3,3,2,3,2,2,2,2,3
2020-09-14,3,1,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,3,2,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,3,1,1,2,1,2,1,2,2,3,3,2,3,2,2,2,2,3
2020-09-15,3,1,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,3,2,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,3,1,1,2,1,2,1,2,2,3,3,2,3,2,2,2,2,3
2020-09-16,3,1,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,3,2,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,3,1,1,2,1,2,1,2,2,3,3,2,3,2,2,2,2,3
2020-09-17,3,1,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,3,2,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,3,1,1,2,1,2,1,2,2,3,3,2,3,2,2,2,2,3
2020-09-18,3,1,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,3,2,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,3,1,1,2,1,2,1,2,2,3,3,2,3,2,2,2,2,3
2020-09-19,3,1,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,3,2,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,3,1,1,2,1,2,1,2,2,3,3,2,3,2,2,2,2,3
2020-09-20,3,1,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,3,2,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,3,1,1,2,1,2,1,2,2,3,3,2,3,2,2,2,2,3
2020-09-21,3,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,3,2,1,2,1,2,1,2,2,3,3,2,3,2,2,2,2,3
2020-09-22,3,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,3,2,1,2,1,2,1,2,2,3,3,2,3,2,2,2,2,3
2020-09-23,3,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,3,2,1,2,1,2,1,2,2,3,3,2,3,2,2,2,2,3
2020-09-24,3,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,3,2,1,2,1,2,1,2,2,3,3,2,3,2,2,2,2,3
2020-09-25,3,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,3,2,1,2,1,2,1,2,2,3,3,2,3,2,2,2,2,3
2020-09-26,3,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,3,2,1,2,1,2,1,2,2,3,3,2,3,2,2,2,2,3
2020-09-27,3,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,3,2,1,2,1,2,1,2,2,3,3,2,3,2,2,2,2,3
2020-09-28,3,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,1,3,2,3,3,3,2,2,3,2,2,1,2,2,3,3,2,3,2,3,3,3,3
2020-09-29,3,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,1,3,2,3,3,3,2,2,3,2,2,1,2,2,3,3,2,3,2,3,3,3,3
2020-09-30,3,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,1,3,2,3,3,3,2,2,3,2,2,1,2,2,3,3,2,3,2,3,3,3,3
2020-10-01,3,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,1,3,2,3,3,3,2,2,3,2,2,1,2,2,3,3,2,3,2,3,3,3,3
2020-10-02,3,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,1,3,2,3,3,3,2,2,3,2,2,1,2,2,3,3,2,3,2,3,3,3,3
2020-10-03,3,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,2,3,2,3,3,3,2,2,3,2,2,2,2,2,3,3,2,3,2,3,3,3,3
2020-10-04,3,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,2,3,2,3,3,3,2,2,3,2,2,2,2,2,3,3,2,3,2,3,3,3,3
2020-10-05,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,2,3,3,3,3
2020-10-06,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,2,3,3,3,3
2020-10-07,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,2,3,3,3,3
2020-10-08,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,2,3,3,3,3
2020-10-09,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,2,3,3,3,3
2020-10-10,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,2,3,3,3,3
2020-10-11,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,2,3,3,3,3
2020-10-12,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,2,3,3,3,3
2020-10-13,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,2,3,3,3,3
2020-10-14,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,2,3,3,3,3
2020-10-15,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,2,3,3,3,3
2020-10-16,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,2,3,3,3,3
2020-10-17,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,2,3,3,3,3
2020-10-18,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,2,3,3,3,3
2020-10-19,3,2,3,3,2,4,2,4,4,3,3,3,3,2,3,2,2,2,2,3,3,3,3,3,2,2,3,4,3,3,3,3,3,3,2,3,4,3,2,2,3,3,3,3,3,3,3,3,2,4,2,3,3,4,3
2020-10-20,3,2,3,3,2,4,2,4,4,3,3,3,3,2,3,2,2,2,2,3,3,3,3,3,2,2,3,4,3,3,3,3,3,3,2,3,4,3,2,2,3,3,3,3,3,3,3,3,2,4,2,3,3,4,3
2020-10-21,3,2,3,3,2,4,2,4,4,3,3,3,3,2,3,2,2,2,2,3,3,3,3,3,2,2,3,4,3,3,3,3,3,3,2,3,4,3,2,2,3,3,3,3,3,3,3,3,2,4,2,3,3,4,3
2020-10-22,3,2,3,3,2,4,2,4,4,3,3,3,3,2,3,2,2,2,2,3,3,3,3,3,2,2,3,4,3,3,3,3,3,3,2,3,4,3,2,2,3,3,3,3,3,3,3,3,2,4,2,3,3,4,3
2020-10-23,3,2,3,3,2,4,2,4,4,3,3,3,3,2,3,2,2,2,2,3,3,3,3,3,2,2,3,4,3,3,3,3,3,3,2,3,4,3,2,2,3,3,3,3,3,3,3,3,2,4,2,3,3,4,3
2020-10-24,3,2,3,3,2,4,2,4,4,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,2,2,3,4,3,3,3,2,3,3,2,3,4,3,2,2,3,3,3,3,3,3,3,3,2,4,2,3,3,4,3
2020-10-25,3,2,3,3,2,4,2,4,4,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,2,2,3,4,3,3,3,2,3,3,2,3,4,3,2,2,3,3,3,3,3,3,3,3,2,4,2,3,3,4,3
2020-10-26,4,2,4,3,3,4,2,4,4,3,3,3,3,2,2,2,3,2,2,3,4,3,3,3,2,3,3,4,3,3,3,2,3,3,3,4,4,3,3,2,3,3,3,3,3,3,3,3,2,4,2,3,3,4,4
2020-10-27,4,2,4,3,3,4,2,4,4,3,3,3,3,2,2,2,3,2,2,3,4,3,3,3,2,3,3,4,3,3,3,2,3,3,3,4,4,3,3,2,3,3,3,3,3,3,3,3,2,4,2,3,3,4,4
2020-10-28,4,2,4,3,3,4,2,4,4,3,3,3,3,2,2,2,3,2,2,3,4,3,3,3,2,3,3,4,3,3,3,2,3,3,3,4,4,3,3,2,3,3,3,3,3,3,3,3,2,4,2,3,3,4,4
2020-10-29,4,2,4,3,3,4,2,4,4,3,3,3,3,2,2,2,3,2,2,3,4,3,3,3,2,3,3,4,3,3,3,2,3,3,3,4,4,3,3,2,3,3,3,3,3,3,3,3,2,4,2,3,3,4,4
2020-10-30,4,2,4,3,3,4,2,4,4,3,3,3,3,2,2,2,3,2,2,3,4,3,3,3,2,3,3,4,3,3,3,2,3,3,3,4,4,3,3,2,3,3,3,3,3,3,3,3,2,4,2,3,3,4,4
2020-10-31,4,2,4,3,3,4,2,4,4,3,3,3,3,2,1,2,3,2,2,3,4,3,3,3,2,3,3,4,3,3,3,2,3,3,3,4,4,3,3,2,3,3,3,3,3,3,3,3,2,4,2,3,3,4,4
2020-11-01,4,2,4,3,3,4,2,4,4,3,3,3,3,2,1,2,3,2,2,3,4,3,3,3,2,3,3,4,3,3,3,2,3,3,3,4,4,3,3,2,3,3,3,3,3,3,3,3,2,4,2,3,3,4,4
2020-11-02,4,2,4,3,3,4,2,4,4,3,3,3,3,3,1,2,3,2,2,3,4,3,3,3,2,3,3,4,4,4,4,2,3,3,3,4,4,3,3,2,3,3,3,3,3,3,3,3,2,4,2,3,3,4,4
