Region,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago
Codigo region,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Comuna,Alhué,Buin,Calera de Tango,Cerrillos,Cerro Navia,Colina,Conchalí,Curacaví,El Bosque,El Monte,Estación Central,Huechuraba,Independencia,Isla de Maipo,La Cisterna,La Florida,La Granja,La Pintana,La Reina,Lampa,Las Condes,Lo Barnechea,Lo Espejo,Lo Prado,Macul,Maipú,María Pinto,Melipilla,Padre Hurtado,Paine,Pedro Aguirre Cerda,Peñaflor,Peñalolén,Pirque,Providencia,Pudahuel,Puente Alto,Quilicura,Quinta Normal,Recoleta,Renca,San Bernardo,San Joaquín,San José de Maipo,San Miguel,San Pedro,San Ramón,Santiago,Talagante,Tiltil,Vitacura,Ñuñoa
Codigo comuna,13502,13402,13403,13102,13103,13301,13104,13503,13105,13602,13106,13107,13108,13603,13109,13110,13111,13112,13113,13302,13114,13115,13116,13117,13118,13119,13504,13501,13604,13404,13121,13605,13122,13202,13123,13124,13201,13125,13126,13127,13128,13401,13129,13203,13130,13505,13131,13101,13601,13303,13132,13120
Superficie_km2,844.43,217.03,73.22,16.82,11.05,970.86,10.94,694.1,14.25,115.97,14.37,44.98,7.35,189.62,10.01,71.04,10.05,30.47,23.39,449.52,99.06,1023.61,8.25,6.54,12.81,136.8,394.3,1352.65,80.64,677.52,8.73,69.42,53.89,444.71,14.44,198.57,88.39,57.32,11.8,15.61,23.68,153.85,9.94,4982.37,9.63,793.11,6.31,23.18,125.23,654.65,28.59,16.89
Poblacion,7405,109641,28525,88956,142465,180353,139195,36430,172000,40014,206792,112528,142065,40171,100434,402433,122557,189335,100252,126898,330759,124076,103865,104403,134635,578605,14926,141612,74188,82766,107803,101058,266798,30433,157749,253139,645909,254694,136368,190075,160847,334836,103485,18644,133059,11953,86510,503147,81838,21477,96774,250192
2020-02-26,0,3.64131709882286,2.50125313283208,2.58123266952357,1.60652390890119,5.5652533395344,2.35939298350313,3.21737251512532,1.6551366757352,1.94861476551617,5.08138733634484,4.88384819764445,2.439146567718,2.43292473364647,2.49692816635161,4.62295724291055,1.0017242568453,1.2709801409353,4.4833941104968,2.33421664342166,11.1410497770008,5.84018278301887,1.35319180744506,1.19950594812455,2.56626454665587,3.79104897002112,0.697730398899587,5.31562776793623,1.4606434839129,3.34876996511841,1.44251215066829,3.19342176502436,4.15467775467775,2.78733094120894,12.0507313829787,4.05455173605113,3.10239991933044,4.00557136366897,2.54911748974862,3.39214083437947,2.26811055438823,4.12694520133212,1.53388141504733,2.4283280085197,3.05352182016387,2.54803240740741,1.14187479370668,10.7012610150239,3.25273582840884,4.11372022811137,8.00347222222222,4.78435687984086
2020-02-27,0,3.61405282957809,2.25997686524002,2.68130829342072,1.50798475637419,5.39707516213214,2.40760475723603,3.38234658599827,1.61011789091851,1.91843367899706,5.101804353929,4.92187809810842,2.58645640074212,2.46408523313094,2.84281663516068,4.66845705516464,1.05365887302573,1.28243113388853,4.61212406383563,2.33616922361692,11.4939263542437,5.91895636792453,1.46434444610555,1.22823896509133,2.6868152947696,3.8505319458171,0.640646492434663,5.31695637732507,1.49671758206045,3.53231136405361,1.43689246658566,3.4278108644649,4.23583803583804,2.6280706596743,12.2945478723404,4.46624632924512,3.0957043460724,3.7545969728127,2.58420395792476,3.36443523195049,2.28527557782447,4.2516348773842,1.44386314565687,2.55378061767838,3.16242922952491,2.92303240740741,1.16035867532182,10.8123386016133,3.35062376887722,3.84166387118417,8.36609781323877,4.84858424683625
2020-02-28,0,3.68403381740221,2.7985347985348,2.92021678850517,1.46089284094002,5.61439681678423,2.42555096125155,3.50896715643907,1.60597227620158,2.04055099829748,5.76101880917745,4.71773010270849,2.59233147804576,2.50074464428915,3.21507561436673,5.39511534128941,0.999517208083316,1.33508167841128,4.77390895188801,2.16220362622036,11.1766960263565,5.95462853773585,1.40327403199282,1.2927257362023,2.7083848416386,4.07640059686452,0.650275103163686,5.53470992028344,1.64718882027949,3.67225078024601,1.44160085054678,3.5329814112976,4.43373923373923,2.56720949489373,12.6488253546099,4.31198825358438,3.29399011797923,3.83202218980895,2.63415938669995,3.19875631331562,2.33851624373687,4.5780199818347,1.54143829928583,2.87582534611289,3.36856911769877,2.88454861111111,1.15749807459567,11.1430067354708,3.50317356095426,4.34417980543442,8.42811761229314,4.96952638930038
2020-02-29,0,3.48197888434934,3.16194331983806,3.03176203680363,1.50576172761092,5.3139033149885,2.38283814314336,3.7919187554019,1.82640238372846,2.1875870608265,5.17775565934206,3.44553277550859,2.25850340136054,2.7779814411731,2.78544423440454,5.10368471748323,1.04938271604938,1.30657431133889,4.37117201897816,2.20385867038587,7.7121965978619,5.31090801886792,1.34459560472417,1.31229279074303,2.47312332153971,3.97951669476581,0.551237964236589,5.83951505757307,1.70094247643809,3.80048650633376,1.49232989064399,3.89839379173434,4.7975843975844,3.34211979022909,7.6438829787234,3.21627224045604,3.47053544418675,3.35259797709285,2.26318416830094,3.09456106034508,2.06057863261678,4.40437481077808,1.45382826772961,5.37124600638978,2.81742096564335,2.75,1.00242050830674,7.24206873907372,3.60385204639965,3.55686011405569,6.35641991725768,4.34181233334744
2020-03-01,0,3.08045791027871,2.82398303450935,1.86784723972775,1.56542056074766,4.87176704648218,2.20371712349205,3.46380726015558,1.7289156626506,2.0249187432286,4.34428195901284,3.19082365071182,2.1143475572047,2.71314010768702,2.47930056710775,4.6460255007918,1.07428098489551,1.18225496476618,4.14445359369486,1.98684332868433,7.0808848248504,5.43838443396226,1.35894752578861,1.34395111486706,2.23969478664905,3.68839020987152,0.525790921595598,5.06106067316209,2.0603184920377,3.63695612263631,1.37826549210207,3.66084641761415,4.52749232749233,3.14463152083908,6.00130762411348,3.04869580238383,3.10215791065847,2.94361684321274,2.06921019789624,2.60263334598429,1.99741393243899,3.58139570087799,1.12888224547417,5.46879659211928,2.54119632872666,2.35706018518519,0.904389921883596,5.38590964352587,3.22882468811556,3.31029855753103,5.87706855791962,3.86519659711347
