Egresos semanales,Fecha,Egresos
S03-04_03-08,2020-06-26,4.0
S03-09_03-15,2020-06-26,13.0
S03-16_03-22,2020-06-26,17.0
S03-23_03-29,2020-06-26,82.0
S03-30_04-05,2020-06-26,234.0
S04-06_04-12,2020-06-26,306.0
S04-13_04-19,2020-06-26,383.0
S04-20_04-26,2020-06-26,408.0
S04-27_05-03,2020-06-26,459.0
S05-04_05-10,2020-06-26,670.0
S05-11_05-17,2020-06-26,1000.0
S05-18_05-24,2020-06-26,1635.0
S05-25_05-31,2020-06-26,2147.0
S06-01_06-07,2020-06-26,2189.0
S06-08_06-14,2020-06-26,2202.0
S06-15_06-21,2020-06-26,2225.0
S06-22_06-28,2020-06-26,
S06-29_07-05,2020-06-26,
S07-06_07-12,2020-06-26,
S07-13_07-20,2020-06-26,
S07-21_07-27,2020-06-26,
S07-28_08-02,2020-06-26,
S08-03_08-09,2020-06-26,
S08-10_08-16,2020-06-26,
S08-17_08-23,2020-06-26,
S03-04_03-08,2020-06-27,4.0
S03-09_03-15,2020-06-27,13.0
S03-16_03-22,2020-06-27,17.0
S03-23_03-29,2020-06-27,82.0
S03-30_04-05,2020-06-27,234.0
S04-06_04-12,2020-06-27,306.0
S04-13_04-19,2020-06-27,383.0
S04-20_04-26,2020-06-27,408.0
S04-27_05-03,2020-06-27,459.0
S05-04_05-10,2020-06-27,670.0
S05-11_05-17,2020-06-27,1000.0
S05-18_05-24,2020-06-27,1647.0
S05-25_05-31,2020-06-27,2189.0
S06-01_06-07,2020-06-27,2266.0
S06-08_06-14,2020-06-27,2253.0
S06-15_06-21,2020-06-27,2343.0
S06-22_06-28,2020-06-27,
S06-29_07-05,2020-06-27,
S07-06_07-12,2020-06-27,
S07-13_07-20,2020-06-27,
S07-21_07-27,2020-06-27,
S07-28_08-02,2020-06-27,
S08-03_08-09,2020-06-27,
S08-10_08-16,2020-06-27,
S08-17_08-23,2020-06-27,
S03-04_03-08,2020-06-28,4.0
S03-09_03-15,2020-06-28,13.0
S03-16_03-22,2020-06-28,17.0
S03-23_03-29,2020-06-28,82.0
S03-30_04-05,2020-06-28,234.0
S04-06_04-12,2020-06-28,306.0
S04-13_04-19,2020-06-28,383.0
S04-20_04-26,2020-06-28,408.0
S04-27_05-03,2020-06-28,459.0
S05-04_05-10,2020-06-28,670.0
S05-11_05-17,2020-06-28,1000.0
S05-18_05-24,2020-06-28,1647.0
S05-25_05-31,2020-06-28,2189.0
S06-01_06-07,2020-06-28,2266.0
S06-08_06-14,2020-06-28,2253.0
S06-15_06-21,2020-06-28,2343.0
S06-22_06-28,2020-06-28,
S06-29_07-05,2020-06-28,
S07-06_07-12,2020-06-28,
S07-13_07-20,2020-06-28,
S07-21_07-27,2020-06-28,
S07-28_08-02,2020-06-28,
S08-03_08-09,2020-06-28,
S08-10_08-16,2020-06-28,
S08-17_08-23,2020-06-28,
S03-04_03-08,2020-06-29,4.0
S03-09_03-15,2020-06-29,13.0
S03-16_03-22,2020-06-29,17.0
S03-23_03-29,2020-06-29,82.0
S03-30_04-05,2020-06-29,234.0
S04-06_04-12,2020-06-29,306.0
S04-13_04-19,2020-06-29,383.0
S04-20_04-26,2020-06-29,408.0
S04-27_05-03,2020-06-29,459.0
S05-04_05-10,2020-06-29,670.0
S05-11_05-17,2020-06-29,1000.0
S05-18_05-24,2020-06-29,1647.0
S05-25_05-31,2020-06-29,2189.0
S06-01_06-07,2020-06-29,2266.0
S06-08_06-14,2020-06-29,2253.0
S06-15_06-21,2020-06-29,2343.0
S06-22_06-28,2020-06-29,
S06-29_07-05,2020-06-29,
S07-06_07-12,2020-06-29,
S07-13_07-20,2020-06-29,
S07-21_07-27,2020-06-29,
S07-28_08-02,2020-06-29,
S08-03_08-09,2020-06-29,
S08-10_08-16,2020-06-29,
S08-17_08-23,2020-06-29,
S03-04_03-08,2020-06-30,4.0
S03-09_03-15,2020-06-30,13.0
S03-16_03-22,2020-06-30,17.0
S03-23_03-29,2020-06-30,82.0
S03-30_04-05,2020-06-30,234.0
S04-06_04-12,2020-06-30,306.0
S04-13_04-19,2020-06-30,383.0
S04-20_04-26,2020-06-30,408.0
S04-27_05-03,2020-06-30,459.0
S05-04_05-10,2020-06-30,670.0
S05-11_05-17,2020-06-30,1000.0
S05-18_05-24,2020-06-30,1647.0
S05-25_05-31,2020-06-30,2189.0
S06-01_06-07,2020-06-30,2266.0
S06-08_06-14,2020-06-30,2253.0
S06-15_06-21,2020-06-30,2343.0
S06-22_06-28,2020-06-30,
S06-29_07-05,2020-06-30,
S07-06_07-12,2020-06-30,
S07-13_07-20,2020-06-30,
S07-21_07-27,2020-06-30,
S07-28_08-02,2020-06-30,
S08-03_08-09,2020-06-30,
S08-10_08-16,2020-06-30,
S08-17_08-23,2020-06-30,
S03-04_03-08,2020-07-01,4.0
S03-09_03-15,2020-07-01,13.0
S03-16_03-22,2020-07-01,17.0
S03-23_03-29,2020-07-01,82.0
S03-30_04-05,2020-07-01,234.0
S04-06_04-12,2020-07-01,306.0
S04-13_04-19,2020-07-01,383.0
S04-20_04-26,2020-07-01,408.0
S04-27_05-03,2020-07-01,459.0
S05-04_05-10,2020-07-01,673.0
S05-11_05-17,2020-07-01,1007.0
S05-18_05-24,2020-07-01,1662.0
S05-25_05-31,2020-07-01,2209.0
S06-01_06-07,2020-07-01,2324.0
S06-08_06-14,2020-07-01,2365.0
S06-15_06-21,2020-07-01,2449.0
S06-22_06-28,2020-07-01,2255.0
S06-29_07-05,2020-07-01,
S07-06_07-12,2020-07-01,
S07-13_07-20,2020-07-01,
S07-21_07-27,2020-07-01,
S07-28_08-02,2020-07-01,
S08-03_08-09,2020-07-01,
S08-10_08-16,2020-07-01,
S08-17_08-23,2020-07-01,
S03-04_03-08,2020-07-02,4.0
S03-09_03-15,2020-07-02,13.0
S03-16_03-22,2020-07-02,17.0
S03-23_03-29,2020-07-02,82.0
S03-30_04-05,2020-07-02,234.0
S04-06_04-12,2020-07-02,306.0
S04-13_04-19,2020-07-02,383.0
S04-20_04-26,2020-07-02,408.0
S04-27_05-03,2020-07-02,459.0
S05-04_05-10,2020-07-02,673.0
S05-11_05-17,2020-07-02,1007.0
S05-18_05-24,2020-07-02,1662.0
S05-25_05-31,2020-07-02,2209.0
S06-01_06-07,2020-07-02,2324.0
S06-08_06-14,2020-07-02,2365.0
S06-15_06-21,2020-07-02,2449.0
S06-22_06-28,2020-07-02,2255.0
S06-29_07-05,2020-07-02,
S07-06_07-12,2020-07-02,
S07-13_07-20,2020-07-02,
S07-21_07-27,2020-07-02,
S07-28_08-02,2020-07-02,
S08-03_08-09,2020-07-02,
S08-10_08-16,2020-07-02,
S08-17_08-23,2020-07-02,
S03-04_03-08,2020-07-03,4.0
S03-09_03-15,2020-07-03,13.0
S03-16_03-22,2020-07-03,17.0
