Comorbilidad,Hipertensión arterial,Diabetes,Obesidad,Asma,Enfermedad cardiovascular,Enfermedad pulmonar crónica,Cardiopatía crónica,Enfermedad renal crónica,Enfermedad neurológica crónica,Inmunocomprometido,Enfermedad hepática crónica,Hipertensión arterial,Diabetes,Obesidad,Asma,Enfermedad cardiovascular,Enfermedad pulmonar crónica,Cardiopatía crónica,Enfermedad renal crónica,Enfermedad neurológica crónica,Inmunocomprometido,Enfermedad hepática crónica
Hospitalización,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
2020-05-25,6350.0,2770.0,1351.0,1554.0,540.0,405.0,405.0,203.0,203.0,68.0,68.0,1861.0,1262.0,380.0,232.0,296.0,309.0,328.0,283.0,193.0,84.0,71.0
2020-05-29,8134.0,3569.0,1743.0,1909.0,664.0,415.0,498.0,332.0,249.0,83.0,83.0,2192.0,1467.0,466.0,252.0,328.0,344.0,367.0,336.0,214.0,99.0,92.0
2020-06-01,9725.0,4333.0,2118.0,2311.0,770.0,578.0,578.0,385.0,289.0,96.0,96.0,2556.0,1695.0,541.0,293.0,373.0,391.0,408.0,382.0,240.0,106.0,106.0
2020-06-05,11543.0,5043.0,2578.0,2690.0,784.0,672.0,672.0,448.0,336.0,112.0,112.0,3025.0,1972.0,647.0,344.0,417.0,459.0,459.0,449.0,271.0,115.0,115.0
2020-06-08,13491.0,5982.0,3055.0,3055.0,891.0,764.0,764.0,509.0,382.0,127.0,127.0,3461.0,2234.0,729.0,382.0,463.0,498.0,509.0,498.0,301.0,127.0,127.0
2020-06-12,16083,7024,3639,3582,1041,828,802,632,430,145,103,4147,2615,858,594,580,582,557,446,367,154,155
2020-06-15,18328,8015,4199,4010,1134,925,878,737,493,106,123,4641,2935,989,645,643,631,611,488,394,160,148
2020-06-19,24774,10780,5789,5392,1500,1233,1152,982,696,149,160,5302,3353,1150,548,708,739,746,734,476,167,177
2020-06-23,27615,12035,6537,6073,1656,1407,1277,1117,794,172,185,5730,3603,1236,586,758,801,805,781,518,176,194
2020-06-28,30754,13419,7336,6714,1832,1562,1377,1247,878,185,207,6260,3930,1375,625,829,846,858,829,578,184,215
2020-07-01,32044,13959,7695,6974,1894,1643,1436,1294,907,277,218,6476,4056,1436,651,858,894,894,879,595,210,227
2020-07-05,34125,14918,8161,7396,1999,1744,1532,1381,955,304,233,6808,4255,1512,688,905,941,938,923,630,239,241
2020-07-10,36145,17783,9366,8613,2310,2068,1814,1663,1142,344,283,7257,4506,1589,726,969,977,980,979,656,231,259
2020-07-13,37285,18321,9644,8864,2364,2130,1879,1707,1180,345,288,7549,4693,1650,757,998,1002,1019,1010,679,256,265
2020-07-17,38368,18887,9945,9164,2427,2204,1933,1764,1210,1584,299,7785,4835,1701,781,1026,1021,1050,1046,699,675,279
2020-07-24,39868,19624,10305,9560,2515,2309,2007,1802,1258,1636,303,8324,5177,1802,830,1105,1075,1106,1138,744,709,299
2020-07-27,40561.0,19961.0,10438.0,9697.0,2547.0,2348.0,2038.0,1830.0,1280.0,1648.0,306.0,8522.0,5297.0,1843.0,852.0,1127.0,1095.0,1135.0,1164.0,771.0,733.0,306.0
2020-07-31,41406.0,20350.0,10623.0,9888.0,2591.0,2392.0,2081.0,1870.0,1299.0,1675.0,314.0,8730.0,5426.0,1882.0,872.0,1159.0,1122.0,1165.0,1205.0,797.0,749.0,320.0
2020-08-03,42006.0,20658.0,10766.0,10020.0,2612.0,2427.0,2112.0,1888.0,1330.0,1691.0,317.0,8908.0,5539.0,1908.0,882.0,1179.0,1139.0,1187.0,1237.0,809.0,760.0,329.0
2020-08-07,42783.0,21087.0,10998.0,10291.0,2650.0,2475.0,2144.0,1917.0,1339.0,1720.0,325.0,9246.0,5758.0,1987.0,912.0,1224.0,1180.0,1221.0,1300.0,833.0,781.0,344.0
2020-08-10,43001.0,21163.0,11036.0,10426.0,2645.0,2479.0,2142.0,1919.0,1349.0,1726.0,323.0,9926.0,6169.0,2149.0,983.0,1294.0,1241.0,1276.0,1369.0,852.0,812.0,350.0
2020-08-14,43230.0,21224.0,11117.0,10601.0,2655.0,2489.0,2146.0,1900.0,1370.0,1732.0,323.0,10786.0,6694.0,2338.0,1087.0,1371.0,1299.0,1341.0,1463.0,888.0,857.0,372.0
2020-08-17,43518.0,21327.0,11180.0,10726.0,2659.0,2517.0,2156.0,1917.0,1380.0,1744.0,320.0,11228.0,6988.0,2433.0,1152.0,1414.0,1331.0,1388.0,1503.0,910.0,873.0,382.0
2020-08-21,43898.0,21412.0,11270.0,10890.0,2666.0,2528.0,2195.0,1909.0,1385.0,1751.0,320.0,11797.0,7364.0,2555.0,1223.0,1465.0,1392.0,1451.0,1586.0,945.0,906.0,395.0
2020-08-24,44497.0,21714.0,11417.0,11057.0,2699.0,2546.0,2216.0,1961.0,1403.0,1780.0,328.0,12015.0,7506.0,2599.0,1242.0,1491.0,1422.0,1487.0,1622.0,963.0,914.0,400.0
2020-08-28,45109.0,22021.0,11558.0,11244.0,2709.0,2591.0,2249.0,1988.0,1428.0,1793.0,328.0,12370.0,7704.0,2663.0,1278.0,1538.0,1454.0,1518.0,1669.0,975.0,933.0,409.0
