Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,5220.0
Arica y Parinacota,15,Camarones,15102,1233.0,23.0
Arica y Parinacota,15,General Lagos,15202,810.0,2.0
Arica y Parinacota,15,Putre,15201,2515.0,50.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,13.0
Tarapacá,01,Alto Hospicio,01107,129999.0,2679.0
Tarapacá,01,Camina,01402,1375.0,42.0
Tarapacá,01,Colchane,01403,1583.0,93.0
Tarapacá,01,Huara,01404,3000.0,136.0
Tarapacá,01,Iquique,01101,223463.0,5076.0
Tarapacá,01,Pica,01405,5958.0,259.0
Tarapacá,01,Pozo Almonte,01401,17395.0,769.0
Tarapacá,01,Desconocido Tarapaca,,,422.0
Antofagasta,02,Antofagasta,02101,425725.0,7935.0
Antofagasta,02,Calama,02201,190336.0,6620.0
Antofagasta,02,Maria Elena,02302,6814.0,328.0
Antofagasta,02,Mejillones,02102,14776.0,497.0
Antofagasta,02,Ollague,02202,287.0,24.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,281.0
Antofagasta,02,Sierra Gorda,02103,1746.0,70.0
Antofagasta,02,Taltal,02104,13657.0,141.0
Antofagasta,02,Tocopilla,02301,28079.0,286.0
Antofagasta,02,Desconocido Antofagasta,,,230.0
Atacama,03,Alto del Carmen,03302,5729.0,11.0
Atacama,03,Caldera,03102,19426.0,106.0
Atacama,03,Chanaral,03201,13164.0,59.0
Atacama,03,Copiapo,03101,171766.0,2410.0
Atacama,03,Diego de Almagro,03202,14358.0,57.0
Atacama,03,Freirina,03303,7681.0,60.0
Atacama,03,Huasco,03304,11264.0,36.0
Atacama,03,Tierra Amarilla,03103,14312.0,213.0
Atacama,03,Vallenar,03301,57009.0,494.0
Atacama,03,Desconocido Atacama,,,18.0
Coquimbo,04,Andacollo,04103,11791.0,57.0
Coquimbo,04,Canela,04202,9546.0,28.0
Coquimbo,04,Combarbala,04302,13884.0,37.0
Coquimbo,04,Coquimbo,04102,256735.0,2735.0
Coquimbo,04,Illapel,04201,32801.0,307.0
Coquimbo,04,La Higuera,04104,4450.0,71.0
Coquimbo,04,La Serena,04101,249656.0,2369.0
Coquimbo,04,Los Vilos,04203,23374.0,136.0
Coquimbo,04,Monte Patria,04303,32527.0,278.0
Coquimbo,04,Ovalle,04301,121269.0,1328.0
Coquimbo,04,Paiguano,04105,4675.0,12.0
Coquimbo,04,Punitaqui,04304,12165.0,93.0
Coquimbo,04,Rio Hurtado,04305,4372.0,30.0
Coquimbo,04,Salamanca,04204,29110.0,154.0
Coquimbo,04,Vicuna,04106,29741.0,142.0
Coquimbo,04,Desconocido Coquimbo,,,137.0
Valparaíso,05,Algarrobo,05602,15174.0,110.0
Valparaíso,05,Cabildo,05402,20663.0,299.0
Valparaíso,05,Calera,05502,53591.0,823.0
Valparaíso,05,Calle Larga,05302,16482.0,258.0
Valparaíso,05,Cartagena,05603,25357.0,196.0
Valparaíso,05,Casablanca,05102,29170.0,294.0
Valparaíso,05,Catemu,05702,15213.0,149.0
Valparaíso,05,Concon,05103,45889.0,528.0
Valparaíso,05,El Quisco,05604,17742.0,180.0
Valparaíso,05,El Tabo,05605,14338.0,247.0
Valparaíso,05,Hijuelas,05503,19099.0,216.0
Valparaíso,05,Isla de Pascua,05201,8277.0,5.0
Valparaíso,05,Juan Fernandez,05104,1033.0,0.0
Valparaíso,05,La Cruz,05504,25321.0,230.0
Valparaíso,05,La Ligua,05401,37739.0,455.0
Valparaíso,05,Limache,05802,49931.0,825.0
Valparaíso,05,Llaillay,05703,26533.0,354.0
Valparaíso,05,Los Andes,05301,68093.0,1034.0
Valparaíso,05,Nogales,05506,23490.0,231.0
Valparaíso,05,Olmue,05803,19266.0,172.0
Valparaíso,05,Panquehue,05704,7633.0,117.0
Valparaíso,05,Papudo,05403,6201.0,97.0
Valparaíso,05,Petorca,05404,10558.0,115.0
Valparaíso,05,Puchuncavi,05105,20071.0,177.0
