Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,6131.0
Arica y Parinacota,15,Camarones,15102,1233.0,25.0
Arica y Parinacota,15,General Lagos,15202,810.0,48.0
Arica y Parinacota,15,Putre,15201,2515.0,55.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,23.0
Tarapacá,01,Alto Hospicio,01107,129999.0,2951.0
Tarapacá,01,Camina,01402,1375.0,57.0
Tarapacá,01,Colchane,01403,1583.0,96.0
Tarapacá,01,Huara,01404,3000.0,148.0
Tarapacá,01,Iquique,01101,223463.0,5512.0
Tarapacá,01,Pica,01405,5958.0,313.0
Tarapacá,01,Pozo Almonte,01401,17395.0,850.0
Tarapacá,01,Desconocido Tarapaca,,,427.0
Antofagasta,02,Antofagasta,02101,425725.0,8867.0
Antofagasta,02,Calama,02201,190336.0,6902.0
Antofagasta,02,Maria Elena,02302,6814.0,337.0
Antofagasta,02,Mejillones,02102,14776.0,520.0
Antofagasta,02,Ollague,02202,287.0,24.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,305.0
Antofagasta,02,Sierra Gorda,02103,1746.0,77.0
Antofagasta,02,Taltal,02104,13657.0,153.0
Antofagasta,02,Tocopilla,02301,28079.0,298.0
Antofagasta,02,Desconocido Antofagasta,,,261.0
Atacama,03,Alto del Carmen,03302,5729.0,29.0
Atacama,03,Caldera,03102,19426.0,191.0
Atacama,03,Chanaral,03201,13164.0,81.0
Atacama,03,Copiapo,03101,171766.0,3362.0
Atacama,03,Diego de Almagro,03202,14358.0,90.0
Atacama,03,Freirina,03303,7681.0,96.0
Atacama,03,Huasco,03304,11264.0,48.0
Atacama,03,Tierra Amarilla,03103,14312.0,278.0
Atacama,03,Vallenar,03301,57009.0,576.0
Atacama,03,Desconocido Atacama,,,31.0
Coquimbo,04,Andacollo,04103,11791.0,64.0
Coquimbo,04,Canela,04202,9546.0,42.0
Coquimbo,04,Combarbala,04302,13884.0,41.0
Coquimbo,04,Coquimbo,04102,256735.0,3272.0
Coquimbo,04,Illapel,04201,32801.0,353.0
Coquimbo,04,La Higuera,04104,4450.0,92.0
Coquimbo,04,La Serena,04101,249656.0,2753.0
Coquimbo,04,Los Vilos,04203,23374.0,173.0
Coquimbo,04,Monte Patria,04303,32527.0,320.0
Coquimbo,04,Ovalle,04301,121269.0,1612.0
Coquimbo,04,Paiguano,04105,4675.0,12.0
Coquimbo,04,Punitaqui,04304,12165.0,111.0
Coquimbo,04,Rio Hurtado,04305,4372.0,41.0
Coquimbo,04,Salamanca,04204,29110.0,168.0
Coquimbo,04,Vicuna,04106,29741.0,168.0
Coquimbo,04,Desconocido Coquimbo,,,142.0
Valparaíso,05,Algarrobo,05602,15174.0,114.0
Valparaíso,05,Cabildo,05402,20663.0,342.0
Valparaíso,05,Calera,05502,53591.0,1006.0
Valparaíso,05,Calle Larga,05302,16482.0,292.0
Valparaíso,05,Cartagena,05603,25357.0,207.0
Valparaíso,05,Casablanca,05102,29170.0,398.0
Valparaíso,05,Catemu,05702,15213.0,181.0
Valparaíso,05,Concon,05103,45889.0,575.0
Valparaíso,05,El Quisco,05604,17742.0,193.0
Valparaíso,05,El Tabo,05605,14338.0,257.0
Valparaíso,05,Hijuelas,05503,19099.0,265.0
Valparaíso,05,Isla de Pascua,05201,8277.0,5.0
Valparaíso,05,Juan Fernandez,05104,1033.0,0.0
Valparaíso,05,La Cruz,05504,25321.0,265.0
Valparaíso,05,La Ligua,05401,37739.0,568.0
Valparaíso,05,Limache,05802,49931.0,946.0
Valparaíso,05,Llaillay,05703,26533.0,388.0
Valparaíso,05,Los Andes,05301,68093.0,1074.0
Valparaíso,05,Nogales,05506,23490.0,285.0
Valparaíso,05,Olmue,05803,19266.0,227.0
Valparaíso,05,Panquehue,05704,7633.0,120.0
Valparaíso,05,Papudo,05403,6201.0,107.0
Valparaíso,05,Petorca,05404,10558.0,125.0
