Region,Codigo region,Comuna,Codigo comuna,Nacimientos,Fecha
Tarapacá,1,Iquique,1101,19,2012-01-02
Tarapacá,1,Iquique,1101,18,2012-01-03
Tarapacá,1,Iquique,1101,23,2012-01-04
Tarapacá,1,Iquique,1101,18,2012-01-05
Tarapacá,1,Iquique,1101,16,2012-01-06
Tarapacá,1,Iquique,1101,29,2012-01-09
Tarapacá,1,Iquique,1101,19,2012-01-10
Tarapacá,1,Iquique,1101,15,2012-01-11
Tarapacá,1,Iquique,1101,20,2012-01-12
Tarapacá,1,Iquique,1101,23,2012-01-13
Tarapacá,1,Iquique,1101,29,2012-01-16
Tarapacá,1,Iquique,1101,23,2012-01-17
Tarapacá,1,Iquique,1101,13,2012-01-18
Tarapacá,1,Iquique,1101,25,2012-01-19
Tarapacá,1,Iquique,1101,15,2012-01-20
Tarapacá,1,Iquique,1101,24,2012-01-23
Tarapacá,1,Iquique,1101,32,2012-01-24
Tarapacá,1,Iquique,1101,15,2012-01-25
Tarapacá,1,Iquique,1101,21,2012-01-26
Tarapacá,1,Iquique,1101,18,2012-01-27
Tarapacá,1,Iquique,1101,34,2012-01-30
Tarapacá,1,Iquique,1101,20,2012-01-31
Tarapacá,1,Iquique,1101,14,2012-02-01
Tarapacá,1,Iquique,1101,18,2012-02-02
Tarapacá,1,Iquique,1101,21,2012-02-03
Tarapacá,1,Iquique,1101,33,2012-02-06
Tarapacá,1,Iquique,1101,25,2012-02-07
Tarapacá,1,Iquique,1101,12,2012-02-08
Tarapacá,1,Iquique,1101,17,2012-02-09
Tarapacá,1,Iquique,1101,18,2012-02-10
Tarapacá,1,Iquique,1101,25,2012-02-13
Tarapacá,1,Iquique,1101,27,2012-02-14
Tarapacá,1,Iquique,1101,2,2012-02-15
Tarapacá,1,Iquique,1101,27,2012-02-16
Tarapacá,1,Iquique,1101,19,2012-02-17
Tarapacá,1,Iquique,1101,46,2012-02-20
Tarapacá,1,Iquique,1101,19,2012-02-21
Tarapacá,1,Iquique,1101,14,2012-02-22
Tarapacá,1,Iquique,1101,25,2012-02-23
Tarapacá,1,Iquique,1101,10,2012-02-24
Tarapacá,1,Iquique,1101,31,2012-02-27
Tarapacá,1,Iquique,1101,20,2012-02-28
Tarapacá,1,Iquique,1101,14,2012-02-29
Tarapacá,1,Iquique,1101,18,2012-03-01
Tarapacá,1,Iquique,1101,12,2012-03-02
