Fecha,Casos nuevos con sintomas,Casos totales,Casos recuperados,Fallecidos,Casos activos,Casos nuevos sin sintomas,Casos nuevos totales,Casos activos por FD,Casos activos por FIS,Casos recuperados por FIS,Casos recuperados por FD,Casos confirmados recuperados,Casos activos confirmados,Casos probables acumulados,Casos activos probables,Casos nuevos sin notificar
2020-03-02,1,1,0,0,1,,1,1,,,0,,,,,
2020-03-03,0,1,0,0,1,,0,1,,,0,,,,,
2020-03-04,2,3,0,0,3,,2,3,,,0,,,,,
2020-03-05,1,4,0,0,4,,1,4,,,0,,,,,
2020-03-06,1,5,0,0,5,,1,5,,,0,,,,,
2020-03-07,2,7,0,0,7,,2,7,,,0,,,,,
2020-03-08,3,10,0,0,10,,3,10,,,0,,,,,
2020-03-09,5,15,0,0,15,,5,15,,,0,,,,,
2020-03-10,2,17,0,0,17,,2,17,,,0,,,,,
2020-03-11,6,23,0,0,23,,6,23,,,0,,,,,
2020-03-12,10,33,0,0,33,,10,33,,,0,,,,,
2020-03-13,10,43,0,0,43,,10,43,,,0,,,,,
2020-03-14,18,61,0,0,61,,18,61,,,0,,,,,
2020-03-15,14,75,0,0,75,,14,75,,,0,,,,,
2020-03-16,81,156,0,0,156,,81,156,,,0,,,,,
2020-03-17,45,201,1,0,200,,45,200,,,1,,,,,
2020-03-18,37,238,3,0,235,,37,235,,,3,,,,,
2020-03-19,104,342,4,0,338,,104,338,,,4,,,,,
2020-03-20,92,434,5,0,429,,92,429,,,5,,,,,
2020-03-21,103,537,6,0,531,,103,531,,,6,,,,,
2020-03-22,95,632,8,1,623,,95,623,,,8,,,,,
2020-03-23,114,746,11,1,734,,114,734,,,11,,,,,
2020-03-24,176,922,17,2,903,,176,903,,,17,,,,,
2020-03-25,220,1142,22,3,1117,,220,1117,,,22,,,,,
2020-03-26,164,1306,33,4,1269,,164,1269,,,33,,,,,
2020-03-27,304,1610,43,5,1562,,304,1562,,,43,,,,,
2020-03-28,299,1909,61,6,1842,,299,1842,,,61,,,,,
2020-03-29,230,2139,75,7,2057,,230,2057,,,75,,,,,
2020-03-30,310,2449,156,8,2285,,310,2285,,,156,,,,,
2020-03-31,289,2738,201,12,2525,,289,2525,,,201,,,,,
2020-04-01,293,3031,234,16,2781,,293,2781,,,234,,,,,
2020-04-02,373,3404,335,18,3051,,373,3051,,,335,,,,,
2020-04-03,333,3737,427,22,3288,,333,3288,,,427,,,,,
2020-04-04,424,4161,528,27,3606,,424,3606,,,528,,,,,
2020-04-05,310,4471,617,34,3820,,310,3820,,,617,,,,,
2020-04-06,344,4815,728,37,4050,,344,4050,,,728,,,,,
2020-04-07,301,5116,898,43,4175,,301,4175,,,898,,,,,
2020-04-08,430,5546,1115,48,4383,,430,4383,,,1115,,,,,
2020-04-09,426,5972,1274,57,4641,,426,4641,,,1274,,,,,
2020-04-10,529,6501,1571,65,4865,,529,4865,,,1571,,,,,
2020-04-11,426,6927,1864,73,4990,,426,4990,,,1864,,,,,
2020-04-12,286,7213,2059,80,5074,,286,5074,,,2059,,,,,
2020-04-13,312,7525,2367,82,5076,,312,5076,,,2367,,,,,
2020-04-14,392,7917,2646,92,5179,,392,5179,,,2646,,,,,
2020-04-15,356,8273,2937,94,5242,,356,5242,,,2937,,,,,
2020-04-16,534,8807,3299,105,5403,,534,5403,,,3299,,,,,
2020-04-17,445,9252,3621,116,5515,,445,5515,,,3621,,,,,
2020-04-18,478,9730,4035,126,5569,,478,5569,,,4035,,,,,
2020-04-19,358,10088,4338,133,5617,,358,5617,,,4338,,,,,
2020-04-20,419,10507,4676,139,5692,,419,5692,,,4676,,,,,
2020-04-21,325,10832,4969,147,5716,,325,5716,,,4969,,,,,
2020-04-22,464,11296,5386,160,5750,,464,5750,,,5386,,,,,
2020-04-23,516,11812,5804,168,5840,,516,5840,,,5804,,,,,
2020-04-24,494,12306,6327,174,5805,,494,5805,,,6327,,,,,
2020-04-25,552,12858,6746,181,5931,,552,5931,,,6746,,,,,
2020-04-26,473,13331,7024,189,6118,,473,6118,,,7024,,,,,
2020-04-27,482,13813,7327,198,6288,,482,6288,,,7327,,,,,
2020-04-28,552,14365,7710,207,6448,,552,6448,,,7710,,,,,
2020-04-29,520,15135,8057,216,6862,250,770,6862,,,8057,,,,,
2020-04-30,780,16023,8580,227,7216,108,888,7216,,,8580,,,,,
2020-05-01,882,17008,9018,234,7756,103,985,7756,,,9018,,,,,
2020-05-02,1246,18435,9572,247,8616,181,1427,8616,,,9572,,,,,
2020-05-03,1112,19663,10041,260,9362,116,1228,9362,,,10041,,,,,
