date;comuna;region;IM_interno;IM_externo;IM
20200429;Huara;R01;2.112540193;2.342979636;4.455519829
20200429;Alto Hospicio;R01;3.632633548;1.302431927;4.935065475
20200429;Iquique;R01;5.79250076;0.703612836;6.496113596
20200429;Camiña;R01;0.716455696;0.889873418;1.606329114
20200429;Pozo Almonte;R01;0.888004658;1.211956522;2.09996118
20200429;Colchane;R01;0.03125;0.0625;0.09375
20200429;Pica;R01;1.792977323;2.365764448;4.15874177
20200429;Antofagasta;R02;5.938787585;0.109194956;6.047982541
20200429;Calama;R02;4.94110902;0.101346584;5.042455604
20200429;Mejillones;R02;3.012522361;1.678393957;4.690916319
20200429;Taltal;R02;0;0.058798098;0.058798098
20200429;Sierra Gorda;R02;2.862409639;1.045903614;3.908313253
20200429;Tocopilla;R02;3.039275584;0.337988217;3.377263801
20200429;Ollagüe;R02;0.352941176;0.294117647;0.647058824
20200429;María Elena;R02;1.591284404;1.377981651;2.969266055
20200429;San Pedro de Atacama;R02;0.176416819;0.097806216;0.274223035
20200429;Alto del Carmen;R03;1.105849582;0.167130919;1.272980501
20200429;Copiapó;R03;5.793693791;0.405937805;6.199631596
20200429;Tierra Amarilla;R03;3.500148588;1.666121842;5.166270431
20200429;Caldera;R03;6.143765509;1.026674938;7.170440447
20200429;Chañaral;R03;3.177609825;0.859470949;4.037080775
20200429;Huasco;R03;1.689791092;1.814347655;3.504138747
20200429;Vallenar;R03;5.218747448;0.502817016;5.721564465
20200429;Diego de Almagro;R03;1.09024446;0.36691798;1.45716244
20200429;Freirina;R03;0;2.132536974;2.132536974
20200429;La Serena;R04;5.458264685;1.462669742;6.920934427
20200429;Coquimbo;R04;4.926617002;1.755761331;6.682378333
20200429;Canela;R04;1.02422611;3.39333782;4.41756393
20200429;Ovalle;R04;5.262840601;0.744834546;6.007675147
20200429;Andacollo;R04;4.54767184;4.6148242;9.162496041
20200429;Salamanca;R04;2.671089841;0.273874266;2.944964107
20200429;Illapel;R04;4.951483157;0.432629462;5.384112619
20200429;La Higuera;R04;3.657968313;2.349487418;6.007455732
20200429;Monte Patria;R04;2.403357651;0.776830447;3.180188099
20200429;Los Vilos;R04;3.517281919;0.436632965;3.953914884
20200429;Combarbalá;R04;2.512427746;1.248843931;3.761271676
20200429;Paihuano;R04;1.467267267;0.993393393;2.460660661
20200429;Vicuña;R04;1.973809181;0.591452007;2.565261189
20200429;Punitaqui;R04;3.307318023;3.080965356;6.388283379
20200429;Río Hurtado;R04;0.248462485;0.717097171;0.965559656
20200429;Viña del Mar;R05;6.523397781;2.037184102;8.560581883
20200429;Valparaíso;R05;6.515579608;1.767592424;8.283172031
20200429;Concón;R05;4.846947624;5.374523066;10.22147069
20200429;Catemu;R05;2.916623866;6.202020202;9.118644068
20200429;San Antonio;R05;5.496045392;2.186210454;7.682255846
20200429;Algarrobo;R05;4.568497963;2.220739075;6.789237038
20200429;Santa María;R05;2.8237314;6.143265929;8.966997329
20200429;Cabildo;R05;2.983115886;1.900559149;4.883675036
20200429;Puchuncaví;R05;3.649361807;3.368679431;7.018041237
20200429;Los Andes;R05;2.823787867;5.604794573;8.42858244
20200429;Quilpué;R05;3.850955859;2.732869724;6.583825583
20200429;La Ligua;R05;4.183917268;2.798520103;6.982437372
20200429;San Felipe;R05;3.846756307;5.689839202;9.536595509
20200429;Quillota;R05;4.704749679;3.410402701;8.11515238
20200429;Villa Alemana;R05;3.728390559;3.795394154;7.523784713
20200429;Quintero;R05;4.883777443;4.533266298;9.417043741
20200429;Santo Domingo;R05;3.23341009;5.412183379;8.645593469
20200429;Casablanca;R05;3.397349238;2.884824387;6.282173625
20200429;Petorca;R05;1.430051813;3.293609672;4.723661485
20200429;Zapallar;R05;2.652841782;13.45366103;16.10650282
20200429;Calle Larga;R05;1.504770165;8.989592368;10.49436253
20200429;El Tabo;R05;2.974799733;3.732476636;6.707276368
20200429;San Esteban;R05;2.021622557;5.727901747;7.749524304
20200429;La Calera;R05;3.62704148;5.865732042;9.492773522
20200429;Cartagena;R05;4.44962406;5.707113939;10.156738
20200429;Llay-Llay;R05;1.437783616;7.027704801;8.465488417
20200429;Papudo;R05;2.445741325;6.606309148;9.052050473
20200429;Nogales;R05;4.734979727;2.892738666;7.627718393
20200429;Limache;R05;5.027009223;5.185017881;10.2120271
20200429;Rinconada;R05;1.4675;24.240625;25.708125
20200429;La Cruz;R05;0.305157919;8.189729607;8.494887526
20200429;Olmué;R05;2.807897335;3.015794669;5.823692004
20200429;Hijuelas;R05;2.634545893;9.68754517;12.32209106
20200429;El Quisco;R05;2.377044435;2.612100159;4.989144594
20200429;Isla de Pascua;R05;0.144144144;0;0.144144144
