date;comuna;region;IM_interno;IM_externo;IM
20200727;Huara;R01;1.876741693;2.273311897;4.150053591
20200728;Huara;R01;1.91318328;2.407288317;4.320471597
20200729;Huara;R01;2.329046088;2.529474812;4.8585209
20200730;Huara;R01;1.794212219;1.990353698;3.784565916
20200731;Huara;R01;1.933547696;2.16505895;4.098606645
20200801;Huara;R01;1.399785638;1.591639871;2.991425509
20200802;Huara;R01;0.949624866;1.312968917;2.262593783
20200727;Alto Hospicio;R01;3.680191228;1.370525878;5.050717107
20200728;Alto Hospicio;R01;3.653876533;1.36641031;5.020286843
20200729;Alto Hospicio;R01;3.746622324;1.362668884;5.109291208
20200730;Alto Hospicio;R01;3.711161921;1.345666182;5.056828102
20200731;Alto Hospicio;R01;4.082186656;1.664892954;5.747079609
20200801;Alto Hospicio;R01;3.678819372;1.206983995;4.885803367
20200802;Alto Hospicio;R01;3.393390148;1.029515693;4.422905841
20200727;Iquique;R01;6.096725867;0.737309479;6.834035347
20200728;Iquique;R01;5.815471796;0.736810109;6.552281905
20200729;Iquique;R01;5.849580963;0.735876504;6.585457467
20200730;Iquique;R01;5.899366017;0.722871162;6.622237179
20200731;Iquique;R01;6.176277737;0.890594468;7.066872205
20200801;Iquique;R01;5.349884928;0.645968127;5.995853055
20200802;Iquique;R01;4.730253159;0.548808025;5.279061184
20200727;Camiña;R01;0.512658228;1.044303797;1.556962025
20200728;Camiña;R01;0.502531646;0.941772152;1.444303797
20200729;Camiña;R01;0.597468354;0.974683544;1.572151899
20200730;Camiña;R01;0.573417722;0.879746835;1.453164557
20200731;Camiña;R01;0.611392405;0.97721519;1.588607595
20200801;Camiña;R01;0.45443038;0.649367089;1.103797468
20200802;Camiña;R01;0.449367089;0.63164557;1.081012658
20200727;Pozo Almonte;R01;0.76552795;1.276397516;2.041925466
20200728;Pozo Almonte;R01;0.794642857;1.355201863;2.14984472
20200729;Pozo Almonte;R01;0.840256211;1.420419255;2.260675466
20200730;Pozo Almonte;R01;0.725543478;1.204774845;1.930318323
20200731;Pozo Almonte;R01;0.739906832;1.257958075;1.997864907
20200801;Pozo Almonte;R01;0.681482919;0.990877329;1.672360248
20200802;Pozo Almonte;R01;0.527950311;0.743400621;1.271350932
20200727;Colchane;R01;0.015625;0.03125;0.046875
20200728;Colchane;R01;0;0.0703125;0.0703125
20200729;Colchane;R01;0;0.03125;0.03125
20200730;Colchane;R01;0.015625;0.078125;0.09375
20200731;Colchane;R01;0;0.0703125;0.0703125
20200801;Colchane;R01;0;0.0703125;0.0703125
20200802;Colchane;R01;0;0.1328125;0.1328125
20200727;Pica;R01;1.964155084;2.7746891;4.738844184
20200728;Pica;R01;2.105340161;3.016825165;5.122165326
20200729;Pica;R01;2.074615947;3.081199707;5.155815655
20200730;Pica;R01;1.897585955;2.667885881;4.565471836
20200731;Pica;R01;2.069495245;2.734455011;4.803950256
20200801;Pica;R01;1.935625457;2.311631309;4.247256767
20200802;Pica;R01;1.52962692;1.806144843;3.335771763
20200727;Antofagasta;R02;6.885538312;0.122618817;7.008157129
20200728;Antofagasta;R02;6.626217265;0.138302619;6.764519884
