Fecha,Casos nuevos con sintomas,Casos totales,Casos recuperados,Fallecidos,Casos activos,Casos nuevos sin sintomas,Casos nuevos totales,Casos activos por FD,Casos activos por FIS,Casos recuperados por FIS,Casos recuperados por FD,Casos confirmados recuperados,Casos activos confirmados,Casos probables acumulados,Casos activos probables,Casos nuevos sin notificar,Measured Current Infected,Measured Unhospitalized Infected,Hospitalization Likelihood,Death likelihood,Susceptible Population,True Unhospitalized Infected,True Current Infected,True Infection Rate,Measured Infection Rate,Hospitalization Rate,Recovered Population,Accumulative Deaths,Hospitalized Population,Total Cases,Closure Policy,Air Passengers,Ventilators,PCR Tests
2020-03-02,1,1,0,0,1,,1,1,,,0,,,,,,1,1,,,19458309,15.2812429235045,15.2812429235045,0,0,0,0,0,0,1,Paso 3,44248.4285714286,0,
2020-03-03,0,1,0,0,1,,0,1,,,0,,,,,,1,1,,,19458309,21.1986695288926,21.1986695288926,5.91742660538806,0,0,0,0,0,1,Paso 3,44248.4285714286,0,
2020-03-04,2,3,0,0,3,,2,3,,,0,,,,,,3,3,,,19458307,18.9372100455964,18.9372100455964,-2.26145948329619,2,0,0,0,0,3,Paso 3,44248.4285714286,0,
2020-03-05,1,4,0,0,4,,1,4,,,0,,,,,,4,4,,,19458306,52.1449309298387,52.1449309298387,33.2077208842423,1,0,0,0,0,4,Paso 3,44248.4285714286,0,
2020-03-06,1,5,0,0,5,,1,5,,,0,,,,,,5,5,,,19458305,50.9385604630109,50.9385604630109,-1.20637046682779,1,0,0,0,0,5,Paso 3,44248.4285714286,0,
2020-03-07,2,7,0,0,7,,2,7,,,0,,,,,,7,7,,,19458303,63.0383001937643,63.0383001937643,12.0997397307534,2,0,0,0,0,7,Paso 3,44248.4285714286,0,
2020-03-08,3,10,0,0,10,,3,10,,,0,,,,,,10,10,,,19458300,76.5422605058862,76.5422605058862,13.5039603121219,3,0,0,0,0,10,Paso 3,44248.4285714286,0,
2020-03-09,5,15,0,0,15,,5,15,,,0,,,,,,15,15,,,19458295,196.524133479377,196.524133479377,119.981872973491,5,0,0,0,0,15,Paso 3,40817.8571428571,0,
2020-03-10,2,17,0,0,17,,2,17,,,0,,,,,,17,17,,,19458293,173.377009515954,173.377009515954,-23.1471239634234,2,0,0,0,0,17,Paso 3,40817.8571428571,0,
2020-03-11,6,23,0,0,23,,6,23,,,0,,,,,,23,23,,,19458287,253.044923505639,253.044923505639,79.6679139896851,6,0,0,0,0,23,Paso 3,40817.8571428571,0,
2020-03-12,10,33,0,0,33,,10,33,,,0,,,,,,33,33,,,19458277,433.964240324002,433.964240324002,180.919316818363,10,0,0,0,0,33,Paso 3,40817.8571428571,0,
2020-03-13,10,43,0,0,43,,10,43,,,0,,,,,,43,43,,,19458267,409.029416778497,409.029416778497,-24.9348235455047,10,0,0,0,0,43,Paso 3,40817.8571428571,0,
2020-03-14,18,61,0,0,61,,18,61,,,0,,,,,,61,61,,,19458249,531.044477012453,531.044477012453,122.015060233956,18,0,0,0,0,61,Paso 3,40817.8571428571,0,
2020-03-15,14,75,0,0,75,,14,75,,,0,,,,,,75,75,,,19458235,668.296782593827,668.296782593827,137.252305581374,14,0,0,0,0,75,Paso 3,40817.8571428571,0,
2020-03-16,81,156,0,0,156,,81,156,,,0,,,,,,156,156,0,0,19458154,1029.17882471862,1029.17882471862,360.882042124792,81,0,0,0,0,156,Paso 3,40817.8571428571,0,
2020-03-17,45,201,1,0,200,,45,200,,,1,,,,,,200,200,0,0,19458109,1027.13881620759,1027.13881620759,-2.0400085110266,44,0,1,0,0,201,Paso 3,20864.8571428571,0,
2020-03-18,37,238,3,0,235,,37,235,,,3,,,,,,235,235,0,0,19458072,1047.95548811977,1047.95548811977,20.8166719121764,35,0,3,0,0,238,Paso 3,20864.8571428571,0,
2020-03-19,104,342,4,0,338,,104,338,,,4,,,,,,338,338,0,0,19457968,1303.45935646005,1303.45935646005,255.503868340283,103,0,4,0,0,342,Paso 3,20864.8571428571,0,
2020-03-20,92,434,5,0,429,,92,429,,,5,,,,,,429,429,0,0,19457876,1607.52346816239,1607.52346816239,304.064111702335,91,0,5,0,0,434,Paso 3,20864.8571428571,0,
2020-03-21,103,537,6,0,531,,103,531,,,6,,,,,,531,531,0,0.142857142857143,19457773,1797.15302614863,1797.15302614863,189.629557986248,102,0,6,0,0,537,Paso 3,20864.8571428571,0,
