Fecha,Measured Current Infected,True Current Infected,New Deaths,Recovered Population,Accumulative Deaths,Susceptible Population,True Infection Rate,Measured Infection Rate,Total Cases,Closure Policy,Mobility
2020-03-02,0,5.18,0,0,0,503147,5.18,0,0,No Closures,6.26427061312927
2020-03-03,0,5.775,0,0,0,503147,0.595000000000001,0,0,No Closures,6.33574436904779
2020-03-04,0,7.23,0,0,0,503147,1.455,0,0,No Closures,6.44433537175383
2020-03-05,0,11.095,0,0,0,503147,3.865,0,0,No Closures,6.50782687336632
2020-03-06,0,11.485,0,0,0,503147,0.389999999999999,0,0,No Closures,6.82260537460891
2020-03-07,0,12.645,0,0,0,503147,1.16,0,0,No Closures,5.46014945459278
2020-03-08,0,17.115,0,0,0,503147,4.47,0,0,No Closures,4.5397073061154
2020-03-09,0,23.8,0,0,0,503147,6.685,0,0,No Closures,6.44136119981913
2020-03-10,0,33.42,0,0,0,503147,9.62,0,0,No Closures,6.52831669235498
2020-03-11,0,34.975,0,0,0,503147,1.555,0,0,No Closures,6.31801985817247
2020-03-12,0,44.36,0,0,0,503147,9.385,0,0,Initial Closures,6.82356773007778
2020-03-13,0,67.45,0,0,0,503147,23.09,0,0,Initial Closures,6.90677816917061
2020-03-14,0,87.51,0,0,0,503147,20.06,0,0,Initial Closures,5.47978954000496
2020-03-15,0,99.145,0,0,0,503147,11.635,0,0,Initial Closures,4.42516683245996
2020-03-16,0,146.15,0,0,0,503147,47.005,0,0,Initial Closures,5.82507348448439
2020-03-17,0,103.245,0,0,0,503147,-42.905,0,0,Initial Closures,5.20321851210216
2020-03-18,0,118.305,0,0,0,503147,15.06,0,0,Initial Closures,5.07986297425466
2020-03-19,0,122.45,0,0,0,503147,4.145,0,0,Initial Closures,4.76182955969628
2020-03-20,0,142.325,0,0,0,503147,19.875,0,0,Initial Closures,4.65338154166824
2020-03-21,0,125.48,0,0,0,503147,-16.845,0,0,Initial Closures,3.41287223880373
2020-03-22,0,115.22,0,0,0,503147,-10.26,0,0,Initial Closures,2.74959098683504
2020-03-23,0,136.185,0,0,0,503147,20.965,0,0,Initial Closures,4.08205579514758
2020-03-24,0,124.415,0,0,0,503147,-11.77,0,0,Initial Closures,3.99219898704213
2020-03-25,0,122.96,0,0,0,503147,-1.45500000000001,0,0,Initial Closures,4.08368842613892
2020-03-26,0,134.095,0,0,0,503147,11.135,0,0,Initial Closures,4.37984460155529
2020-03-27,0,131.97,0,0,0,503147,-2.125,0,0,Initial Closures,3.72205786495144
2020-03-28,0,121.09,0,0,0,503147,-10.88,0,0,Initial Closures,2.99761569673889
2020-03-29,0,116.5,0,0,0,503147,-4.59,0,0,Initial Closures,2.59132687451441
2020-03-30,0,144.4,0,127,0,503020,27.9,0,127,Initial Closures,3.7482433447026
2020-03-31,0,144.835,0,127,0,503020,0.435000000000002,0,127,Initial Closures,3.93075255016288
2020-04-01,0,185.32,0,156,0,502991,40.485,0,156,Initial Closures,3.88745567797439
2020-04-02,0,166.165,0,156,0,502991,-19.155,0,156,Initial Closures,3.77644817556548
2020-04-03,0,155.315,1,172,1,502974,-10.85,0,173,Initial Closures,3.99174158505715
2020-04-04,0,164.015,0,172,1,502974,8.69999999999999,0,173,Initial Closures,3.2669925105269
2020-04-05,0,164.745,0,172,1,502974,0.730000000000018,0,173,Initial Closures,2.77427691239713
2020-04-06,0,198.645,1,232,2,502913,33.9,0,234,Initial Closures,3.86618958390483
2020-04-07,0,178.66,0,232,2,502913,-19.985,0,234,Initial Closures,3.90526023507334
2020-04-08,0,204.75,0,269,2,502876,26.09,0,271,Initial Closures,3.78612792888444
2020-04-09,0,215.715,1,268,3,502876,10.965,0,271,Initial Closures,3.9998017960183
2020-04-10,0,226.725,0,318,3,502826,11.01,0,321,Initial Closures,2.77557076005785
2020-04-11,0,179.31,0,318,3,502826,-47.415,0,321,Initial Closures,2.81440679682066
2020-04-12,0,187.555,0,318,3,502826,8.245,0,321,Initial Closures,2.66259422357751
2020-04-13,169,267.515,0,203,3,502772,79.96,169,375,Initial Closures,4.15178401812058
2020-04-14,169,248.3,0,203,3,502772,-19.215,169,375,Initial Closures,4.15333289965506
2020-04-15,138,323.43,0,263,3,502743,75.13,-31,404,Initial Closures,4.16101207520675
2020-04-16,138,299.91,0,263,3,502743,-23.52,-31,404,Initial Closures,3.96982017372569
2020-04-17,162,325.93,0,298,3,502684,26.02,24,463,Initial Closures,4.27185325790653
2020-04-18,162,333.515,1,297,4,502684,7.58499999999998,24,463,Initial Closures,3.48653303206464
2020-04-19,162,327.03,0,297,4,502684,-6.48500000000001,24,463,Initial Closures,2.92091927423993
2020-04-20,149,594.29,0,347,4,502647,267.26,-13,500,Initial Closures,4.22452187779791
2020-04-21,149,475.41,0,347,4,502647,-118.88,-13,500,Initial Closures,4.25141448047858
2020-04-22,149,551.79,0,347,4,502647,76.3799999999999,-13,500,Initial Closures,4.29036974637995
2020-04-23,149,618.95,0,347,4,502647,67.1600000000001,-13,500,Initial Closures,4.47210190449756
2020-04-24,176,766.865,1,427,5,502539,147.915,27,608,Initial Closures,4.5650836786322
2020-04-25,176,774.195,0,427,5,502539,7.33000000000004,27,608,Initial Closures,3.5295054654487
2020-04-26,176,785.305,0,427,5,502539,11.1099999999999,27,608,Initial Closures,2.91848224386214
2020-04-27,203,1250.38,2,490,7,502447,465.075,27,700,Initial Closures,4.27974042596598
2020-04-28,203,1198.19,1,489,8,502447,-52.1900000000001,27,700,Initial Closures,4.20870013278365
2020-04-29,203,1236.335,1,488,9,502447,38.145,27,700,Initial Closures,4.33749392943694
2020-04-30,203,1469.36,0,488,9,502447,233.025,27,700,Initial Closures,4.54931253126901
2020-05-01,387,2139.355,0,584,9,502167,669.995,184,980,Initial Closures,2.97838047322453
2020-05-02,387,1961.295,1,583,10,502167,-178.06,184,980,Initial Closures,3.58317324884305
2020-05-03,387,2036.275,0,583,10,502167,74.98,184,980,Initial Closures,2.96471771088184
2020-05-04,608,2833.23,1,675,11,501853,796.955,221,1294,Initial Closures,4.51705220062337
2020-05-05,608,2573.27,0,675,11,501853,-259.96,221,1294,Initial Closures,4.59701917541706
2020-05-06,608,2485.3,0,675,11,501853,-87.9699999999998,221,1294,Initial Closures,4.51822286931624
2020-05-07,608,2621.37,0,675,11,501853,136.07,221,1294,Initial Closures,3.51742213357081
2020-05-08,783,3012.14,0,872,11,501481,390.77,175,1666,Initial Closures,4.85662541958933
2020-05-09,783,2850.795,1,871,12,501481,-161.345,175,1666,Initial Closures,3.4366174859562
2020-05-10,783,3114.41,0,871,12,501481,263.615,175,1666,Initial Closures,3.03362210199079
2020-05-11,809,3700.37,0,1052,12,501274,585.96,26,1873,Initial Closures,3.92771533458607
2020-05-12,809,3338.23,1,1051,13,501274,-362.14,26,1873,Initial Closures,3.913311484535
2020-05-13,809,2985.225,2,1049,15,501274,-353.005,26,1873,Initial Closures,4.07821464137982
2020-05-14,809,2820.235,0,1049,15,501274,-164.99,26,1873,Initial Closures,4.22668758582579
2020-05-15,1116,3634.76,2,1494,17,500520,814.525,307,2627,Initial Closures,4.45889717249498
2020-05-16,1116,3208.355,3,1491,20,500520,-426.405,307,2627,Initial Closures,2.8991199312395
2020-05-17,1116,3125.73,3,1488,23,500520,-82.625,307,2627,Initial Closures,2.48233805323065
2020-05-18,1059,3971.875,3,1876,26,500186,846.145,-57,2961,Initial Closures,3.47472664339883
