Fecha,Current Infected,True  Infected,New Deaths,total_recup,total_obito,Susceptible Population,True Infection Rate,Measured Infection Rate,Total Cases,Closure Policy
2020-03-02,0,5.18,0,0,0,503147,5.18,0,0,Paso 3
2020-03-03,0,5.775,0,0,0,503147,0.595000000000001,0,0,Paso 3
2020-03-04,0,7.23,0,0,0,503147,1.455,0,0,Paso 3
2020-03-05,0,11.095,0,0,0,503147,3.865,0,0,Paso 3
2020-03-06,0,11.485,0,0,0,503147,0.389999999999999,0,0,Paso 3
2020-03-07,0,12.645,0,0,0,503147,1.16,0,0,Paso 3
2020-03-08,0,17.115,0,0,0,503147,4.47,0,0,Paso 3
2020-03-09,0,23.8,0,0,0,503147,6.685,0,0,Paso 3
2020-03-10,0,33.42,0,0,0,503147,9.62,0,0,Paso 3
2020-03-11,0,34.975,0,0,0,503147,1.555,0,0,Paso 3
2020-03-12,0,44.36,0,0,0,503147,9.385,0,0,Paso 3
2020-03-13,0,67.45,0,0,0,503147,23.09,0,0,Paso 3
2020-03-14,0,87.51,0,0,0,503147,20.06,0,0,Paso 3
2020-03-15,0,99.145,0,0,0,503147,11.635,0,0,Paso 3
2020-03-16,0,146.15,0,0,0,503147,47.005,0,0,Paso 3
2020-03-17,0,103.245,0,0,0,503147,-42.905,0,0,Paso 3
2020-03-18,0,118.305,0,0,0,503147,15.06,0,0,Paso 3
2020-03-19,0,122.45,0,0,0,503147,4.145,0,0,Paso 3
2020-03-20,0,142.325,0,0,0,503147,19.875,0,0,Paso 3
2020-03-21,0,125.48,0,0,0,503147,-16.845,0,0,Paso 3
2020-03-22,0,115.22,0,0,0,503147,-10.26,0,0,Paso 3
2020-03-23,0,136.185,0,0,0,503147,20.965,0,0,Paso 3
2020-03-24,0,124.415,0,0,0,503147,-11.77,0,0,Paso 3
2020-03-25,0,122.96,0,0,0,503147,-1.45500000000001,0,0,Paso 3
2020-03-26,0,134.095,0,0,0,503147,11.135,0,0,Paso 3
2020-03-27,0,131.97,0,0,0,503147,-2.125,0,0,Paso 3
2020-03-28,0,121.09,0,0,0,503147,-10.88,0,0,Paso 3
2020-03-29,0,116.5,0,0,0,503147,-4.59,0,0,Paso 3
2020-03-30,0,144.4,0,127,0,503020,27.9,0,127,Paso 3
2020-03-31,0,144.835,0,127,0,503020,0.435000000000002,0,127,Paso 3
2020-04-01,0,185.32,0,156,0,502991,40.485,0,156,Paso 3
2020-04-02,0,166.165,0,156,0,502991,-19.155,0,156,Paso 3
2020-04-03,0,155.315,1,172,1,502974,-10.85,0,173,Paso 3
2020-04-04,0,164.015,0,172,1,502974,8.69999999999999,0,173,Paso 3
2020-04-05,0,164.745,0,172,1,502974,0.730000000000018,0,173,Paso 3
2020-04-06,0,198.645,1,232,2,502913,33.9,0,234,Paso 3
2020-04-07,0,178.66,0,232,2,502913,-19.985,0,234,Paso 3
2020-04-08,0,204.75,0,269,2,502876,26.09,0,271,Paso 3
2020-04-09,0,215.715,1,268,3,502876,10.965,0,271,Paso 3
2020-04-10,0,226.725,0,318,3,502826,11.01,0,321,Paso 3
2020-04-11,0,179.31,0,318,3,502826,-47.415,0,321,Paso 3
2020-04-12,0,187.555,0,318,3,502826,8.245,0,321,Paso 3
2020-04-13,169,267.515,0,203,3,502772,79.96,169,375,Paso 3
2020-04-14,169,248.3,0,203,3,502772,-19.215,0,375,Paso 3
2020-04-15,138,323.43,0,263,3,502743,75.13,-31,404,Paso 3
2020-04-16,138,299.91,0,263,3,502743,-23.52,0,404,Paso 3
2020-04-17,162,325.93,0,298,3,502684,26.02,24,463,Paso 3
2020-04-18,162,333.515,1,297,4,502684,7.58499999999998,0,463,Paso 3
2020-04-19,162,327.03,0,297,4,502684,-6.48500000000001,0,463,Paso 3
2020-04-20,149,594.29,0,347,4,502647,267.26,-13,500,Paso 3
2020-04-21,149,475.41,0,347,4,502647,-118.88,0,500,Paso 3
2020-04-22,149,551.79,0,347,4,502647,76.3799999999999,0,500,Paso 3
2020-04-23,149,618.95,0,347,4,502647,67.1600000000001,0,500,Paso 3
2020-04-24,176,766.865,1,427,5,502539,147.915,27,608,Paso 3
2020-04-25,176,774.195,0,427,5,502539,7.33000000000004,0,608,Paso 3
2020-04-26,176,785.305,0,427,5,502539,11.1099999999999,0,608,Paso 3
2020-04-27,203,1250.38,2,490,7,502447,465.075,27,700,Paso 3
2020-04-28,203,1198.19,1,489,8,502447,-52.1900000000001,0,700,Paso 3
2020-04-29,203,1236.335,1,488,9,502447,38.145,0,700,Paso 3
2020-04-30,203,1469.36,0,488,9,502447,233.025,0,700,Paso 3
2020-05-01,387,2139.355,0,584,9,502167,669.995,184,980,Paso 3
2020-05-02,387,1961.295,1,583,10,502167,-178.06,0,980,Paso 3
2020-05-03,387,2036.275,0,583,10,502167,74.98,0,980,Paso 3
2020-05-04,608,2833.23,1,675,11,501853,796.955,221,1294,Paso 3
2020-05-05,608,2573.27,0,675,11,501853,-259.96,0,1294,Paso 3
2020-05-06,608,2485.3,0,675,11,501853,-87.9699999999998,0,1294,Paso 3
2020-05-07,608,2621.37,0,675,11,501853,136.07,0,1294,Paso 3
2020-05-08,783,3012.14,0,872,11,501481,390.77,175,1666,Paso 3
2020-05-09,783,2850.795,1,871,12,501481,-161.345,0,1666,Paso 3
2020-05-10,783,3114.41,0,871,12,501481,263.615,0,1666,Paso 3
2020-05-11,809,3700.37,0,1052,12,501274,585.96,26,1873,Paso 3
2020-05-12,809,3338.23,1,1051,13,501274,-362.14,0,1873,Paso 3
2020-05-13,809,2985.225,2,1049,15,501274,-353.005,0,1873,Paso 3
2020-05-14,809,2820.235,0,1049,15,501274,-164.99,0,1873,Paso 3
2020-05-15,1116,3634.76,2,1494,17,500520,814.525,307,2627,Paso 3
2020-05-16,1116,3208.355,3,1491,20,500520,-426.405,0,2627,Paso 3
2020-05-17,1116,3125.73,3,1488,23,500520,-82.625,0,2627,Paso 3
2020-05-18,1059,3971.875,3,1876,26,500186,846.145,-57,2961,Paso 3
2020-05-19,1059,3346.43,3,1873,29,500186,-625.445,0,2961,Paso 3
2020-05-20,1059,3813.325,4,1869,33,500186,466.895,0,2961,Paso 3
2020-05-21,1059,2980.45,5,1864,38,500186,-832.875,0,2961,Paso 3
2020-05-22,1210,3733.67,4,2683,42,499212,753.22,151,3935,Paso 3
2020-05-23,1210,3254,1,2682,43,499212,-479.67,0,3935,Paso 3
2020-05-24,1210,2926.695,2,2680,45,499212,-327.305,0,3935,Paso 3
2020-05-25,1194,3945.555,0,3379,45,498529,1018.86,-16,4618,Paso 3
2020-05-26,1194,2984.63,8,3371,53,498529,-960.925,0,4618,Paso 3
2020-05-27,1194,3010.5,3,3368,56,498529,25.8699999999999,0,4618,Paso 3
2020-05-28,1194,3133.83,2,3366,58,498529,123.33,0,4618,Paso 3
2020-05-29,1230,3278.84,5,4324,63,497530,145.01,36,5617,Paso 3
2020-05-30,1230,3001.025,5,4319,68,497530,-277.815,0,5617,Paso 3
2020-05-31,1230,2778.745,7,4312,75,497530,-222.28,0,5617,Paso 3
2020-06-01,1148,4246.88,7,5048,82,496869,1468.135,-82,6278,Paso 3
2020-06-02,1148,2680.84,2,5046,84,496869,-1566.04,0,6278,Paso 3
2020-06-03,1148,2545.825,5,5041,89,496869,-135.015,0,6278,Paso 3
2020-06-04,1148,2446.825,8,5033,97,496869,-99,0,6278,Paso 3
2020-06-05,988,2877.86,6,5998,103,496058,431.035,-160,7089,Paso 3
2020-06-06,988,2450.84,4,5994,107,496058,-427.02,0,7089,Paso 3
2020-06-07,988,2160.665,1,5993,108,496058,-290.175,0,7089,Paso 3
