Fecha,Origen,Destino,Viajes
2020-03-01,Cerrillos,Cerrillos,2026
2020-03-01,Cerrillos,Cerro Navia,31
2020-03-01,Cerrillos,Conchali,84
2020-03-01,Cerrillos,El Bosque,85
2020-03-01,Cerrillos,Estacion Central,1218
2020-03-01,Cerrillos,Huechuraba,18
2020-03-01,Cerrillos,Independencia,85
2020-03-01,Cerrillos,La Cisterna,238
2020-03-01,Cerrillos,La Florida,267
2020-03-01,Cerrillos,La Granja,37
2020-03-01,Cerrillos,La Pintana,30
2020-03-01,Cerrillos,La Reina,150
2020-03-01,Cerrillos,Las Condes,406
2020-03-01,Cerrillos,Lo Barnechea,31
2020-03-01,Cerrillos,Lo Espejo,545
2020-03-01,Cerrillos,Lo Prado,122
2020-03-01,Cerrillos,Macul,71
2020-03-01,Cerrillos,Maipu,2175
2020-03-01,Cerrillos,Nunoa,455
2020-03-01,Cerrillos,Pedro Aguirre Cerda,216
2020-03-01,Cerrillos,Penalolen,103
2020-03-01,Cerrillos,Providencia,802
2020-03-01,Cerrillos,Pudahuel,94
2020-03-01,Cerrillos,Puente Alto,123
2020-03-01,Cerrillos,Quilicura,77
2020-03-01,Cerrillos,Quinta Normal,114
2020-03-01,Cerrillos,Recoleta,216
2020-03-01,Cerrillos,Renca,66
2020-03-01,Cerrillos,San Bernardo,122
2020-03-01,Cerrillos,San Joaquin,104
2020-03-01,Cerrillos,San Miguel,234
2020-03-01,Cerrillos,San Ramon,51
2020-03-01,Cerrillos,Santiago,2059
2020-03-01,Cerrillos,Vitacura,40
2020-03-01,Cerro Navia,Cerrillos,33
2020-03-01,Cerro Navia,Cerro Navia,1913
2020-03-01,Cerro Navia,Conchali,54
2020-03-01,Cerro Navia,El Bosque,29
2020-03-01,Cerro Navia,Estacion Central,932
2020-03-01,Cerro Navia,Huechuraba,35
2020-03-01,Cerro Navia,Independencia,80
2020-03-01,Cerro Navia,La Cisterna,98
2020-03-01,Cerro Navia,La Florida,263
2020-03-01,Cerro Navia,La Granja,6
2020-03-01,Cerro Navia,La Pintana,18
2020-03-01,Cerro Navia,La Reina,87
2020-03-01,Cerro Navia,Las Condes,434
2020-03-01,Cerro Navia,Lo Barnechea,52
2020-03-01,Cerro Navia,Lo Espejo,28
2020-03-01,Cerro Navia,Lo Prado,864
2020-03-01,Cerro Navia,Macul,90
2020-03-01,Cerro Navia,Maipu,426
2020-03-01,Cerro Navia,Nunoa,207
2020-03-01,Cerro Navia,Pedro Aguirre Cerda,42
2020-03-01,Cerro Navia,Penalolen,96
2020-03-01,Cerro Navia,Providencia,809
2020-03-01,Cerro Navia,Pudahuel,1690
2020-03-01,Cerro Navia,Puente Alto,144
2020-03-01,Cerro Navia,Quilicura,102
2020-03-01,Cerro Navia,Quinta Normal,975
2020-03-01,Cerro Navia,Recoleta,207
2020-03-01,Cerro Navia,Renca,170
2020-03-01,Cerro Navia,San Bernardo,60
2020-03-01,Cerro Navia,San Joaquin,46
2020-03-01,Cerro Navia,San Miguel,81
2020-03-01,Cerro Navia,San Ramon,24
2020-03-01,Cerro Navia,Santiago,3020
2020-03-01,Cerro Navia,Vitacura,131
2020-03-01,Conchali,Cerrillos,57
2020-03-01,Conchali,Cerro Navia,75
2020-03-01,Conchali,Conchali,3082
2020-03-01,Conchali,El Bosque,23
2020-03-01,Conchali,Estacion Central,860
2020-03-01,Conchali,Huechuraba,866
2020-03-01,Conchali,Independencia,1430
2020-03-01,Conchali,La Cisterna,224
2020-03-01,Conchali,La Florida,313
2020-03-01,Conchali,La Granja,27
2020-03-01,Conchali,La Pintana,21
2020-03-01,Conchali,La Reina,221
2020-03-01,Conchali,Las Condes,492
2020-03-01,Conchali,Lo Barnechea,46
2020-03-01,Conchali,Lo Espejo,31
2020-03-01,Conchali,Lo Prado,285
2020-03-01,Conchali,Macul,62
2020-03-01,Conchali,Maipu,144
2020-03-01,Conchali,Nunoa,387
2020-03-01,Conchali,Pedro Aguirre Cerda,65
2020-03-01,Conchali,Penalolen,122
2020-03-01,Conchali,Providencia,751
2020-03-01,Conchali,Pudahuel,191
2020-03-01,Conchali,Puente Alto,185
2020-03-01,Conchali,Quilicura,950
2020-03-01,Conchali,Quinta Normal,117
2020-03-01,Conchali,Recoleta,1825
2020-03-01,Conchali,Renca,203
2020-03-01,Conchali,San Bernardo,48
2020-03-01,Conchali,San Joaquin,71
2020-03-01,Conchali,San Miguel,240
2020-03-01,Conchali,San Ramon,40
2020-03-01,Conchali,Santiago,3477
2020-03-01,Conchali,Vitacura,123
2020-03-01,El Bosque,Cerrillos,69
2020-03-01,El Bosque,Cerro Navia,35
2020-03-01,El Bosque,Conchali,69
2020-03-01,El Bosque,El Bosque,1789
2020-03-01,El Bosque,Estacion Central,1465
