Area,T-Value,Norm_P_Value,PrePVal*1000,PostPVal*1000
City,0.3467096477975361,0.5237863454005309,1.0284718125284098,3.5948616600790517
Cidade de Deus,0.43330030575785605,0.006606139761828003,-0.5925145249564026,7.6278938452851515
Galeao Airport,1.0119751715991651e-05,0.4319079294396204,-3.7283829866244056,-6.008469791078487
Santos Dumont Airport,0.0045697141337131784,0.10284169562749428,-2.955777898106417,-11.724449463579896
Industrial Area,0.3950978747739069,0.045260953979886845,0.19218449278025468,-8.70807453416149
Pedra de Guaratiba,0.05242346929693472,0.6730739384614566,-0.9487161136203176,0.9774138904573689
Copacabana,0.7690427130593809,0.8507242478610778,-1.6996766439969118,-0.8825522303783179
Ipanema,0.0628934424332596,0.089292507614071,0.1527839299012546,-5.204968944099378
Centro,0.11515920958400874,0.8048515570452008,-1.545079644477114,-0.5347261434217954
Cidade Nova,0.604283247074799,0.9950267795104221,-3.0541611458746387,-3.082439299830604
Barra da Tijuca,3.094772673758743e-05,0.16481992096465947,-1.0477160846059363,-3.84754376058724
Campo Grande,0.502765642668819,0.9253173796708059,0.2244097991237657,0.4387351778656124
