Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana
Codigo region,13,13,13,13,13,13,13,13,13,13,13
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125
UTM_Este,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356
UTM_Norte,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788
2020-08-08 21:00:00,1.87667,3.46167,1.02167,0.748417,3.3555,,2.38482,3.46833,2.22667,,
2020-08-08 22:00:00,1.89333,2.36167,0.671667,1.27867,4.4095,,3.34636,3.45167,1.635,,
2020-08-08 23:00:00,1.52667,1.71167,0.638334,1.52275,4.197,,3.08111,3.16833,1.11,,
2020-08-09 00:00:00,1.29333,1.37833,0.396667,1.86783,3.3725,,2.87388,3.66,1.14333,,
2020-08-09 01:00:00,1.07,1.15333,0.291111,,2.82,,2.10575,3.26,0.987778,,
2020-08-09 02:00:00,1.14333,0.978334,0.296667,1.48908,2.14,,1.47301,2.41833,0.851666,,
2020-08-09 03:00:00,1.01,0.853333,0.335556,1.144,1.04067,,0.760145,1.06556,0.732222,,
2020-08-09 04:00:00,0.965556,0.753333,0.291111,0.773667,0.768667,,0.561205,0.832223,0.61,,
2020-08-09 05:00:00,1.01833,0.745,0.296667,0.66425,0.797,,0.610939,0.885,0.651666,,
2020-08-09 06:00:00,0.985,0.936667,0.513334,0.639,0.8565,,0.668964,0.843334,0.71,,
2020-08-09 07:00:00,1.31,0.97,0.48,0.639,0.9415,,0.867903,0.91,0.86,,
