country_region,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Chile,Santiago Metropolitan Region,2020-02-15,-10,-7,-9,-7,-4,0
Chile,Santiago Metropolitan Region,2020-02-16,-6,-3,-12,-2,0,-1
Chile,Santiago Metropolitan Region,2020-02-17,-8,-3,-10,-8,-9,1
Chile,Santiago Metropolitan Region,2020-02-18,-9,-4,-10,-8,-8,1
Chile,Santiago Metropolitan Region,2020-02-19,-8,-4,-10,-8,-8,1
Chile,Santiago Metropolitan Region,2020-02-20,-9,-2,-11,-8,-8,1
Chile,Santiago Metropolitan Region,2020-02-21,-12,-3,-12,-11,-8,2
Chile,Santiago Metropolitan Region,2020-02-22,-10,-3,-7,-7,-3,1
Chile,Santiago Metropolitan Region,2020-02-23,-7,1,-12,-4,-2,1
Chile,Santiago Metropolitan Region,2020-02-24,-7,-1,-10,-5,-4,2
Chile,Santiago Metropolitan Region,2020-02-25,-3,2,-1,-2,-3,2
Chile,Santiago Metropolitan Region,2020-02-26,-4,0,-2,-1,-1,2
Chile,Santiago Metropolitan Region,2020-02-27,-1,6,2,0,0,2
Chile,Santiago Metropolitan Region,2020-02-28,4,12,1,-1,1,1
Chile,Santiago Metropolitan Region,2020-02-29,13,18,-1,6,-1,0
Chile,Santiago Metropolitan Region,2020-03-01,19,29,1,10,0,2
Chile,Santiago Metropolitan Region,2020-03-02,8,20,4,5,10,0
Chile,Santiago Metropolitan Region,2020-03-03,9,21,3,6,11,0
Chile,Santiago Metropolitan Region,2020-03-04,5,15,7,9,12,0
Chile,Santiago Metropolitan Region,2020-03-05,5,14,9,9,13,0
Chile,Santiago Metropolitan Region,2020-03-06,1,12,10,6,14,0
Chile,Santiago Metropolitan Region,2020-03-07,12,15,7,6,3,2
Chile,Santiago Metropolitan Region,2020-03-08,17,16,49,21,-3,4
Chile,Santiago Metropolitan Region,2020-03-09,1,12,17,9,14,0
Chile,Santiago Metropolitan Region,2020-03-10,3,11,7,12,16,-2
Chile,Santiago Metropolitan Region,2020-03-11,-3,6,10,12,14,0
Chile,Santiago Metropolitan Region,2020-03-12,0,10,5,10,15,-1
Chile,Santiago Metropolitan Region,2020-03-13,0,15,5,6,15,0
Chile,Santiago Metropolitan Region,2020-03-14,6,19,6,3,3,3
Chile,Santiago Metropolitan Region,2020-03-15,-3,30,-5,-4,-3,5
Chile,Santiago Metropolitan Region,2020-03-16,-17,31,-18,-16,0,8
Chile,Santiago Metropolitan Region,2020-03-17,-29,14,-28,-28,-15,13
Chile,Santiago Metropolitan Region,2020-03-18,-35,12,-33,-33,-22,16
Chile,Santiago Metropolitan Region,2020-03-19,-50,-6,-39,-43,-31,21
Chile,Santiago Metropolitan Region,2020-03-20,-54,-11,-46,-48,-34,25
Chile,Santiago Metropolitan Region,2020-03-21,-62,-21,-53,-50,-34,22
Chile,Santiago Metropolitan Region,2020-03-22,-70,-36,-59,-56,-41,21
Chile,Santiago Metropolitan Region,2020-03-23,-62,-30,-52,-56,-44,27
Chile,Santiago Metropolitan Region,2020-03-24,-62,-30,-54,-59,-47,27
Chile,Santiago Metropolitan Region,2020-03-25,-62,-28,-52,-58,-47,28
Chile,Santiago Metropolitan Region,2020-03-26,-56,-14,-46,-54,-46,26
Chile,Santiago Metropolitan Region,2020-03-27,-72,-40,-65,-68,-59,36
Chile,Santiago Metropolitan Region,2020-03-28,-71,-38,-61,-62,-49,27
Chile,Santiago Metropolitan Region,2020-03-29,-74,-48,-62,-62,-47,23
