Date,Indonesia,Angola,Querétaro,Rio de Janeiro,Metropolitana
1,-38,-21,,6,9
2,-42,-8,,13,9
3,-40,-41,,11,6
4,-49,-52,,9,6
5,-53,-36,,9,21
6,-56,-41,10,11,9
7,-69,-25,11,-6,12
8,-60,-52,11,-12,12
9,-61,-41,10,-13,10
10,-58,-57,9,-29,6
11,-60,-59,9,-38,3
12,-63,-62,9,-45,-4
13,-62,-61,8,-47,-16
14,-62,-60,9,-61,-28
15,-63,-63,7,-64,-33
16,-63,-56,9,-62,-43
17,-60,-63,10,-69,-48
18,-62,-59,12,-69,-50
19,-63,-61,11,-68,-56
20,-62,-62,14,-65,-56
21,-63,-58,14,-62,-59
22,-61,-65,12,-64,-58
23,-79,-44,13,-64,-54
24,-69,-56,12,-65,-68
25,-70,-60,14,-64,-62
26,-69,-57,11,-64,-62
27,-68,-64,12,-61,-66
28,-68,-59,9,-57,-62
29,-69,-63,-4,-60,-62
30,-70,-61,15,-59,-63
31,-66,-68,13,-60,-62
32,-67,-67,14,-61,-56
33,-69,-64,12,-58,-56
34,-69,-68,19,-75,-63
35,-67,-63,3,-58,-61
36,-65,-65,-15,-59,-62
37,-73,-53,11,-60,-60
38,-69,-63,-5,-62,-78
39,-72,-55,-10,-62,-66
40,-71,-45,-16,-63,-70
41,-70,-49,-15,-60,-62
42,-70,-39,-22,-57,-61
43,-68,-62,-20,-61,-60
44,-76,-41,-23,-59,-61
45,-67,-63,-24,-76,-61
46,-68,-54,-25,-60,-55
47,-68,-47,-30,-75,-58
48,-68,-51,-25,-60,-60
49,-68,-45,-34,-58,-59
50,-73,-52,-29,-63,-59
51,-65,-41,-31,-60,-59
52,-62,-60,-32,-62,-61
53,-64,-50,-31,-62,-54
54,-63,-49,-32,-59,-58
55,-64,-51,-28,-75,-60
56,-63,-44,-36,-59,-58
57,-64,-49,-38,-64,-57
58,-65,-40,-34,-58,-52
59,-60,-57,-32,-59,-75
60,-62,-49,-37,-59,-51
61,-64,-47,-56,-62,-54
62,-61,-53,-47,-56,-56
63,-61,-48,-41,-50,-54
64,-65,-49,-37,-56,-57
65,-63,-40,-36,-59,-55
66,-57,-57,-34,-60,-55
67,-61,-49,-35,-61,-63
68,-73,-41,-37,-63,-63
69,-66,-43,-39,-63,-67
70,-65,-36,-44,-56,-66
71,-64,-37,-43,-60,-65
72,-64,-30,-45,-59,-63
73,-60,-46,-43,-60,-62
74,-60,-31,-43,-59,-71
75,-69,-32,-45,-59,-73
76,-58,-37,-41,-57,-73
77,-59,-32,-46,-53,-72
78,-59,-35,-45,-63,-72
79,-58,-31,-43,-57,-81
80,-55,-47,-42,-58,-71
81,-56,-35,-41,-57,-67
82,-53,-35,-51,-58,-69
83,-54,-38,-43,-53,-70
84,-53,-38,-46,-48,-69
85,-54,-38,-44,-54,-70
86,-54,-32,-46,-53,-70
87,-51,-50,-43,-54,-69
88,-51,-39,-45,-53,-63
89,-49,-36,-45,-53,-65
90,-49,-40,-40,-48,-68
91,-49,-39,-45,-43,-68
92,-50,-44,-43,-51,-69
93,-49,-39,-41,-48,-68
94,-45,-51,-43,-50,-68
95,-45,-43,-41,-47,-63
96,-48,-44,-43,-66,-66
97,-48,-41,-37,-46,-69
98,-47,-37,-44,-44,-68
99,-47,-36,-41,-53,-69
100,-46,-28,-35,-50,-69
101,-40,-48,-35,-49,-72
102,-43,-32,-34,-48,-64
103,-45,-28,-39,-49,-66
104,-45,-33,-33,-46,-69
105,-44,-28,-39,-41,-67
106,-45,-31,-35,-47,-71
107,-43,-27,-33,-47,-69
108,-38,-43,-32,-48,-69
109,-39,-33,-31,-48,-64
110,-43,-29,-34,-48,-67
111,-42,-36,-28,-44,-72
112,-43,-32,-34,-43,-71
113,-43,-37,-31,-49,-70
114,-43,-34,-29,-47,-69
115,-38,-48,-29,-45,-69
116,-39,-39,-29,-45,-63
117,-44,-35,-34,-44,-66
118,-44,-39,-28,-41,-85
119,-44,-34,-36,-36,-66
120,-43,-42,-33,-41,-69
121,-43,-37,-27,-40,-66
122,-38,-52,-26,-40,-66
123,-39,-38,-31,-41,-74
124,-43,-37,-35,-43,-61
125,-43,-42,-27,-38,-66
126,-44,-37,-35,-32,-65
