Region,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29
Antofagasta,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.2,0.4,0.4,0.3,0.3,0.3,0.5,0.5,0.4,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.9,1.2,1.3,1.6,1.7,1.8,2.0,2.1,2.1,2.3,2.3,2.4,2.8,3.1,3.1,3.2,3.4,4.0,4.0,3.9,3.9,4.3,4.6,5.9,6.1,6.3,6.8,7.0,7.2,6.9,5.5,4.9,5.2,6.2,7.5,7.9,8.4,10.0,10.9,11.9,11.1,10.6,10.3,10.5,9.7,9.1,8.8,8.6,8.4,9.7,9.8,11.0,11.6,11.8,12.1,12.0,12.7,12.5,12.5,13.3,13.6,15.5,17.4,18.4,19.8,20.8,23.4,27.1,25.6,25.0,26.9,30.4,35.2,35.2,34.7,38.7,41.0,41.0,39.5,37.4,38.1,39.6,38.0,38.3,36.5,37.7,37.1,37.4,35.7,36.4,36.0,37.0,35.0,36.3,34.7,34.7,33.7,32.3,31.1,31.7,29.1,28.7,26.2,23.9,24.1,23.5,22.2,21.0,20.1,20.9,21.8,21.2,19.6,19.5,19.5,19.1,19.2,18.3,18.8,19.7,19.2,19.9,19.7,19.7,19.7,18.0,17.5,17.6,16.4,16.2,15.4,15.0,14.8,14.1,14.1,13.7,12.7,13.1,13.0,13.3,13.9,12.6,13.0
Arica y Parinacota,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.5,0.5,1.4,2.0,2.7,3.2,3.9,4.2,5.4,4.9,4.2,3.8,3.5,3.1,2.7,2.0,1.7,2.6,2.8,3.2,4.6,5.9,5.8,6.1,5.9,5.6,5.2,3.9,3.3,3.5,3.2,2.4,2.7,2.6,2.6,1.7,1.7,1.8,2.4,2.0,2.3,2.2,2.3,2.3,2.2,2.7,4.0,3.7,5.1,5.8,5.9,6.8,6.5,5.7,6.6,6.2,6.3,6.0,6.9,7.0,7.5,9.1,9.9,11.3,13.1,13.1,13.5,14.7,13.0,13.1,13.0,13.8,14.7,15.0,13.7,16.0,15.1,15.8,14.6,14.5,15.6,15.9,14.4,15.4,14.3,16.2,15.8,15.0,15.3,17.2,18.2,19.3,19.2,20.2,22.8,23.0,22.8,25.0,24.5,25.3,26.1,26.9,29.4,31.5,32.1,34.7,34.9,33.3,35.4,36.9,34.8,36.4,39.1,40.5,45.6,42.5,43.5,45.8,43.9,40.6,40.9,37.5,36.5,34.1,32.1,32.0,32.1,30.4,34.7,37.2,38.0,41.0,38.9,38.8,39.9,36.3,34.3,32.0,27.4,27.8,27.6,26.9,24.4,25.0,24.4,24.9,23.5,22.6,21.0
Atacama,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.5,0.7,1.0,1.0,1.3,1.1,1.0,1.6,1.7,1.6,2.0,1.7,2.0,2.0,2.6,2.6,2.9,2.5,2.7,2.4,2.5,1.3,1.1,1.1,1.1,1.1,1.3,1.5,1.6,1.5,1.3,1.4,1.5,1.5,1.5,1.5,1.6,2.1,2.2,2.0,2.5,2.8,3.0,4.0,4.9,5.1,5.6,5.9,6.5,7.0,6.4,6.6,7.0,8.4,8.5,9.1,9.3,10.2,10.2,10.7,10.2,11.4,12.0,12.5,12.4,13.1,13.4,14.9,13.5,12.7,12.8,13.5,13.4,12.7,11.0,13.3,13.7,14.3,14.7,15.1,15.9,16.6,14.3,12.7,12.2,11.5,10.7,11.7,10.9,12.6,15.3,16.7,22.0,20.9,20.2,21.6,24.0,26.6,27.5,24.9,30.3,29.7,34.5,32.0,32.5,34.5,30.6,38.4,42.7,40.1,41.4,40.8,40.2,45.7,36.9,36.8,34.6,32.6,30.5,29.5,26.5,26.1,24.4,22.8,22.6,22.4,21.2
Aysén,,,,,,,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.5,0.5,0.7,0.7,0.7,0.5,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.5,0.8,1.1,1.1,1.2,0.9,0.8,0.8,0.7,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.7,0.5,0.7,0.7,0.7,0.5,0.7,0.5,0.5,0.3,0.3,0.3,0.4,0.4,0.9,1.7,1.9,1.9,1.9,2.3,2.1,1.5,0.9,0.8,0.8,0.9,0.4,0.5,0.7,1.1,1.3,1.3,1.5,1.6,2.5,2.4,1.7,1.5,1.5,1.2,1.1,0.1,0.4,0.4,0.8,0.8,1.1,1.1,1.3,1.1,1.5,1.1,1.1,0.8,0.9,0.8,0.8,1.5,1.6,1.6,1.6,1.5,1.2,1.3,0.5,0.4,0.4,0.4,0.5,0.5,0.7,0.4,0.5,1.1,1.6,1.5,2.0,2.9
Biobío,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.8,0.8,1.0,1.0,1.3,1.3,1.2,1.2,1.4,1.4,1.7,1.5,1.6,1.7,1.7,1.6,1.5,1.2,1.2,1.1,1.0,0.9,0.9,0.9,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.8,0.7,0.7,0.6,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,1.0,1.1,1.2,1.5,1.4,1.6,1.6,1.7,1.6,1.7,1.8,2.0,2.1,2.3,2.4,2.4,2.7,2.7,2.8,2.9,3.6,4.0,4.6,4.9,5.3,5.0,5.6,5.4,5.2,5.2,5.3,5.0,5.3,5.4,5.8,6.2,6.7,6.9,6.9,7.0,7.2,7.6,8.3,9.1,10.1,11.8,12.7,12.4,13.0,13.4,12.7,12.8,12.3,11.8,11.9,10.7,10.1,9.6,9.1,8.7,8.7,8.3,8.8,8.8,8.9,8.6,8.4,8.3,8.4,8.6,8.5,8.5,8.3,8.5,8.6,8.6,8.5,8.7,9.0,9.3,9.3,9.6,9.8,9.7,9.6,9.6,9.6,9.6,9.4,9.5,9.7,10.1,10.1,10.4,10.3,10.5,10.0,10.3,10.1,10.0,10.0,10.5,10.2,10.6,10.9,11.2,11.8,12.4,12.9,13.2,13.2,14.0,14.0,15.3
Coquimbo,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.3,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.6,0.9,0.8,0.8,0.9,1.0,1.1,1.2,1.0,1.0,1.2,1.6,1.9,1.8,1.7,1.8,2.2,2.2,2.5,3.3,3.7,4.4,5.2,5.2,5.6,5.2,4.5,5.0,5.0,5.1,6.2,7.8,8.3,9.2,9.8,10.4,10.5,9.7,9.4,9.3,9.4,9.5,10.0,10.0,10.8,9.9,10.1,9.6,9.6,8.7,8.7,8.5,9.1,9.7,9.9,9.1,8.9,9.4,9.9,10.0,9.8,9.7,10.4,11.9,11.8,11.4,10.6,9.5,10.1,9.8,9.5,9.2,10.6,11.6,12.6,12.1,13.3,13.8,15.1,15.1,15.1,15.7,16.9,16.2,16.6,15.3,14.7,14.0,14.1,13.1,13.5,12.5,12.6,12.9,13.8,13.7,13.7,14.0,13.9,15.3,15.3,14.7,15.1,15.3,14.6,14.5,14.2,15.1,15.6,15.2,15.7,15.5,16.0,14.3
Araucanía,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.4,0.5,0.8,1.0,1.5,1.9,2.3,2.5,2.9,3.4,3.8,3.9,4.1,4.2,4.3,4.4,4.4,4.6,4.2,3.9,3.7,3.7,3.3,2.9,2.2,2.7,2.7,2.9,2.8,3.5,3.9,4.0,3.7,3.9,3.6,3.4,2.7,2.2,2.3,2.1,1.6,1.6,1.6,1.3,1.4,1.3,1.3,1.5,1.5,1.8,1.9,1.8,1.9,2.1,2.3,2.4,2.1,2.4,2.6,2.6,2.5,2.4,2.6,2.8,3.1,3.1,3.3,3.4,3.5,4.0,3.7,3.6,3.6,3.6,3.2,4.2,3.7,4.3,4.2,4.3,4.4,5.0,4.1,4.6,4.2,4.5,4.6,4.3,4.3,4.2,3.6,3.8,3.7,3.3,3.1,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.1,3.4,3.2,3.4,3.4,3.3,3.4,3.0,2.6,2.8,2.1,2.0,2.4,2.4,2.2,2.1,1.9,2.1,2.3,2.1,2.1,2.4,2.7,2.7,3.0,3.1,3.4,3.4,3.4,3.4,3.7,3.7,3.6,3.3,3.7,3.5,3.4,3.2,3.2,3.1,3.3,3.0,3.1,3.5,3.4,3.2,3.5,3.4,3.4,3.8,3.8,3.7,3.6,3.6,3.6,3.3,3.0,2.9
O’Higgins,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.8,0.9,1.0,1.2,1.3,1.5,2.1,2.2,2.1,2.5,2.9,3.1,3.0,2.5,2.4,2.7,2.7,2.5,3.1,3.4,3.5,3.6,3.4,3.3,3.2,2.7,3.5,3.8,3.9,5.1,5.7,6.4,6.8,7.4,8.4,8.8,9.8,10.7,10.9,13.0,14.1,15.7,18.8,20.8,23.7,25.9,25.4,26.1,26.7,26.3,24.6,23.8,23.9,24.8,23.6,22.7,21.5,22.2,21.1,20.3,20.0,19.1,19.0,20.8,19.5,18.3,17.8,16.9,17.1,16.5,14.6,13.8,13.7,13.0,12.1,12.2,11.9,11.7,11.9,11.8,11.7,11.0,10.4,10.1,9.1,8.9,8.6,8.5,8.7,8.4,8.3,8.9,10.8,10.9,10.9,11.6,12.4,12.4,11.7,9.4,9.3,8.8,8.2,7.5,7.4,7.3,7.3,7.1,8.2,8.4,8.8,8.3,8.5,9.1
Los Lagos,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.3,0.4,0.5,0.6,0.6,0.7,0.7,1.2,1.3,1.5,1.8,2.2,2.3,2.7,2.7,2.8,2.5,2.4,2.3,2.2,1.8,1.7,1.5,1.5,1.4,1.0,0.9,1.0,0.8,0.8,0.7,0.8,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.6,0.5,0.7,0.8,0.7,0.8,0.8,1.0,0.9,0.8,0.7,0.9,1.1,1.1,1.4,1.4,1.5,1.4,1.2,1.0,1.0,0.6,1.0,1.2,1.3,1.4,1.8,2.0,2.0,1.9,1.7,2.1,2.0,1.6,1.8,2.0,1.8,2.3,2.0,2.2,2.4,2.1,2.1,2.2,1.8,2.0,2.2,2.5,2.4,2.8,2.7,2.9,3.1,3.4,3.8,4.1,3.7,3.9,3.9,3.8,3.6,3.3,3.0,3.2,3.7,4.2,4.5,5.1,5.0,5.2,5.8,5.8,5.4,5.9,5.7,6.0,6.8,6.6,6.8,7.1,6.2,6.8,6.4,6.5,6.8,6.9,7.7,9.5,10.1,11.7,12.3,12.2,12.4,12.5,12.6,12.5,11.5,11.7,12.1,12.3,12.6,12.1,12.1,12.2,11.0,11.1,10.7,10.2,9.8,9.7,9.3,9.6,9.0,9.3,9.0,8.7,8.3,8.4,8.0,8.1,7.4,7.7,7.7
Los Ríos,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.5,0.7,0.9,1.4,1.5,1.8,1.9,1.9,2.0,2.2,2.1,2.0,1.8,1.8,1.8,1.6,1.4,1.3,1.2,1.4,1.3,1.2,1.1,0.9,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.5,0.4,0.6,0.5,0.7,0.7,0.7,0.7,0.6,0.5,0.5,0.4,0.3,0.3,0.4,0.4,0.4,0.6,0.5,0.5,0.6,0.6,1.2,1.5,1.5,1.9,2.5,2.6,2.6,2.2,2.1,2.4,2.5,2.3,2.3,2.3,2.2,2.1,2.1,1.9,2.1,2.2,2.7,2.8,2.9,3.1,3.1,2.8,3.7,3.1,3.1,3.2,3.0,3.1,3.5,2.7,2.7,2.6,2.6,2.6,2.5,2.4,2.4,2.7,2.7,2.4,2.1,2.1,1.6,1.5,1.2,1.2,1.6,1.6,1.6,1.5,1.3,1.5,1.4,1.6,2.3,2.2,2.4,2.7,2.5,2.4,2.1,1.4,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.3,1.2,1.3,1.2,1.3,1.2,1.2,1.6,1.5,1.7,2.0,2.1,2.2,2.3,1.9,2.0,1.6,1.2,1.1,0.9,1.0,1.2,1.6,1.7,1.8,1.8,2.0,2.0,1.8
