Region,Casos probables acumulados,Casos activos probables
Arica y Parinacota,57,10
Tarapacá,160,67
Antofagasta,422,169
Atacama,49,30
Coquimbo,370,125
Valparaíso,3172,1037
Metropolitana,23674,4902
O'Higgins,1050,548
Maule,397,190
Ñuble,435,188
Biobío,868,363
Araucania,130,64
Los Ríos,52,19
Los Lagos,131,93
Aysén,1,1
Magallanes,12,0
Total,30980,7806
