Region,Casos probables acumulados,Casos activos probables
Arica y Parinacota,47,13
Tarapacá,167,74
Antofagasta,316,187
Atacama,69,49
Coquimbo,286,108
Valparaíso,2243,1063
Metropolitana,19500,6560
O'Higgins,618,402
Maule,339,188
Ñuble,309,212
Biobío,726,426
Araucania,119,47
Los Ríos,36,18
Los Lagos,85,55
Aysén,0,0
Magallanes,21,1
Total,24881,9403
