Region,Casos probables acumulados,Casos activos probables
Arica y Parinacota,74,27
Tarapacá,161,64
Antofagasta,462,164
Atacama,54,36
Coquimbo,409,138
Valparaíso,3384,956
Metropolitana,24720,4706
O'Higgins,1174,573
Maule,424,188
Ñuble,467,162
Biobío,915,354
Araucania,118,56
Los Ríos,59,24
Los Lagos,144,94
Aysén,0,0
Magallanes,13,1
Total,32578,7543
