Region,Casos probables acumulados,Casos activos probables
Arica y Parinacota,52,15
Tarapacá,193,80
Antofagasta,350,200
Atacama,58,42
Coquimbo,325,124
Valparaíso,2583,1158
Metropolitana,21175,6606
O'Higgins,754,496
Maule,299,156
Ñuble,378,238
Biobío,748,407
Araucania,134,52
Los Ríos,40,18
Los Lagos,83,53
Aysén,0,0
Magallanes,21,1
Total,27193,9646
