Region,Casos probables acumulados,Casos activos probables
Arica y Parinacota,50,14
Tarapacá,174,71
Antofagasta,338,200
Atacama,72,54
Coquimbo,310,122
Valparaíso,2445,1127
Metropolitana,20458,6711
O'Higgins,689,453
Maule,291,156
Ñuble,332,209
Biobío,731,410
Araucania,127,49
Los Ríos,40,22
Los Lagos,106,75
Aysén,0,0
Magallanes,21,1
Total,26184,9674
