Region,Casos probables acumulados,Casos activos probables
Arica y Parinacota,56,11
Tarapacá,155,70
Antofagasta,417,175
Atacama,59,40
Coquimbo,364,129
Valparaíso,3121,1118
Metropolitana,23443,5346
O'Higgins,1024,584
Maule,396,206
Ñuble,430,202
Biobío,825,350
Araucania,112,52
Los Ríos,51,20
Los Lagos,117,82
Aysén,0,0
Magallanes,12,0
Total,30582,8385
