Region,Casos probables acumulados,Casos activos probables
Arica y Parinacota,77,29
Tarapacá,180,75
Antofagasta,507,195
Atacama,55,37
Coquimbo,429,152
Valparaíso,3646,1071
Metropolitana,25495,4845
O'Higgins,1247,592
Maule,454,209
Ñuble,502,169
Biobío,996,409
Araucania,97,55
Los Ríos,57,22
Los Lagos,178,125
Aysén,0,0
Magallanes,13,1
Total,33933,7986
