Region,Casos probables acumulados,Casos activos probables
Arica y Parinacota,49,20
Tarapacá,150,87
Antofagasta,228,153
Atacama,37,34
Coquimbo,151,98
Valparaíso,2026,1145
Metropolitana,17412,7678
O'Higgins,408,305
Maule,308,212
Ñuble,297,228
Biobío,639,408
Araucania,92,47
Los Ríos,29,18
Los Lagos,53,46
Aysén,0,0
Magallanes,18,3
Total,21897,10482
