Region,Casos probables acumulados,Casos activos probables
Arica y Parinacota,61,13
Tarapacá,160,66
Antofagasta,443,166
Atacama,51,35
Coquimbo,390,129
Valparaíso,3292,1018
Metropolitana,24335,4938
O'Higgins,1146,603
Maule,418,193
Ñuble,462,194
Biobío,902,371
Araucania,132,64
Los Ríos,59,24
Los Lagos,149,106
Aysén,0,0
Magallanes,13,1
Total,32013,7921
