Region,Casos probables acumulados,Casos activos probables
Arica y Parinacota,53,15
Tarapacá,188,70
Antofagasta,360,194
Atacama,71,55
Coquimbo,335,131
Valparaíso,2725,1202
Metropolitana,21849,6613
O'Higgins,821,535
Maule,336,170
Ñuble,393,241
Biobío,733,377
Araucania,133,46
Los Ríos,45,23
Los Lagos,76,45
Aysén,2,2
Magallanes,13,1
Total,28133,9720
