Region,Casos probables acumulados,Casos activos probables
Arica y Parinacota,55,15
Tarapacá,203,73
Antofagasta,400,207
Atacama,61,45
Coquimbo,365,149
Valparaíso,2973,1243
Metropolitana,22826,6246
O'Higgins,959,612
Maule,372,203
Ñuble,419,237
Biobío,818,414
Araucania,110,52
Los Ríos,49,20
Los Lagos,110,77
Aysén,2,2
Magallanes,11,0
Total,29733,9595
