Region,Casos probables acumulados,Casos activos probables
Arica y Parinacota,44,16
Tarapacá,155,83
Antofagasta,250,169
Atacama,43,37
Coquimbo,161,99
Valparaíso,2087,1106
Metropolitana,17636,7204
O'Higgins,466,352
Maule,315,200
Ñuble,279,219
Biobío,655,408
Araucania,101,56
Los Ríos,31,19
Los Lagos,66,59
Aysén,0,0
Magallanes,18,2
Total,22307,10029
