Region,Casos probables acumulados,Casos activos probables
Arica y Parinacota,56,16
Tarapacá,146,66
Antofagasta,407,185
Atacama,57,42
Coquimbo,378,152
Valparaíso,3086,1230
Metropolitana,23284,5990
O'Higgins,1014,637
Maule,395,218
Ñuble,421,220
Biobío,826,408
Araucania,113,54
Los Ríos,50,19
Los Lagos,115,81
Aysén,2,2
Magallanes,12,0
Total,30362,9320
