Region,Casos probables acumulados,Casos activos probables
Arica y Parinacota,54,14
Tarapacá,188,63
Antofagasta,385,195
Atacama,63,46
Coquimbo,355,143
Valparaíso,2879,1241
Metropolitana,22423,6455
O'Higgins,882,578
Maule,340,179
Ñuble,410,242
Biobío,760,380
Araucania,136,49
Los Ríos,49,23
Los Lagos,81,48
Aysén,2,2
Magallanes,12,1
Total,29019,9659
