Region,Categoria,Fecha,Total
Metropolitana,Casos nuevos totales,2020-03-30,128.0
O’Higgins,Casos nuevos totales,2020-03-30,0.0
Maule,Casos nuevos totales,2020-03-30,12.0
Ñuble,Casos nuevos totales,2020-03-30,32.0
Biobío,Casos nuevos totales,2020-03-30,16.0
Araucanía,Casos nuevos totales,2020-03-30,42.0
Los Ríos,Casos nuevos totales,2020-03-30,7.0
Los Lagos,Casos nuevos totales,2020-03-30,24.0
Aysén,Casos nuevos totales,2020-03-30,0.0
Magallanes,Casos nuevos totales,2020-03-30,0.0
Total,Casos nuevos totales,2020-03-30,310.0
Arica y Parinacota,Casos nuevos con sintomas,2020-03-30,2.0
Tarapacá,Casos nuevos con sintomas,2020-03-30,2.0
Antofagasta,Casos nuevos con sintomas,2020-03-30,8.0
Atacama,Casos nuevos con sintomas,2020-03-30,0.0
Coquimbo,Casos nuevos con sintomas,2020-03-30,9.0
Valparaíso,Casos nuevos con sintomas,2020-03-30,28.0
Metropolitana,Casos nuevos con sintomas,2020-03-30,128.0
O’Higgins,Casos nuevos con sintomas,2020-03-30,0.0
Maule,Casos nuevos con sintomas,2020-03-30,12.0
Ñuble,Casos nuevos con sintomas,2020-03-30,32.0
Biobío,Casos nuevos con sintomas,2020-03-30,16.0
Araucanía,Casos nuevos con sintomas,2020-03-30,42.0
Los Ríos,Casos nuevos con sintomas,2020-03-30,7.0
Los Lagos,Casos nuevos con sintomas,2020-03-30,24.0
Aysén,Casos nuevos con sintomas,2020-03-30,0.0
Magallanes,Casos nuevos con sintomas,2020-03-30,0.0
Total,Casos nuevos con sintomas,2020-03-30,310.0
Arica y Parinacota,Casos nuevos sin sintomas,2020-03-30,
Tarapacá,Casos nuevos sin sintomas,2020-03-30,
Antofagasta,Casos nuevos sin sintomas,2020-03-30,
Atacama,Casos nuevos sin sintomas,2020-03-30,
Coquimbo,Casos nuevos sin sintomas,2020-03-30,
Valparaíso,Casos nuevos sin sintomas,2020-03-30,
Metropolitana,Casos nuevos sin sintomas,2020-03-30,
O'Higgins,Casos nuevos sin sintomas,2020-03-30,
Maule,Casos nuevos sin sintomas,2020-03-30,
Ñuble,Casos nuevos sin sintomas,2020-03-30,
Biobío,Casos nuevos sin sintomas,2020-03-30,
Araucania,Casos nuevos sin sintomas,2020-03-30,
Los Ríos,Casos nuevos sin sintomas,2020-03-30,
Los Lagos,Casos nuevos sin sintomas,2020-03-30,
Aysén,Casos nuevos sin sintomas,2020-03-30,
Magallanes,Casos nuevos sin sintomas,2020-03-30,
Total,Casos nuevos sin sintomas,2020-03-30,
Arica y Parinacota,Casos nuevos sin notificar,2020-03-30,
Tarapacá,Casos nuevos sin notificar,2020-03-30,
Antofagasta,Casos nuevos sin notificar,2020-03-30,
Atacama,Casos nuevos sin notificar,2020-03-30,
Coquimbo,Casos nuevos sin notificar,2020-03-30,
Valparaíso,Casos nuevos sin notificar,2020-03-30,
Metropolitana,Casos nuevos sin notificar,2020-03-30,
O'Higgins,Casos nuevos sin notificar,2020-03-30,
Maule,Casos nuevos sin notificar,2020-03-30,
Ñuble,Casos nuevos sin notificar,2020-03-30,
Biobío,Casos nuevos sin notificar,2020-03-30,
Araucania,Casos nuevos sin notificar,2020-03-30,
Los Ríos,Casos nuevos sin notificar,2020-03-30,
Los Lagos,Casos nuevos sin notificar,2020-03-30,
Aysén,Casos nuevos sin notificar,2020-03-30,
Magallanes,Casos nuevos sin notificar,2020-03-30,
Total,Casos nuevos sin notificar,2020-03-30,
Arica y Parinacota,Fallecidos totales,2020-03-30,0.0
Tarapacá,Fallecidos totales,2020-03-30,0.0
Antofagasta,Fallecidos totales,2020-03-30,0.0
Atacama,Fallecidos totales,2020-03-30,0.0
Coquimbo,Fallecidos totales,2020-03-30,0.0
Valparaíso,Fallecidos totales,2020-03-30,0.0
Metropolitana,Fallecidos totales,2020-03-30,3.0
O’Higgins,Fallecidos totales,2020-03-30,0.0
Maule,Fallecidos totales,2020-03-30,1.0
Ñuble,Fallecidos totales,2020-03-30,0.0
Biobío,Fallecidos totales,2020-03-30,2.0
Araucanía,Fallecidos totales,2020-03-30,2.0
Los Ríos,Fallecidos totales,2020-03-30,0.0
Los Lagos,Fallecidos totales,2020-03-30,0.0
Aysén,Fallecidos totales,2020-03-30,0.0
Magallanes,Fallecidos totales,2020-03-30,0.0
Total,Fallecidos totales,2020-03-30,8.0
Arica y Parinacota,Casos confirmados recuperados,2020-03-30,
Tarapacá,Casos confirmados recuperados,2020-03-30,
Antofagasta,Casos confirmados recuperados,2020-03-30,
Atacama,Casos confirmados recuperados,2020-03-30,
Coquimbo,Casos confirmados recuperados,2020-03-30,
Valparaíso,Casos confirmados recuperados,2020-03-30,
Metropolitana,Casos confirmados recuperados,2020-03-30,
O'Higgins,Casos confirmados recuperados,2020-03-30,
Maule,Casos confirmados recuperados,2020-03-30,
Ñuble,Casos confirmados recuperados,2020-03-30,
Biobío,Casos confirmados recuperados,2020-03-30,
Araucania,Casos confirmados recuperados,2020-03-30,
Los Ríos,Casos confirmados recuperados,2020-03-30,
Los Lagos,Casos confirmados recuperados,2020-03-30,
Aysén,Casos confirmados recuperados,2020-03-30,
Magallanes,Casos confirmados recuperados,2020-03-30,
Total,Casos confirmados recuperados,2020-03-30,
Arica y Parinacota,Casos activos confirmados,2020-03-30,
Tarapacá,Casos activos confirmados,2020-03-30,
Antofagasta,Casos activos confirmados,2020-03-30,
Atacama,Casos activos confirmados,2020-03-30,
Coquimbo,Casos activos confirmados,2020-03-30,
Valparaíso,Casos activos confirmados,2020-03-30,
Metropolitana,Casos activos confirmados,2020-03-30,
O'Higgins,Casos activos confirmados,2020-03-30,
Maule,Casos activos confirmados,2020-03-30,
Ñuble,Casos activos confirmados,2020-03-30,
Biobío,Casos activos confirmados,2020-03-30,
Araucania,Casos activos confirmados,2020-03-30,
Los Ríos,Casos activos confirmados,2020-03-30,
Los Lagos,Casos activos confirmados,2020-03-30,
Aysén,Casos activos confirmados,2020-03-30,
Magallanes,Casos activos confirmados,2020-03-30,
Total,Casos activos confirmados,2020-03-30,
Arica y Parinacota,Casos activos probables,2020-03-30,
Tarapacá,Casos activos probables,2020-03-30,
Antofagasta,Casos activos probables,2020-03-30,
Atacama,Casos activos probables,2020-03-30,
Coquimbo,Casos activos probables,2020-03-30,
Valparaíso,Casos activos probables,2020-03-30,
Metropolitana,Casos activos probables,2020-03-30,
O'Higgins,Casos activos probables,2020-03-30,
Maule,Casos activos probables,2020-03-30,
Ñuble,Casos activos probables,2020-03-30,
Biobío,Casos activos probables,2020-03-30,
Araucania,Casos activos probables,2020-03-30,
Los Ríos,Casos activos probables,2020-03-30,
Los Lagos,Casos activos probables,2020-03-30,
Aysén,Casos activos probables,2020-03-30,
Magallanes,Casos activos probables,2020-03-30,
Total,Casos activos probables,2020-03-30,
Arica y Parinacota,Casos probables acumulados,2020-03-30,
Tarapacá,Casos probables acumulados,2020-03-30,
Antofagasta,Casos probables acumulados,2020-03-30,
Atacama,Casos probables acumulados,2020-03-30,
Coquimbo,Casos probables acumulados,2020-03-30,
Valparaíso,Casos probables acumulados,2020-03-30,
Metropolitana,Casos probables acumulados,2020-03-30,
O'Higgins,Casos probables acumulados,2020-03-30,
Maule,Casos probables acumulados,2020-03-30,
Ñuble,Casos probables acumulados,2020-03-30,
Biobío,Casos probables acumulados,2020-03-30,
Araucania,Casos probables acumulados,2020-03-30,
Los Ríos,Casos probables acumulados,2020-03-30,
Los Lagos,Casos probables acumulados,2020-03-30,
Aysén,Casos probables acumulados,2020-03-30,
Magallanes,Casos probables acumulados,2020-03-30,
Total,Casos probables acumulados,2020-03-30,
Arica y Parinacota,Casos acumulados,2020-03-31,6.0
Tarapacá,Casos acumulados,2020-03-31,10.0
Antofagasta,Casos acumulados,2020-03-31,35.0
Atacama,Casos acumulados,2020-03-31,2.0
Coquimbo,Casos acumulados,2020-03-31,28.0
Valparaíso,Casos acumulados,2020-03-31,115.0
Metropolitana,Casos acumulados,2020-03-31,1420.0
O’Higgins,Casos acumulados,2020-03-31,23.0
Maule,Casos acumulados,2020-03-31,62.0
Ñuble,Casos acumulados,2020-03-31,245.0
Biobío,Casos acumulados,2020-03-31,216.0
Araucanía,Casos acumulados,2020-03-31,302.0
Los Ríos,Casos acumulados,2020-03-31,58.0
Los Lagos,Casos acumulados,2020-03-31,151.0
Aysén,Casos acumulados,2020-03-31,2.0
Magallanes,Casos acumulados,2020-03-31,63.0
Total,Casos acumulados,2020-03-31,2738.0
Arica y Parinacota,Casos nuevos totales,2020-03-31,0.0
Tarapacá,Casos nuevos totales,2020-03-31,2.0
Antofagasta,Casos nuevos totales,2020-03-31,0.0
Atacama,Casos nuevos totales,2020-03-31,0.0
Coquimbo,Casos nuevos totales,2020-03-31,1.0
Valparaíso,Casos nuevos totales,2020-03-31,7.0
Metropolitana,Casos nuevos totales,2020-03-31,125.0
O’Higgins,Casos nuevos totales,2020-03-31,2.0
Maule,Casos nuevos totales,2020-03-31,8.0
Ñuble,Casos nuevos totales,2020-03-31,16.0
Biobío,Casos nuevos totales,2020-03-31,15.0
Araucanía,Casos nuevos totales,2020-03-31,55.0
Los Ríos,Casos nuevos totales,2020-03-31,11.0
Los Lagos,Casos nuevos totales,2020-03-31,23.0
Aysén,Casos nuevos totales,2020-03-31,0.0
Magallanes,Casos nuevos totales,2020-03-31,24.0
Total,Casos nuevos totales,2020-03-31,289.0
Arica y Parinacota,Casos nuevos con sintomas,2020-03-31,0.0
Tarapacá,Casos nuevos con sintomas,2020-03-31,2.0
Antofagasta,Casos nuevos con sintomas,2020-03-31,0.0
Atacama,Casos nuevos con sintomas,2020-03-31,0.0
Coquimbo,Casos nuevos con sintomas,2020-03-31,1.0
Valparaíso,Casos nuevos con sintomas,2020-03-31,7.0
Metropolitana,Casos nuevos con sintomas,2020-03-31,125.0
O’Higgins,Casos nuevos con sintomas,2020-03-31,2.0
Maule,Casos nuevos con sintomas,2020-03-31,8.0
Ñuble,Casos nuevos con sintomas,2020-03-31,16.0
Biobío,Casos nuevos con sintomas,2020-03-31,15.0
Araucanía,Casos nuevos con sintomas,2020-03-31,55.0
Los Ríos,Casos nuevos con sintomas,2020-03-31,11.0
Los Lagos,Casos nuevos con sintomas,2020-03-31,23.0
Aysén,Casos nuevos con sintomas,2020-03-31,0.0
Magallanes,Casos nuevos con sintomas,2020-03-31,24.0
Total,Casos nuevos con sintomas,2020-03-31,289.0
Arica y Parinacota,Casos nuevos sin sintomas,2020-03-31,
Tarapacá,Casos nuevos sin sintomas,2020-03-31,
Antofagasta,Casos nuevos sin sintomas,2020-03-31,
Atacama,Casos nuevos sin sintomas,2020-03-31,
Coquimbo,Casos nuevos sin sintomas,2020-03-31,
Valparaíso,Casos nuevos sin sintomas,2020-03-31,
Metropolitana,Casos nuevos sin sintomas,2020-03-31,
O'Higgins,Casos nuevos sin sintomas,2020-03-31,
Maule,Casos nuevos sin sintomas,2020-03-31,
Ñuble,Casos nuevos sin sintomas,2020-03-31,
Biobío,Casos nuevos sin sintomas,2020-03-31,
Araucania,Casos nuevos sin sintomas,2020-03-31,
Los Ríos,Casos nuevos sin sintomas,2020-03-31,
Los Lagos,Casos nuevos sin sintomas,2020-03-31,
Aysén,Casos nuevos sin sintomas,2020-03-31,
Magallanes,Casos nuevos sin sintomas,2020-03-31,
Total,Casos nuevos sin sintomas,2020-03-31,
Arica y Parinacota,Casos nuevos sin notificar,2020-03-31,
Tarapacá,Casos nuevos sin notificar,2020-03-31,
Antofagasta,Casos nuevos sin notificar,2020-03-31,
Atacama,Casos nuevos sin notificar,2020-03-31,
Coquimbo,Casos nuevos sin notificar,2020-03-31,
Valparaíso,Casos nuevos sin notificar,2020-03-31,
Metropolitana,Casos nuevos sin notificar,2020-03-31,
O'Higgins,Casos nuevos sin notificar,2020-03-31,
Maule,Casos nuevos sin notificar,2020-03-31,
Ñuble,Casos nuevos sin notificar,2020-03-31,
Biobío,Casos nuevos sin notificar,2020-03-31,
Araucania,Casos nuevos sin notificar,2020-03-31,
Los Ríos,Casos nuevos sin notificar,2020-03-31,
Los Lagos,Casos nuevos sin notificar,2020-03-31,
Aysén,Casos nuevos sin notificar,2020-03-31,
Magallanes,Casos nuevos sin notificar,2020-03-31,
Total,Casos nuevos sin notificar,2020-03-31,
Arica y Parinacota,Fallecidos totales,2020-03-31,0.0
Tarapacá,Fallecidos totales,2020-03-31,0.0
Antofagasta,Fallecidos totales,2020-03-31,0.0
Atacama,Fallecidos totales,2020-03-31,0.0
Coquimbo,Fallecidos totales,2020-03-31,0.0
Valparaíso,Fallecidos totales,2020-03-31,1.0
Metropolitana,Fallecidos totales,2020-03-31,4.0
O’Higgins,Fallecidos totales,2020-03-31,0.0
Maule,Fallecidos totales,2020-03-31,1.0
Ñuble,Fallecidos totales,2020-03-31,0.0
Biobío,Fallecidos totales,2020-03-31,2.0
Araucanía,Fallecidos totales,2020-03-31,4.0
Los Ríos,Fallecidos totales,2020-03-31,0.0
Los Lagos,Fallecidos totales,2020-03-31,0.0
Aysén,Fallecidos totales,2020-03-31,0.0
Magallanes,Fallecidos totales,2020-03-31,0.0
Total,Fallecidos totales,2020-03-31,12.0
Arica y Parinacota,Casos confirmados recuperados,2020-03-31,
Tarapacá,Casos confirmados recuperados,2020-03-31,
Antofagasta,Casos confirmados recuperados,2020-03-31,
Atacama,Casos confirmados recuperados,2020-03-31,
Coquimbo,Casos confirmados recuperados,2020-03-31,
Valparaíso,Casos confirmados recuperados,2020-03-31,
Metropolitana,Casos confirmados recuperados,2020-03-31,
O'Higgins,Casos confirmados recuperados,2020-03-31,
Maule,Casos confirmados recuperados,2020-03-31,
Ñuble,Casos confirmados recuperados,2020-03-31,
Biobío,Casos confirmados recuperados,2020-03-31,
Araucania,Casos confirmados recuperados,2020-03-31,
Los Ríos,Casos confirmados recuperados,2020-03-31,
Los Lagos,Casos confirmados recuperados,2020-03-31,
Aysén,Casos confirmados recuperados,2020-03-31,
Magallanes,Casos confirmados recuperados,2020-03-31,
Total,Casos confirmados recuperados,2020-03-31,
Arica y Parinacota,Casos activos confirmados,2020-03-31,
Tarapacá,Casos activos confirmados,2020-03-31,
Antofagasta,Casos activos confirmados,2020-03-31,
Atacama,Casos activos confirmados,2020-03-31,
Coquimbo,Casos activos confirmados,2020-03-31,
Valparaíso,Casos activos confirmados,2020-03-31,
Metropolitana,Casos activos confirmados,2020-03-31,
O'Higgins,Casos activos confirmados,2020-03-31,
Maule,Casos activos confirmados,2020-03-31,
Ñuble,Casos activos confirmados,2020-03-31,
Biobío,Casos activos confirmados,2020-03-31,
Araucania,Casos activos confirmados,2020-03-31,
Los Ríos,Casos activos confirmados,2020-03-31,
Los Lagos,Casos activos confirmados,2020-03-31,
Aysén,Casos activos confirmados,2020-03-31,
Magallanes,Casos activos confirmados,2020-03-31,
Total,Casos activos confirmados,2020-03-31,
Arica y Parinacota,Casos activos probables,2020-03-31,
Tarapacá,Casos activos probables,2020-03-31,
Antofagasta,Casos activos probables,2020-03-31,
Atacama,Casos activos probables,2020-03-31,
Coquimbo,Casos activos probables,2020-03-31,
Valparaíso,Casos activos probables,2020-03-31,
Metropolitana,Casos activos probables,2020-03-31,
O'Higgins,Casos activos probables,2020-03-31,
Maule,Casos activos probables,2020-03-31,
Ñuble,Casos activos probables,2020-03-31,
Biobío,Casos activos probables,2020-03-31,
Araucania,Casos activos probables,2020-03-31,
Los Ríos,Casos activos probables,2020-03-31,
Los Lagos,Casos activos probables,2020-03-31,
Aysén,Casos activos probables,2020-03-31,
Magallanes,Casos activos probables,2020-03-31,
Total,Casos activos probables,2020-03-31,
Arica y Parinacota,Casos probables acumulados,2020-03-31,
Tarapacá,Casos probables acumulados,2020-03-31,
Antofagasta,Casos probables acumulados,2020-03-31,
Atacama,Casos probables acumulados,2020-03-31,
Coquimbo,Casos probables acumulados,2020-03-31,
Valparaíso,Casos probables acumulados,2020-03-31,
Metropolitana,Casos probables acumulados,2020-03-31,
O'Higgins,Casos probables acumulados,2020-03-31,
Maule,Casos probables acumulados,2020-03-31,
Ñuble,Casos probables acumulados,2020-03-31,
Biobío,Casos probables acumulados,2020-03-31,
Araucania,Casos probables acumulados,2020-03-31,
Los Ríos,Casos probables acumulados,2020-03-31,
Los Lagos,Casos probables acumulados,2020-03-31,
Aysén,Casos probables acumulados,2020-03-31,
Magallanes,Casos probables acumulados,2020-03-31,
Total,Casos probables acumulados,2020-03-31,
Arica y Parinacota,Casos acumulados,2020-04-01,6.0
Tarapacá,Casos acumulados,2020-04-01,10.0
Antofagasta,Casos acumulados,2020-04-01,39.0
Atacama,Casos acumulados,2020-04-01,3.0
Coquimbo,Casos acumulados,2020-04-01,30.0
Valparaíso,Casos acumulados,2020-04-01,136.0
Metropolitana,Casos acumulados,2020-04-01,1521.0
O’Higgins,Casos acumulados,2020-04-01,26.0
Maule,Casos acumulados,2020-04-01,71.0
Ñuble,Casos acumulados,2020-04-01,259.0
Biobío,Casos acumulados,2020-04-01,240.0
Araucanía,Casos acumulados,2020-04-01,343.0
Los Ríos,Casos acumulados,2020-04-01,64.0
Los Lagos,Casos acumulados,2020-04-01,181.0
Aysén,Casos acumulados,2020-04-01,3.0
Magallanes,Casos acumulados,2020-04-01,99.0
Total,Casos acumulados,2020-04-01,3031.0
Arica y Parinacota,Casos nuevos totales,2020-04-01,0.0
Tarapacá,Casos nuevos totales,2020-04-01,0.0
Antofagasta,Casos nuevos totales,2020-04-01,4.0
Atacama,Casos nuevos totales,2020-04-01,1.0
Coquimbo,Casos nuevos totales,2020-04-01,2.0
Valparaíso,Casos nuevos totales,2020-04-01,21.0
Metropolitana,Casos nuevos totales,2020-04-01,101.0
O’Higgins,Casos nuevos totales,2020-04-01,3.0
Maule,Casos nuevos totales,2020-04-01,9.0
Ñuble,Casos nuevos totales,2020-04-01,14.0
Biobío,Casos nuevos totales,2020-04-01,24.0
Araucanía,Casos nuevos totales,2020-04-01,41.0
Los Ríos,Casos nuevos totales,2020-04-01,6.0
Los Lagos,Casos nuevos totales,2020-04-01,30.0
Aysén,Casos nuevos totales,2020-04-01,1.0
Magallanes,Casos nuevos totales,2020-04-01,36.0
Total,Casos nuevos totales,2020-04-01,293.0
Arica y Parinacota,Casos nuevos con sintomas,2020-04-01,0.0
Tarapacá,Casos nuevos con sintomas,2020-04-01,0.0
Antofagasta,Casos nuevos con sintomas,2020-04-01,4.0
Atacama,Casos nuevos con sintomas,2020-04-01,1.0
Coquimbo,Casos nuevos con sintomas,2020-04-01,2.0
Valparaíso,Casos nuevos con sintomas,2020-04-01,21.0
Metropolitana,Casos nuevos con sintomas,2020-04-01,101.0
O’Higgins,Casos nuevos con sintomas,2020-04-01,3.0
Maule,Casos nuevos con sintomas,2020-04-01,9.0
Ñuble,Casos nuevos con sintomas,2020-04-01,14.0
Biobío,Casos nuevos con sintomas,2020-04-01,24.0
Araucanía,Casos nuevos con sintomas,2020-04-01,41.0
Los Ríos,Casos nuevos con sintomas,2020-04-01,6.0
Los Lagos,Casos nuevos con sintomas,2020-04-01,30.0
Aysén,Casos nuevos con sintomas,2020-04-01,1.0
Magallanes,Casos nuevos con sintomas,2020-04-01,36.0
Total,Casos nuevos con sintomas,2020-04-01,293.0
Arica y Parinacota,Casos nuevos sin sintomas,2020-04-01,
Tarapacá,Casos nuevos sin sintomas,2020-04-01,
Antofagasta,Casos nuevos sin sintomas,2020-04-01,
Atacama,Casos nuevos sin sintomas,2020-04-01,
Coquimbo,Casos nuevos sin sintomas,2020-04-01,
Valparaíso,Casos nuevos sin sintomas,2020-04-01,
Metropolitana,Casos nuevos sin sintomas,2020-04-01,
O'Higgins,Casos nuevos sin sintomas,2020-04-01,
Maule,Casos nuevos sin sintomas,2020-04-01,
Ñuble,Casos nuevos sin sintomas,2020-04-01,
Biobío,Casos nuevos sin sintomas,2020-04-01,
Araucania,Casos nuevos sin sintomas,2020-04-01,
Los Ríos,Casos nuevos sin sintomas,2020-04-01,
Los Lagos,Casos nuevos sin sintomas,2020-04-01,
Aysén,Casos nuevos sin sintomas,2020-04-01,
Magallanes,Casos nuevos sin sintomas,2020-04-01,
Total,Casos nuevos sin sintomas,2020-04-01,
Arica y Parinacota,Casos nuevos sin notificar,2020-04-01,
Tarapacá,Casos nuevos sin notificar,2020-04-01,
Antofagasta,Casos nuevos sin notificar,2020-04-01,
Atacama,Casos nuevos sin notificar,2020-04-01,
Coquimbo,Casos nuevos sin notificar,2020-04-01,
Valparaíso,Casos nuevos sin notificar,2020-04-01,
Metropolitana,Casos nuevos sin notificar,2020-04-01,
O'Higgins,Casos nuevos sin notificar,2020-04-01,
Maule,Casos nuevos sin notificar,2020-04-01,
Ñuble,Casos nuevos sin notificar,2020-04-01,
Biobío,Casos nuevos sin notificar,2020-04-01,
Araucania,Casos nuevos sin notificar,2020-04-01,
Los Ríos,Casos nuevos sin notificar,2020-04-01,
Los Lagos,Casos nuevos sin notificar,2020-04-01,
Aysén,Casos nuevos sin notificar,2020-04-01,
Magallanes,Casos nuevos sin notificar,2020-04-01,
Total,Casos nuevos sin notificar,2020-04-01,
Arica y Parinacota,Fallecidos totales,2020-04-01,0.0
Tarapacá,Fallecidos totales,2020-04-01,0.0
Antofagasta,Fallecidos totales,2020-04-01,0.0
Atacama,Fallecidos totales,2020-04-01,0.0
Coquimbo,Fallecidos totales,2020-04-01,0.0
Valparaíso,Fallecidos totales,2020-04-01,1.0
Metropolitana,Fallecidos totales,2020-04-01,5.0
O’Higgins,Fallecidos totales,2020-04-01,0.0
Maule,Fallecidos totales,2020-04-01,1.0
Ñuble,Fallecidos totales,2020-04-01,0.0
Biobío,Fallecidos totales,2020-04-01,2.0
Araucanía,Fallecidos totales,2020-04-01,6.0
Los Ríos,Fallecidos totales,2020-04-01,1.0
Los Lagos,Fallecidos totales,2020-04-01,0.0
Aysén,Fallecidos totales,2020-04-01,0.0
Magallanes,Fallecidos totales,2020-04-01,0.0
Total,Fallecidos totales,2020-04-01,16.0
Arica y Parinacota,Casos confirmados recuperados,2020-04-01,
Tarapacá,Casos confirmados recuperados,2020-04-01,
Antofagasta,Casos confirmados recuperados,2020-04-01,
Atacama,Casos confirmados recuperados,2020-04-01,
Coquimbo,Casos confirmados recuperados,2020-04-01,
Valparaíso,Casos confirmados recuperados,2020-04-01,
Metropolitana,Casos confirmados recuperados,2020-04-01,
O'Higgins,Casos confirmados recuperados,2020-04-01,
Maule,Casos confirmados recuperados,2020-04-01,
Ñuble,Casos confirmados recuperados,2020-04-01,
Biobío,Casos confirmados recuperados,2020-04-01,
Araucania,Casos confirmados recuperados,2020-04-01,
Los Ríos,Casos confirmados recuperados,2020-04-01,
Los Lagos,Casos confirmados recuperados,2020-04-01,
Aysén,Casos confirmados recuperados,2020-04-01,
Magallanes,Casos confirmados recuperados,2020-04-01,
Total,Casos confirmados recuperados,2020-04-01,
Arica y Parinacota,Casos activos confirmados,2020-04-01,
Tarapacá,Casos activos confirmados,2020-04-01,
Antofagasta,Casos activos confirmados,2020-04-01,
Atacama,Casos activos confirmados,2020-04-01,
Coquimbo,Casos activos confirmados,2020-04-01,
Valparaíso,Casos activos confirmados,2020-04-01,
Metropolitana,Casos activos confirmados,2020-04-01,
O'Higgins,Casos activos confirmados,2020-04-01,
Maule,Casos activos confirmados,2020-04-01,
Ñuble,Casos activos confirmados,2020-04-01,
Biobío,Casos activos confirmados,2020-04-01,
Araucania,Casos activos confirmados,2020-04-01,
Los Ríos,Casos activos confirmados,2020-04-01,
Los Lagos,Casos activos confirmados,2020-04-01,
Aysén,Casos activos confirmados,2020-04-01,
Magallanes,Casos activos confirmados,2020-04-01,
Total,Casos activos confirmados,2020-04-01,
Arica y Parinacota,Casos activos probables,2020-04-01,
Tarapacá,Casos activos probables,2020-04-01,
Antofagasta,Casos activos probables,2020-04-01,
Atacama,Casos activos probables,2020-04-01,
Coquimbo,Casos activos probables,2020-04-01,
Valparaíso,Casos activos probables,2020-04-01,
Metropolitana,Casos activos probables,2020-04-01,
O'Higgins,Casos activos probables,2020-04-01,
Maule,Casos activos probables,2020-04-01,
Ñuble,Casos activos probables,2020-04-01,
Biobío,Casos activos probables,2020-04-01,
Araucania,Casos activos probables,2020-04-01,
Los Ríos,Casos activos probables,2020-04-01,
Los Lagos,Casos activos probables,2020-04-01,
Aysén,Casos activos probables,2020-04-01,
Magallanes,Casos activos probables,2020-04-01,
Total,Casos activos probables,2020-04-01,
Arica y Parinacota,Casos probables acumulados,2020-04-01,
Tarapacá,Casos probables acumulados,2020-04-01,
Antofagasta,Casos probables acumulados,2020-04-01,
Atacama,Casos probables acumulados,2020-04-01,
Coquimbo,Casos probables acumulados,2020-04-01,
Valparaíso,Casos probables acumulados,2020-04-01,
Metropolitana,Casos probables acumulados,2020-04-01,
O'Higgins,Casos probables acumulados,2020-04-01,
Maule,Casos probables acumulados,2020-04-01,
Ñuble,Casos probables acumulados,2020-04-01,
Biobío,Casos probables acumulados,2020-04-01,
Araucania,Casos probables acumulados,2020-04-01,
Los Ríos,Casos probables acumulados,2020-04-01,
Los Lagos,Casos probables acumulados,2020-04-01,
Aysén,Casos probables acumulados,2020-04-01,
Magallanes,Casos probables acumulados,2020-04-01,
Total,Casos probables acumulados,2020-04-01,
Arica y Parinacota,Casos acumulados,2020-04-02,7.0
Tarapacá,Casos acumulados,2020-04-02,12.0
Antofagasta,Casos acumulados,2020-04-02,47.0
Atacama,Casos acumulados,2020-04-02,3.0
Coquimbo,Casos acumulados,2020-04-02,34.0
Valparaíso,Casos acumulados,2020-04-02,156.0
Metropolitana,Casos acumulados,2020-04-02,1636.0
O’Higgins,Casos acumulados,2020-04-02,32.0
Maule,Casos acumulados,2020-04-02,82.0
Ñuble,Casos acumulados,2020-04-02,341.0
Biobío,Casos acumulados,2020-04-02,275.0
Araucanía,Casos acumulados,2020-04-02,389.0
Los Ríos,Casos acumulados,2020-04-02,68.0
Los Lagos,Casos acumulados,2020-04-02,203.0
Aysén,Casos acumulados,2020-04-02,5.0
Magallanes,Casos acumulados,2020-04-02,114.0
Total,Casos acumulados,2020-04-02,3404.0
Arica y Parinacota,Casos nuevos totales,2020-04-02,1.0
Tarapacá,Casos nuevos totales,2020-04-02,2.0
Antofagasta,Casos nuevos totales,2020-04-02,8.0
Atacama,Casos nuevos totales,2020-04-02,0.0
Coquimbo,Casos nuevos totales,2020-04-02,4.0
Valparaíso,Casos nuevos totales,2020-04-02,20.0
Metropolitana,Casos nuevos totales,2020-04-02,115.0
O’Higgins,Casos nuevos totales,2020-04-02,6.0
Maule,Casos nuevos totales,2020-04-02,11.0
Ñuble,Casos nuevos totales,2020-04-02,82.0
Biobío,Casos nuevos totales,2020-04-02,35.0
Araucanía,Casos nuevos totales,2020-04-02,46.0
Los Ríos,Casos nuevos totales,2020-04-02,4.0
Los Lagos,Casos nuevos totales,2020-04-02,22.0
Aysén,Casos nuevos totales,2020-04-02,2.0
Magallanes,Casos nuevos totales,2020-04-02,15.0
Total,Casos nuevos totales,2020-04-02,373.0
Arica y Parinacota,Casos nuevos con sintomas,2020-04-02,1.0
Tarapacá,Casos nuevos con sintomas,2020-04-02,2.0
Antofagasta,Casos nuevos con sintomas,2020-04-02,8.0
Atacama,Casos nuevos con sintomas,2020-04-02,0.0
Coquimbo,Casos nuevos con sintomas,2020-04-02,4.0
Valparaíso,Casos nuevos con sintomas,2020-04-02,20.0
Metropolitana,Casos nuevos con sintomas,2020-04-02,115.0
O’Higgins,Casos nuevos con sintomas,2020-04-02,6.0
Maule,Casos nuevos con sintomas,2020-04-02,11.0
Ñuble,Casos nuevos con sintomas,2020-04-02,82.0
Biobío,Casos nuevos con sintomas,2020-04-02,35.0
Araucanía,Casos nuevos con sintomas,2020-04-02,46.0
