Region,Categoria,Fecha,Total
Atacama,Casos nuevos con sintomas,2020-03-04,0.0
Coquimbo,Casos nuevos con sintomas,2020-03-04,0.0
Valparaíso,Casos nuevos con sintomas,2020-03-04,0.0
Metropolitana,Casos nuevos con sintomas,2020-03-04,1.0
O’Higgins,Casos nuevos con sintomas,2020-03-04,0.0
Maule,Casos nuevos con sintomas,2020-03-04,1.0
Ñuble,Casos nuevos con sintomas,2020-03-04,0.0
Biobío,Casos nuevos con sintomas,2020-03-04,0.0
Araucanía,Casos nuevos con sintomas,2020-03-04,0.0
Los Ríos,Casos nuevos con sintomas,2020-03-04,0.0
Los Lagos,Casos nuevos con sintomas,2020-03-04,0.0
Aysén,Casos nuevos con sintomas,2020-03-04,0.0
Magallanes,Casos nuevos con sintomas,2020-03-04,0.0
Total,Casos nuevos con sintomas,2020-03-04,2.0
Arica y Parinacota,Casos nuevos sin sintomas,2020-03-04,
Tarapacá,Casos nuevos sin sintomas,2020-03-04,
Antofagasta,Casos nuevos sin sintomas,2020-03-04,
Atacama,Casos nuevos sin sintomas,2020-03-04,
Coquimbo,Casos nuevos sin sintomas,2020-03-04,
Valparaíso,Casos nuevos sin sintomas,2020-03-04,
Metropolitana,Casos nuevos sin sintomas,2020-03-04,
O'Higgins,Casos nuevos sin sintomas,2020-03-04,
Maule,Casos nuevos sin sintomas,2020-03-04,
Ñuble,Casos nuevos sin sintomas,2020-03-04,
Biobío,Casos nuevos sin sintomas,2020-03-04,
Araucania,Casos nuevos sin sintomas,2020-03-04,
Los Ríos,Casos nuevos sin sintomas,2020-03-04,
Los Lagos,Casos nuevos sin sintomas,2020-03-04,
Aysén,Casos nuevos sin sintomas,2020-03-04,
Magallanes,Casos nuevos sin sintomas,2020-03-04,
Total,Casos nuevos sin sintomas,2020-03-04,
Arica y Parinacota,Casos nuevos sin notificar,2020-03-04,
Tarapacá,Casos nuevos sin notificar,2020-03-04,
Antofagasta,Casos nuevos sin notificar,2020-03-04,
Atacama,Casos nuevos sin notificar,2020-03-04,
Coquimbo,Casos nuevos sin notificar,2020-03-04,
Valparaíso,Casos nuevos sin notificar,2020-03-04,
Metropolitana,Casos nuevos sin notificar,2020-03-04,
O'Higgins,Casos nuevos sin notificar,2020-03-04,
Maule,Casos nuevos sin notificar,2020-03-04,
Ñuble,Casos nuevos sin notificar,2020-03-04,
Biobío,Casos nuevos sin notificar,2020-03-04,
Araucania,Casos nuevos sin notificar,2020-03-04,
Los Ríos,Casos nuevos sin notificar,2020-03-04,
Los Lagos,Casos nuevos sin notificar,2020-03-04,
Aysén,Casos nuevos sin notificar,2020-03-04,
Magallanes,Casos nuevos sin notificar,2020-03-04,
Total,Casos nuevos sin notificar,2020-03-04,
Arica y Parinacota,Fallecidos totales,2020-03-04,
Tarapacá,Fallecidos totales,2020-03-04,
Antofagasta,Fallecidos totales,2020-03-04,
Atacama,Fallecidos totales,2020-03-04,
Coquimbo,Fallecidos totales,2020-03-04,
Valparaíso,Fallecidos totales,2020-03-04,
Metropolitana,Fallecidos totales,2020-03-04,
O’Higgins,Fallecidos totales,2020-03-04,
Maule,Fallecidos totales,2020-03-04,
Ñuble,Fallecidos totales,2020-03-04,
Biobío,Fallecidos totales,2020-03-04,
Araucanía,Fallecidos totales,2020-03-04,
Los Ríos,Fallecidos totales,2020-03-04,
Los Lagos,Fallecidos totales,2020-03-04,
Aysén,Fallecidos totales,2020-03-04,
Magallanes,Fallecidos totales,2020-03-04,
Total,Fallecidos totales,2020-03-04,
Arica y Parinacota,Casos confirmados recuperados,2020-03-04,
Tarapacá,Casos confirmados recuperados,2020-03-04,
Antofagasta,Casos confirmados recuperados,2020-03-04,
Atacama,Casos confirmados recuperados,2020-03-04,
Coquimbo,Casos confirmados recuperados,2020-03-04,
Valparaíso,Casos confirmados recuperados,2020-03-04,
Metropolitana,Casos confirmados recuperados,2020-03-04,
O'Higgins,Casos confirmados recuperados,2020-03-04,
Maule,Casos confirmados recuperados,2020-03-04,
Ñuble,Casos confirmados recuperados,2020-03-04,
Biobío,Casos confirmados recuperados,2020-03-04,
Araucania,Casos confirmados recuperados,2020-03-04,
Los Ríos,Casos confirmados recuperados,2020-03-04,
Los Lagos,Casos confirmados recuperados,2020-03-04,
Aysén,Casos confirmados recuperados,2020-03-04,
Magallanes,Casos confirmados recuperados,2020-03-04,
Total,Casos confirmados recuperados,2020-03-04,
Arica y Parinacota,Casos activos confirmados,2020-03-04,
Tarapacá,Casos activos confirmados,2020-03-04,
Antofagasta,Casos activos confirmados,2020-03-04,
Atacama,Casos activos confirmados,2020-03-04,
Coquimbo,Casos activos confirmados,2020-03-04,
Valparaíso,Casos activos confirmados,2020-03-04,
Metropolitana,Casos activos confirmados,2020-03-04,
O'Higgins,Casos activos confirmados,2020-03-04,
Maule,Casos activos confirmados,2020-03-04,
Ñuble,Casos activos confirmados,2020-03-04,
Biobío,Casos activos confirmados,2020-03-04,
Araucania,Casos activos confirmados,2020-03-04,
Los Ríos,Casos activos confirmados,2020-03-04,
Los Lagos,Casos activos confirmados,2020-03-04,
Aysén,Casos activos confirmados,2020-03-04,
Magallanes,Casos activos confirmados,2020-03-04,
Total,Casos activos confirmados,2020-03-04,
Arica y Parinacota,Casos activos probables,2020-03-04,
Tarapacá,Casos activos probables,2020-03-04,
Antofagasta,Casos activos probables,2020-03-04,
Atacama,Casos activos probables,2020-03-04,
Coquimbo,Casos activos probables,2020-03-04,
Valparaíso,Casos activos probables,2020-03-04,
Metropolitana,Casos activos probables,2020-03-04,
O'Higgins,Casos activos probables,2020-03-04,
Maule,Casos activos probables,2020-03-04,
Ñuble,Casos activos probables,2020-03-04,
Biobío,Casos activos probables,2020-03-04,
Araucania,Casos activos probables,2020-03-04,
Los Ríos,Casos activos probables,2020-03-04,
Los Lagos,Casos activos probables,2020-03-04,
Aysén,Casos activos probables,2020-03-04,
Magallanes,Casos activos probables,2020-03-04,
Total,Casos activos probables,2020-03-04,
Arica y Parinacota,Casos probables acumulados,2020-03-04,
Tarapacá,Casos probables acumulados,2020-03-04,
Antofagasta,Casos probables acumulados,2020-03-04,
Atacama,Casos probables acumulados,2020-03-04,
Coquimbo,Casos probables acumulados,2020-03-04,
Valparaíso,Casos probables acumulados,2020-03-04,
Metropolitana,Casos probables acumulados,2020-03-04,
O'Higgins,Casos probables acumulados,2020-03-04,
Maule,Casos probables acumulados,2020-03-04,
Ñuble,Casos probables acumulados,2020-03-04,
Biobío,Casos probables acumulados,2020-03-04,
Araucania,Casos probables acumulados,2020-03-04,
Los Ríos,Casos probables acumulados,2020-03-04,
Los Lagos,Casos probables acumulados,2020-03-04,
Aysén,Casos probables acumulados,2020-03-04,
Magallanes,Casos probables acumulados,2020-03-04,
Total,Casos probables acumulados,2020-03-04,
Arica y Parinacota,Casos acumulados,2020-03-05,0.0
Tarapacá,Casos acumulados,2020-03-05,0.0
Antofagasta,Casos acumulados,2020-03-05,0.0
Atacama,Casos acumulados,2020-03-05,0.0
Coquimbo,Casos acumulados,2020-03-05,0.0
Valparaíso,Casos acumulados,2020-03-05,0.0
Metropolitana,Casos acumulados,2020-03-05,2.0
O’Higgins,Casos acumulados,2020-03-05,0.0
Maule,Casos acumulados,2020-03-05,2.0
Ñuble,Casos acumulados,2020-03-05,0.0
Biobío,Casos acumulados,2020-03-05,0.0
Araucanía,Casos acumulados,2020-03-05,0.0
Los Ríos,Casos acumulados,2020-03-05,0.0
Los Lagos,Casos acumulados,2020-03-05,0.0
Aysén,Casos acumulados,2020-03-05,0.0
Magallanes,Casos acumulados,2020-03-05,0.0
Total,Casos acumulados,2020-03-05,4.0
Arica y Parinacota,Casos nuevos totales,2020-03-05,0.0
Tarapacá,Casos nuevos totales,2020-03-05,0.0
Antofagasta,Casos nuevos totales,2020-03-05,0.0
