Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes,Total
2020-03-03,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-03-04,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3
2020-03-05,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4
2020-03-06,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,5
2020-03-07,0,0,0,0,0,0,4,0,2,0,0,0,0,1,0,0,7
2020-03-08,0,0,0,0,0,0,6,0,3,0,0,0,0,1,0,0,10
2020-03-09,0,0,0,0,0,0,9,0,4,0,1,0,0,1,0,0,15
2020-03-10,0,0,0,0,0,0,10,0,5,0,1,0,0,1,0,0,17
2020-03-11,0,0,0,0,0,0,14,0,7,0,1,0,0,1,0,0,23
2020-03-12,0,0,0,0,0,0,23,0,7,1,1,0,0,1,0,0,33
2020-03-13,0,0,0,0,0,0,29,0,8,2,3,0,0,1,0,0,43
2020-03-14,0,0,2,1,0,0,40,0,9,4,3,0,0,1,1,0,61
2020-03-15,0,0,2,1,0,0,54,0,9,4,3,0,0,1,1,0,75
2020-03-16,0,0,2,1,0,1,123,0,9,12,4,1,1,1,1,0,156
2020-03-17,0,0,2,1,0,1,152,0,9,26,4,1,1,1,1,2,201
2020-03-18,0,0,2,1,0,1,174,0,11,26,7,4,1,8,1,2,238
2020-03-19,1,0,2,1,2,4,247,2,14,28,14,7,1,16,1,2,342
2020-03-20,1,0,6,1,3,5,304,6,14,44,19,9,1,18,1,2,434
2020-03-21,1,0,10,1,3,13,359,7,15,58,30,15,1,20,1,3,537
2020-03-22,2,0,11,1,5,16,409,8,25,64,35,27,1,23,1,4,632
2020-03-23,2,1,11,1,6,19,459,8,28,81,46,40,4,33,1,6,746
2020-03-24,2,4,13,1,11,25,540,9,29,105,73,59,6,36,1,8,922
2020-03-25,2,4,19,1,12,32,682,11,30,111,95,74,11,44,1,13,1142
2020-03-26,3,5,20,1,13,44,746,14,31,114,109,111,14,60,2,19,1306
2020-03-27,3,5,21,1,14,49,938,16,32,144,135,143,22,63,2,22,1610
2020-03-28,3,5,25,1,15,71,1084,20,37,172,151,177,27,93,2,26,1909
2020-03-29,4,6,27,2,18,80,1167,21,42,197,185,205,40,104,2,39,2139
2020-03-30,6,8,35,2,27,108,1295,21,54,229,201,247,47,128,2,39,2449
2020-03-31,6,10,35,2,28,115,1420,23,62,245,216,302,58,151,2,63,2738
