Region,Casos probables acumulados,Casos activos probables
Arica - Parinacota,255,41
Tarapaca,286,61
Antofagasta,587,12
Atacama,25,3
Coquimbo,615,26
Valparaiso,4893,158
Metropolitana,28312,215
O'Higgins,1770,46
Maule,625,24
Nuble,782,22
Biobio,1131,19
Araucania,39,1
De los Rios,12,0
De los Lagos,246,33
Aysen,0,0
Magallanes,22,4
Total,39600,665
