Grupo de edad,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29
<=39,2,2,3,3,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,9,10,10,10,10,11,11,12,13,14,16,16,16,16,18,19,23,28,29,31,32,35,36,37,57,60,60,63,68,73,80,81,84,84,88,89,93,94,97,98,98,105,107,109,115,117,117,117,119,124,124,126,128,130,131,136,139,141,141,144,145,145,146,149,188,190,193,198,198,198,198,201,204,206,208,209,211,214,215,217,217,217,219,220,223,225,225,226,227,227,228,231,233,235,236,238,238,241,242,242,242,243,243,245,246,247,252,254
40-49,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,6,7,7,8,9,10,10,11,12,12,13,13,13,14,15,16,16,18,19,22,22,24,25,28,30,31,32,33,35,38,41,42,43,44,46,48,50,51,51,55,60,62,67,74,78,79,86,92,100,106,110,111,112,127,136,140,144,150,150,150,157,160,162,172,178,181,184,186,189,194,196,198,202,202,211,216,218,218,224,226,228,232,235,288,294,295,297,298,300,305,307,308,310,315,317,321,322,326,329,332,335,337,337,340,340,340,342,344,345,346,346,350,351,355,356,356,359,361,363,366,368,375,376,377,377,379,381
50-59,1,2,2,3,3,5,5,6,8,8,9,11,13,14,14,14,15,15,16,16,17,17,18,18,18,20,20,20,21,21,22,22,23,24,27,27,31,32,35,40,47,51,57,58,64,67,69,76,81,89,94,97,105,114,124,136,144,152,162,210,219,221,238,249,267,295,322,325,327,351,369,395,413,433,434,434,458,473,499,513,532,538,549,556,580,594,603,618,625,632,654,666,676,681,699,703,705,717,727,865,877,887,898,902,907,921,926,936,943,951,956,958,974,985,997,1007,1015,1021,1024,1031,1038,1042,1052,1057,1061,1061,1072,1075,1087,1091,1100,1103,1104,1111,1115,1124,1133,1142,1145,1148,1152,1156,1161
60-69,9,10,12,12,12,12,12,14,16,17,18,19,20,26,28,30,31,33,35,35,38,40,41,43,45,46,46,47,47,49,52,54,56,56,58,63,65,73,78,82,83,92,99,106,112,121,128,137,150,165,173,185,189,200,214,235,252,271,281,405,421,427,475,508,557,613,656,669,675,723,787,847,895,934,942,942,987,1035,1071,1125,1159,1174,1192,1205,1248,1275,1313,1337,1354,1363,1384,1409,1429,1465,1484,1496,1512,1542,1572,1789,1812,1824,1852,1860,1868,1890,1905,1933,1953,1968,1981,1990,2012,2029,2044,2058,2082,2089,2101,2120,2129,2142,2157,2169,2182,2191,2214,2225,2234,2242,2250,2259,2266,2288,2302,2319,2325,2339,2348,2354,2372,2384,2395
70-79,21,22,24,28,29,30,31,32,36,39,41,42,43,47,48,49,50,52,57,60,60,65,68,72,73,76,76,76,76,80,82,84,89,92,94,102,110,118,126,133,141,152,173,183,193,210,225,239,250,259,279,295,309,326,350,376,397,432,467,662,682,686,751,807,872,933,1006,1015,1020,1085,1146,1222,1281,1337,1344,1344,1414,1460,1511,1567,1608,1627,1660,1673,1706,1745,1779,1816,1839,1855,1892,1921,1951,1982,2014,2024,2033,2062,2087,2363,2380,2393,2438,2454,2475,2502,2519,2544,2568,2589,2602,2611,2630,2645,2669,2690,2727,2736,2751,2777,2804,2828,2844,2863,2873,2880,2902,2912,2925,2948,2968,2982,2990,3015,3027,3043,3067,3084,3091,3097,3120,3131,3140
80-89,19,21,24,25,26,32,33,38,40,44,46,47,50,51,54,56,57,59,60,62,65,68,70,75,80,83,85,89,92,93,93,95,96,99,102,107,117,123,132,136,145,152,159,178,193,200,208,218,218,228,242,255,275,293,313,329,352,372,398,603,618,623,668,715,775,838,893,899,904,966,1030,1099,1152,1198,1204,1206,1259,1299,1338,1388,1430,1444,1479,1495,1532,1571,1610,1633,1650,1662,1691,1716,1745,1767,1780,1795,1808,1838,1858,2107,2132,2146,2180,2193,2199,2226,2251,2275,2304,2324,2338,2343,2374,2394,2407,2428,2448,2455,2466,2493,2510,2521,2539,2551,2559,2566,2589,2597,2613,2626,2638,2640,2648,2673,2687,2700,2716,2730,2744,2751,2779,2802,2817
>=90,4,6,6,7,7,8,8,10,10,12,13,14,14,15,16,16,16,17,17,20,21,21,21,23,26,27,29,30,30,30,33,34,36,38,38,38,39,41,44,49,52,55,57,59,62,66,74,78,83,87,91,94,98,100,105,112,116,123,129,179,186,187,194,209,226,236,255,259,261,275,284,297,316,330,330,331,351,369,378,467,485,494,507,519,541,548,565,578,584,589,605,615,621,627,634,635,638,649,662,747,760,765,770,772,775,796,805,820,828,832,837,844,851,863,870,876,883,888,893,905,912,913,917,928,931,933,945,948,950,954,963,968,970,981,987,998,1000,1003,1009,1017,1025,1028,1033
