Tipo de cama,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29
Basica,384,385,360,407,424,428,422,470,489,494,517,513,562,589,595,612,653,712,787,836,908,989,1055,1119,1163,1201,1291,1426,1532,1605,1656,1779,1964,2063,2180,2305,2343,2447,2556,2617,2739,2895,3007,2983,3091,3256,3373,3258,3320,3067,3109,3022,3039,3003,3066,3157,3215,3272,3335,3416,3458,3460,3466,3551,3483,3505,3536,3517,3539,3600,3549,3449,3486,3378,3413,3300,3285,3297,3243,3234,3207,3230,3217,3102,3074,3051,3034,2887,2854,2833,2718,2517,2544,2418,2277,2131,2139,1997,1947,1936,1890,1886,1895,1839,1815,1792,1779,1755,1769,1746,1700,1675,1641,1632,1669,1679,1674,1684,1693,1681,1670,1642,1672,1660,1594,1579,1495,1385,1398,1389,1388,1412,1435,1418,1387,1387
Media,157,113,131,195,204,202,219,192,189,193,212,225,242,245,245,248,255,256,280,278,308,328,351,359,372,391,413,443,474,511,548,554,567,638,660,699,756,819,851,893,966,1071,1071,1139,1180,1245,1300,1310,1375,1406,1417,1430,1486,1538,1622,1706,1762,1847,1845,1846,1868,1931,1990,1969,1932,1956,1919,1963,1984,2026,2013,2014,1942,1823,1827,1828,1811,1734,1720,1687,1692,1717,1722,1664,1728,1775,1735,1680,1671,1667,1681,1602,1578,1561,1531,1557,1580,1455,1461,1434,1412,1403,1429,1392,1369,1351,1355,1341,1323,1344,1317,1284,1268,1267,1284,1259,1253,1247,1209,1221,1241,1243,1262,1255,1253,1240,1203,1158,1133,1131,1144,1148,1069,1033,1069,1052
UTI,111,168,180,134,129,121,184,120,118,125,118,122,121,130,137,161,171,184,198,214,213,219,239,237,262,280,285,307,336,342,378,416,462,486,504,540,562,586,652,647,706,719,753,772,808,825,828,853,878,896,889,920,932,933,937,1017,1045,1043,1074,1116,1136,1171,1184,1177,1187,1211,1250,1294,1294,1334,1325,1368,1379,1430,1423,1383,1395,1380,1334,1280,1272,1293,1259,1271,1229,1190,1158,1155,1172,1146,1135,1093,1077,1065,1061,1042,1039,1062,1044,1040,1034,1029,1023,1005,939,894,887,877,860,863,849,845,844,839,825,817,780,747,745,740,747,723,719,738,734,726,728,715,695,695,681,693,682,695,690,692
UCI,384,407,380,373,377,392,399,411,415,418,415,426,428,418,419,428,425,449,464,470,486,493,508,544,565,574,604,642,663,711,751,769,807,876,904,943,986,1062,1090,1135,1202,1251,1289,1350,1371,1383,1446,1451,1475,1496,1521,1524,1558,1581,1577,1590,1618,1647,1656,1715,1723,1727,1794,1845,1911,1951,1996,2014,2009,2046,2078,2086,2090,2129,2090,2106,2075,2099,2107,2077,2078,2069,2060,2053,1999,1990,1999,1995,1931,1915,1878,1821,1796,1792,1764,1753,1728,1688,1670,1636,1612,1592,1555,1529,1485,1463,1445,1445,1437,1419,1405,1400,1358,1348,1305,1276,1280,1268,1255,1259,1252,1207,1190,1177,1157,1120,1077,1072,1058,1027,1014,1011,1004,1012,995,959
