Region,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Arica y Parinacota,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble
Codigo region,2,2,2,2,2,2,2,15,3,3,3,3,3,3,3,11,11,11,11,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14,14,14,14,14,14,14,12,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16,16,16,16,16,16,16,16,16,16,16
Comuna,Antofagasta,Calama,María Elena,Mejillones,San Pedro de Atacama,Taltal,Tocopilla,Arica,Caldera,Chañaral,Copiapó,Diego de Almagro,Huasco,Tierra Amarilla,Vallenar,Aysen,Cisnes,Cochrane,Coihaique,Río Ibáñez,Alto Biobío,Antuco,Arauco,Cañete,Chiguayante,Concepción,Contulmo,Coronel,Curanilahue,Hualpén,Hualqui,Laja,Lebu,Los Alamos,Los Angeles,Lota,Mulchén,Nacimiento,Penco,San Pedro de la Paz,Santa Bárbara,Santa Juana,Talcahuano,Tirúa,Tomé,Yumbel,Andacollo,Combarbalá,Coquimbo,Illapel,La Serena,Los Vilos,Monte Patria,Ovalle,Paiguano,Salamanca,Vicuña,Angol,Carahue,Collipulli,Cunco,Curacautín,Curarrehue,Freire,Galvarino,Lautaro,Loncoche,Lonquimay,Nueva Imperial,Pitrufquén,Pucón,Purén,Saavedra,Temuco,Teodoro Schmidt,Toltén,Traiguén,Victoria,Villarrica,Chimbarongo,Coinco,Coltauco,Graneros,Litueche,Machalí,Malloa,Marchihue,Mostazal,Navidad,Peumo,Pichidegua,Pichilemu,Rancagua,Rengo,San Fernando,San Vicente,Santa Cruz,Ancud,Calbuco,Castro,Chonchi,Fresia,Frutillar,Futaleufú,Hualaihué,Los Muermos,Osorno,Puerto Montt,Puerto Varas,Puqueldón,Purranque,Puyehue,Queilén,Quellón,Río Negro,Corral,Futrono,La Unión,Lanco,Los Lagos,Mariquina,Paillaco,Panguipulli,Río Bueno,Valdivia,Natales,Punta Arenas,Cauquenes,Chanco,Colbún,Constitución,Curicó,Hualañé,Licantén,Linares,Maule,Molina,Parral,Rauco,Romeral,Río Claro,Sagrada Familia,San Clemente,San Javier,Talca,Teno,Vichuquén,Alhué,Buin,Calera de Tango,Cerrillos,Cerro Navia,Colina,Conchalí,Curacaví,El Bosque,El Monte,Estación Central,Huechuraba,Independencia,La Cisterna,La Florida,La Granja,La Pintana,La Reina,Lampa,Las Condes,Lo Barnechea,Lo Espejo,Macul,Maipú,Melipilla,Padre Hurtado,Paine,Pedro Aguirre Cerda,Peñaflor,Peñalolén,Pirque,Providencia,Pudahuel,Puente Alto,Quilicura,Quinta Normal,Recoleta,Renca,San Bernardo,San Joaquín,San José de Maipo,San Miguel,San Ramón,Santiago,Talagante,Tiltil,Vitacura,Ñuñoa,Alto Hospicio,Colchane,Huara,Iquique,Pica,Pozo Almonte,Algarrobo,Cabildo,Calera,Calle Larga,Cartagena,Casablanca,Catemu,Concón,El Quisco,El Tabo,Hijuelas,Isla de Pascua,La Cruz,La Ligua,Limache,Llaillay,Los Andes,Olmué,Papudo,Petorca,Putaendo,Quillota,Quilpué,Quintero,Rinconada,San Antonio,San Felipe,Valparaíso,Villa Alemana,Viña del Mar,Zapallar,Bulnes,Chillán,Chillán Viejo,Coelemu,Coihueco,El Carmen,Quirihue,Ranquil,San Carlos,Yungay,Ñiquén
Codigo comuna,2101,2201,2302,2102,2203,2104,2301,15101,3102,3201,3101,3202,3304,3103,3301,11201,11202,11301,11101,11402,8314,8302,8202,8203,8103,8101,8204,8102,8205,8112,8105,8304,8201,8206,8301,8106,8305,8306,8107,8108,8311,8109,8110,8207,8111,8313,4103,4302,4102,4201,4101,4203,4303,4301,4105,4204,4106,9201,9102,9202,9103,9203,9104,9105,9106,9108,9109,9205,9111,9114,9115,9208,9116,9101,9117,9118,9210,9211,9120,6303,6103,6104,6106,6203,6108,6109,6204,6110,6205,6112,6113,6201,6101,6115,6301,6117,6310,10202,10102,10201,10203,10104,10105,10402,10403,10106,10301,10101,10109,10206,10303,10304,10207,10208,10305,14102,14202,14201,14103,14104,14106,14107,14108,14204,14101,12401,12101,7201,7202,7402,7102,7301,7302,7303,7401,7105,7304,7404,7305,7306,7108,7307,7109,7406,7101,7308,7309,13502,13402,13403,13102,13103,13301,13104,13503,13105,13602,13106,13107,13108,13109,13110,13111,13112,13113,13302,13114,13115,13116,13118,13119,13501,13604,13404,13121,13605,13122,13202,13123,13124,13201,13125,13126,13127,13128,13401,13129,13203,13130,13131,13101,13601,13303,13132,13120,1107,1403,1404,1101,1405,1401,5602,5402,5502,5302,5603,5102,5702,5103,5604,5605,5503,5201,5504,5401,5802,5703,5301,5803,5403,5404,5705,5501,5801,5107,5303,5601,5701,5101,5804,5109,5405,16102,16101,16103,16203,16302,16104,16201,16206,16301,16109,16303
2020-01-02,20,10,0,0,0,0,2,16,0,0,13,0,0,0,5,0,0,0,1,0,0,0,0,5,0,28,0,4,7,11,0,0,0,0,19,0,0,0,0,0,0,0,21,0,0,0,0,0,9,3,22,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,9,2,6,0,0,5,0,0,0,0,0,0,11,25,6,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,11,1,1,3,0,0,1,9,0,0,10,0,0,2,0,0,0,0,0,1,24,0,0,0,12,0,0,0,0,0,0,0,0,24,0,50,0,30,0,0,0,1,22,0,0,0,12,16,0,0,0,0,32,0,47,0,18,0,19,28,0,37,0,1,13,16,91,11,0,20,1,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,6,1,0,0,0,7,17,0,0,4,8,10,0,39,0,0,20,0,0,0,0,0,0,3,0,0
2020-01-03,28,2,0,0,0,0,1,11,0,0,12,0,0,0,5,0,0,0,5,0,0,0,0,2,0,20,0,4,8,11,0,0,0,0,16,1,0,0,0,0,0,0,6,0,0,0,0,0,10,1,21,0,0,10,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,11,0,2,3,0,4,0,0,0,0,0,0,8,18,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,7,4,0,0,0,15,0,0,11,0,0,2,0,0,0,0,0,1,20,0,0,0,6,0,0,0,0,0,0,0,0,15,1,41,0,19,0,0,0,0,22,0,0,0,9,5,0,0,0,0,17,0,31,0,23,0,10,26,0,19,0,0,15,11,57,6,0,12,4,0,0,0,21,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,9,7,0,0,5,8,10,0,40,0,0,22,0,0,0,0,0,0,2,0,0
2020-01-06,40,13,0,0,0,0,0,19,0,0,14,0,0,0,2,2,0,0,4,0,0,0,0,0,0,35,0,3,7,8,0,0,0,0,21,0,1,0,0,0,0,0,16,0,0,0,0,0,19,5,24,0,0,17,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,54,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,38,13,12,0,4,3,0,12,0,0,0,0,0,0,16,22,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,11,0,0,0,0,13,0,0,8,0,0,2,0,0,0,0,0,0,42,0,0,0,9,0,0,0,0,0,0,0,0,28,0,61,0,33,0,0,0,1,27,0,0,0,17,14,0,0,0,0,43,0,40,0,27,0,18,31,0,36,0,0,31,16,97,16,0,31,4,0,0,0,24,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,13,0,0,16,11,18,0,34,0,0,25,0,0,0,0,0,0,7,0,0
2020-01-07,20,15,0,0,0,0,0,11,0,0,6,0,0,0,3,0,0,1,2,0,0,0,0,0,0,28,0,3,6,5,0,0,0,0,19,0,0,0,0,0,0,0,13,0,0,0,0,0,4,4,15,0,0,11,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,7,1,9,1,0,6,0,0,0,0,0,0,15,20,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,17,0,4,1,0,0,1,20,0,0,8,0,0,1,0,0,0,0,0,0,20,0,0,0,3,0,0,0,0,0,0,0,0,14,0,27,0,21,0,0,0,0,15,0,0,0,10,4,0,0,0,0,16,0,33,0,22,0,12,22,0,18,0,0,17,12,64,8,0,15,4,0,0,0,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,0,0,10,4,10,0,31,0,0,14,0,0,0,0,0,0,3,0,0
2020-01-08,18,6,0,0,0,0,0,8,0,0,7,0,0,0,7,0,0,0,4,0,0,0,0,2,0,15,0,5,3,4,0,0,0,0,18,0,0,0,0,0,1,0,9,0,0,0,0,0,13,5,14,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,33,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,3,0,6,0,0,6,0,0,0,0,0,0,6,16,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,9,0,11,0,0,0,1,18,0,0,12,0,0,4,0,0,0,0,0,0,17,0,0,0,4,0,0,0,0,0,0,0,0,12,1,26,0,22,0,0,0,0,18,0,0,0,9,4,0,0,0,0,12,0,28,0,6,0,5,24,0,17,0,0,9,12,63,6,0,16,1,1,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,12,0,0,4,4,9,0,25,0,0,16,0,0,0,0,0,0,2,0,0
2020-01-09,15,7,0,0,0,0,0,9,0,0,6,0,0,0,6,0,0,0,4,0,0,0,0,1,0,23,0,2,2,7,0,0,0,0,14,1,0,0,0,0,0,0,6,0,0,0,0,0,6,2,12,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,5,2,4,1,0,5,0,0,0,0,0,0,7,13,2,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,10,0,1,1,0,0,0,8,0,0,8,0,0,1,0,0,0,0,0,0,23,0,0,0,5,0,0,0,0,0,0,0,0,17,1,29,0,13,0,0,0,0,17,0,0,0,10,7,0,0,0,1,19,0,26,1,18,0,9,19,0,10,0,0,4,10,47,8,0,17,3,0,0,0,14,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,8,0,0,4,2,5,0,29,1,0,11,0,0,0,0,0,0,1,0,0
2020-01-10,18,9,0,0,0,0,0,9,0,0,6,0,0,0,1,0,0,0,4,0,0,0,0,3,0,23,0,1,4,6,0,0,0,0,13,0,0,0,0,0,0,0,17,0,0,0,0,0,6,1,10,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,27,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,4,0,8,4,0,3,0,0,0,0,0,0,9,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,4,2,0,0,0,9,0,0,10,0,0,2,0,0,0,0,0,3,9,0,0,0,1,0,0,0,0,0,0,0,0,15,0,24,0,17,0,0,0,0,22,0,0,0,8,4,0,0,0,0,14,0,38,0,17,0,8,23,0,17,0,0,7,12,63,5,0,21,1,1,0,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,10,0,0,3,3,8,0,37,0,0,17,0,0,0,0,0,0,2,0,0
