Region,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble
2010-11-04,38,7,0,0,0,0,0,10,0,0,0,0,0,0,14,1,0,0,0,3,1,0,0,0,0,9,0,0,0,0,0,1,0,2,0,31,0,4,6,0,2,0,0,1,0,20,0,0,0,0,0,0,0,0,0,21,0,1,0,0,1,0,1,14,4,0,14,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,27,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,3,1,3,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,9,0,17,0,2,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0,16,0,0,0,7,1,0,0,3,0,11,0,0,5,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,27,0,0,8,0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,1,34,0,37,0,22,0,12,26,0,22,0,0,7,0,22,59,3,0,15,3,0,0,0,0,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,7,7,0,0,5,0,10,0,16,1,41,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2010-11-05,27,12,0,0,0,0,0,11,0,0,0,0,0,0,12,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,38,0,4,4,0,2,0,0,1,0,15,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,15,6,0,13,1,0,18,0,0,0,0,1,3,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,40,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,3,0,10,0,5,4,0,8,0,0,0,0,0,0,0,0,0,1,0,0,13,0,21,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,21,0,1,0,3,3,0,0,2,0,10,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,3,0,0,0,1,0,0,0,0,6,0,39,0,0,15,0,0,0,0,19,0,0,0,0,2,0,2,0,0,0,2,25,0,33,0,16,0,13,39,1,20,0,0,19,0,22,79,9,0,23,1,0,0,0,0,13,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,3,0,8,0,0,0,0,0,0,0,5,10,0,0,6,0,7,0,10,0,38,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-11-08,44,18,0,0,0,1,1,21,0,0,0,0,0,2,27,4,0,0,0,5,1,0,0,0,0,6,0,0,0,0,0,0,0,2,0,53,0,7,9,0,5,0,0,2,0,33,1,0,0,1,0,0,0,0,0,22,0,4,0,0,0,0,0,18,5,0,27,1,0,14,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,4,0,0,2,4,0,0,0,45,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,7,0,7,1,8,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,29,0,34,0,9,0,1,0,0,1,0,1,0,0,0,0,0,4,0,0,0,1,2,3,0,24,0,0,1,10,10,0,0,3,0,13,0,0,22,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,27,0,0,0,0,0,9,0,0,0,1,0,0,0,0,10,0,53,0,0,13,0,0,2,0,13,0,0,0,0,0,0,8,0,0,0,4,41,0,49,0,38,0,17,45,0,33,0,0,22,0,35,115,17,0,25,3,0,0,0,0,36,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6,0,0,0,0,0,0,0,12,15,2,0,6,0,9,0,9,0,51,0,2,21,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0
2010-11-09,33,16,0,0,0,0,2,12,0,0,0,0,0,1,12,1,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,38,0,3,3,0,4,0,0,2,0,15,2,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,2,8,5,0,24,0,0,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,36,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,7,1,3,1,0,10,0,0,0,0,0,0,1,0,0,0,0,0,9,0,21,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,18,0,0,0,13,4,0,0,0,0,12,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,6,0,1,0,0,0,0,0,0,5,0,45,0,0,7,0,0,2,0,19,0,0,0,0,0,0,7,0,0,0,1,31,0,33,1,28,0,17,28,0,33,0,0,27,0,26,67,6,0,25,3,0,0,0,0,26,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,14,10,0,0,3,0,7,0,13,0,14,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2010-11-10,22,17,0,0,0,0,1,12,0,0,0,0,0,0,20,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0,0,1,0,1,0,31,0,4,7,0,3,0,0,0,0,23,2,1,0,0,0,0,0,1,0,18,0,1,0,0,0,0,1,11,0,0,15,2,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,0,0,2,1,0,0,0,25,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,5,1,2,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,22,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,17,0,0,0,5,0,0,0,4,0,5,0,0,9,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,30,0,0,17,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,1,26,0,32,0,23,0,12,26,0,23,0,0,10,0,19,59,3,0,17,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,2,1,0,5,0,4,0,9,0,42,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-11-11,23,10,0,0,0,0,0,17,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,23,0,1,5,0,3,0,0,1,0,18,2,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,8,0,0,13,0,0,6,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2,3,0,0,0,30,0,0,1,8,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,8,0,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,25,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16,0,0,0,6,0,0,0,0,0,8,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,29,0,0,4,0,0,2,1,15,0,0,0,0,0,0,3,0,0,0,1,17,0,21,0,19,0,8,24,0,19,0,0,11,0,19,61,8,0,22,2,0,0,0,0,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,9,0,0,6,0,3,0,12,0,31,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2010-11-12,25,13,0,0,0,1,1,12,0,0,0,0,0,0,7,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,22,0,2,7,0,2,0,0,3,0,20,4,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,3,3,0,16,0,0,13,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,3,0,0,0,24,0,1,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,5,1,1,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,17,0,22,1,4,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,17,0,0,0,5,2,0,0,1,0,15,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,26,0,0,12,0,0,0,0,11,0,0,0,0,0,0,6,0,0,0,1,30,0,30,1,25,0,8,36,0,15,0,0,17,0,18,62,5,0,20,6,2,0,0,0,23,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,6,0,1,0,3,0,7,0,7,0,27,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2010-11-15,43,18,0,0,0,0,0,17,0,0,0,0,0,0,17,3,0,0,0,5,1,0,0,0,0,5,0,0,0,0,0,1,0,2,0,47,0,9,8,0,3,0,0,2,0,35,4,0,0,2,0,0,0,0,0,28,0,1,0,0,0,0,0,25,4,0,33,0,0,14,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,1,4,0,0,0,0,0,2,0,0,2,7,0,0,0,35,0,1,1,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,6,0,10,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,0,30,0,5,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,1,0,17,0,1,0,8,5,0,0,8,0,25,0,0,19,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,31,0,0,0,0,0,15,0,0,0,0,0,0,0,0,10,0,49,0,0,17,0,0,1,0,18,0,0,0,0,0,0,11,0,0,0,5,52,0,40,0,44,0,26,43,0,33,0,0,27,0,46,140,15,0,25,7,0,0,0,0,34,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,2,11,0,0,0,0,0,0,0,16,23,0,0,12,0,6,0,7,0,40,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0
2010-11-16,19,8,0,0,0,0,1,15,0,0,0,0,0,0,12,1,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,35,0,7,3,0,2,0,0,0,0,16,2,0,0,0,0,0,0,1,0,5,1,1,0,0,0,0,0,9,3,0,18,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,0,0,26,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,2,0,4,0,7,4,2,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,21,0,3,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,17,0,1,0,8,5,0,0,3,0,8,0,0,8,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,19,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,31,0,0,11,0,0,0,0,21,0,0,0,0,0,0,7,0,0,0,2,21,0,30,0,25,1,16,38,0,41,0,0,20,0,32,88,11,0,22,5,0,0,0,0,27,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,10,0,0,9,0,8,0,10,0,44,0,1,16,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
2010-11-17,22,13,0,0,0,0,0,6,0,0,0,0,0,0,5,2,0,0,0,3,2,0,0,0,1,5,0,0,0,0,0,0,0,1,0,18,0,5,3,0,0,0,0,1,0,11,4,0,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,8,2,0,16,0,0,9,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,1,0,0,1,37,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,5,1,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,14,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,5,2,0,0,2,0,9,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,34,0,0,7,0,0,2,0,12,0,0,0,0,0,0,4,0,0,0,2,21,0,18,0,21,0,9,24,0,26,0,0,18,0,18,53,5,0,12,1,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,8,9,0,0,4,0,14,0,6,0,27,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2010-11-18,30,13,0,0,0,0,2,9,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,36,0,6,3,0,1,0,0,0,0,16,3,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,4,0,13,1,0,10,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,7,3,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,12,0,0,0,4,2,0,0,2,0,13,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,1,28,0,0,7,0,0,1,0,20,0,0,0,0,0,0,4,0,0,0,0,14,0,23,0,23,0,12,32,0,19,0,0,7,0,11,52,6,0,14,7,0,0,0,0,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,1,0,0,0,0,0,4,4,1,0,3,0,5,0,11,0,33,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-11-19,18,8,0,0,0,0,0,12,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,26,0,1,1,0,4,0,0,0,0,23,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,1,0,18,0,0,5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,29,0,0,0,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,7,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,0,0,0,5,2,0,0,1,0,9,0,0,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,36,0,0,8,1,0,2,0,12,0,0,0,0,0,0,6,0,0,0,0,21,0,25,0,29,0,8,37,0,20,0,0,20,0,11,72,3,0,19,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,10,0,0,4,0,5,0,6,1,30,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2010-11-22,41,21,0,0,0,0,0,23,0,0,0,0,0,1,20,0,0,0,0,6,2,0,0,0,0,6,0,0,0,0,0,1,0,2,0,46,0,9,11,0,5,0,0,1,0,28,2,0,0,1,0,0,0,1,0,14,0,0,0,0,1,0,0,14,1,0,27,0,0,16,0,0,0,0,2,6,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,5,3,0,0,1,34,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,8,0,9,2,6,6,1,12,0,0,0,0,0,0,0,0,0,1,0,0,24,0,31,0,1,0,1,0,0,1,0,2,0,0,0,0,0,4,0,0,0,1,0,2,1,26,0,0,0,16,5,0,0,0,0,23,0,0,22,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,33,0,0,0,0,0,8,0,0,0,0,0,0,0,0,17,0,53,0,0,13,0,0,2,0,16,0,0,0,0,0,0,13,0,0,0,5,40,0,35,0,45,1,22,44,0,52,0,0,31,0,33,104,16,0,25,8,0,0,0,0,27,0,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,2,3,0,9,0,0,0,0,0,0,0,16,14,0,0,17,0,15,0,21,0,39,0,1,39,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2010-11-23,26,6,0,0,0,1,0,16,0,0,0,0,0,0,19,0,0,0,0,7,1,0,0,0,0,6,0,0,0,0,0,1,0,1,0,32,0,2,8,0,5,0,0,0,0,21,1,0,0,0,0,0,0,1,0,14,0,0,0,1,0,0,0,18,2,0,25,0,0,10,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,2,1,0,0,1,35,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,3,0,2,2,1,9,0,0,0,0,0,0,0,0,0,1,0,0,10,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,17,0,0,0,6,3,0,0,1,0,8,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,32,0,0,5,1,0,2,0,18,1,0,0,0,1,0,7,0,0,0,1,34,1,30,0,19,0,11,26,0,28,0,0,19,0,24,70,5,0,25,3,0,0,0,0,24,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,6,17,0,0,4,0,2,0,17,0,40,0,1,26,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0
2010-11-24,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,7,0,1,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-25,30,13,0,0,0,0,0,16,0,0,0,0,0,0,15,2,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,25,0,6,4,0,3,0,0,1,0,17,5,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,12,2,0,16,1,0,7,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,37,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,0,8,1,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,26,0,3,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1,0,0,8,0,0,0,6,1,0,0,4,0,23,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,42,0,0,3,0,0,2,0,22,0,0,0,0,0,0,7,0,0,0,3,20,0,35,0,26,0,12,27,0,27,0,0,13,0,21,60,8,0,17,4,0,0,0,0,26,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,5,7,0,0,1,0,11,0,16,0,31,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
