Grupo de edad,00  15 años,15  29 años,30  44 años,45  59 años,60  79 años,80 y más años,00  15 años,15  29 años,30  44 años,45  59 años,60  79 años,80 y más años,00  5 años,5  17 años,18  49 años,50  59 años,60  69 años,70  79 años,80 y más años,00  5 años,5  17 años,18  49 años,50  59 años,60  69 años,70  79 años,80 y más años
2020-05-22,,,,,,,,,,,,,67.0,43.0,969.0,649.0,636.0,484.0,266.0,65.0,42.0,831.0,405.0,422.0,384.0,285.0
2020-05-25,,,,,,,,,,,,,80.0,49.0,1089.0,741.0,740.0,571.0,333.0,73.0,50.0,953.0,467.0,494.0,457.0,343.0
2020-05-29,,,,,,,,,,,,,95.0,62.0,1284.0,880.0,873.0,678.0,402.0,90.0,66.0,1138.0,534.0,572.0,533.0,432.0
2020-06-01,,,,,,,,,,,,,100.0,72.0,1495.0,1031.0,1036.0,791.0,459.0,102.0,75.0,1325.0,629.0,666.0,609.0,485.0
2020-06-02,,,,,,,,,,,,,131.0,88.0,1770.0,1191.0,1206.0,931.0,545.0,126.0,91.0,1547.0,759.0,770.0,713.0,564.0
2020-06-05,,,,,,,,,,,,,131.0,88.0,1770.0,1191.0,1206.0,931.0,545.0,126.0,91.0,1547.0,759.0,770.0,713.0,564.0
2020-06-08,,,,,,,,,,,,,139.0,95.0,1895.0,1387.0,1357.0,1052.0,619.0,132.0,95.0,1631.0,877.0,852.0,796.0,648.0
2020-06-12,,,,,,,,,,,,,152.0,101.0,2084.0,1715.0,1599.0,1244.0,741.0,146.0,110.0,1840.0,1031.0,1044.0,954.0,806.0
2020-06-15,,,,,,,,,,,,,184.0,140.0,2287.0,1885.0,1803.0,1389.0,796.0,187.0,138.0,2009.0,1132.0,1193.0,1068.0,863.0
2020-06-19,,,,,,,,,,,,,200.0,163.0,2651.0,2066.0,2014.0,1577.0,938.0,209.0,172.0,2328.0,1254.0,1335.0,1241.0,1010.0
2020-06-23,,,,,,,,,,,,,211.0,180.0,2778.0,2186.0,2170.0,1720.0,1022.0,221.0,191.0,2446.0,1306.0,1436.0,1335.0,1083.0
2020-06-28,,,,,,,,,,,,,242.0,196.0,2957.0,2332.0,2354.0,1876.0,1108.0,246.0,206.0,2623.0,1397.0,1546.0,1438.0,1181.0
2020-07-01,,,,,,,,,,,,,252.0,202.0,3045.0,2395.0,2432.0,1954.0,1164.0,248.0,214.0,2695.0,1431.0,1592.0,1477.0,1238.0
2020-07-05,,,,,,,,,,,,,260.0,206.0,3161.0,2509.0,2541.0,2049.0,1237.0,265.0,228.0,2797.0,1492.0,1685.0,1555.0,1301.0
2020-07-10,,,,,,,,,,,,,266.0,218.0,3293.0,2631.0,2673.0,2180.0,1306.0,268.0,237.0,2960.0,1548.0,1806.0,1647.0,1375.0
2020-07-13,,,,,,,,,,,,,273.0,221.0,3397.0,2737.0,2777.0,2252.0,1354.0,269.0,242.0,3053.0,1606.0,1890.0,1713.0,1411.0
2020-07-17,,,,,,,,,,,,,279.0,230.0,3486.0,2815.0,2870.0,2319.0,1409.0,271.0,251.0,3113.0,1652.0,1947.0,1763.0,1459.0
2020-07-24,,,,,,,,,,,,,292.0,246.0,3641.0,2977.0,3078.0,2493.0,1505.0,281.0,264.0,3256.0,1749.0,2088.0,1902.0,1590.0
2020-07-27,,,,,,,,,,,,,296.0,251.0,3722.0,3030.0,3142.0,2570.0,1545.0,283.0,268.0,3330.0,1784.0,2125.0,1956.0,1637.0
2020-07-31,,,,,,,,,,,,,301.0,258.0,3799.0,3084.0,3208.0,2617.0,1583.0,285.0,272.0,3386.0,1824.0,2189.0,2010.0,1691.0
2020-08-03,,,,,,,,,,,,,303.0,261.0,3826.0,3131.0,3271.0,2670.0,1615.0,285.0,273.0,3433.0,1841.0,2223.0,2047.0,1743.0
2020-08-07,,,,,,,,,,,,,305.0,263.0,3971.0,3213.0,3411.0,2771.0,1695.0,287.0,279.0,3533.0,1874.0,2301.0,2131.0,1845.0
2020-08-10,,,,,,,,,,,,,318.0,275.0,4436.0,3427.0,3749.0,2971.0,1778.0,299.0,294.0,3876.0,1987.0,2498.0,2271.0,1935.0
2020-08-14,,,,,,,,,,,,,322.0,282.0,4881.0,3969.0,4203.0,3179.0,1882.0,303.0,301.0,4210.0,2250.0,2794.0,2445.0,2032.0
2020-08-17,,,,,,,,,,,,,332.0,290.0,5133.0,4319.0,4430.0,3236.0,1931.0,313.0,307.0,4426.0,2459.0,2950.0,2493.0,2076.0
2020-08-21,,,,,,,,,,,,,342.0,296.0,5617.0,4589.0,4656.0,3396.0,2022.0,320.0,313.0,4827.0,2619.0,3103.0,2606.0,2173.0
2020-08-24,,,,,,,,,,,,,348.0,306.0,5711.0,4644.0,4741.0,3475.0,2071.0,330.0,323.0,4919.0,2648.0,3162.0,2670.0,2215.0
