Grupo de edad,fecha,numero
< 1 años,2020-04-13,0.0
1  4 años,2020-04-13,0.0
5  14 años,2020-04-13,2.0
15  44 años,2020-04-13,124.0
45  64 años,2020-04-13,179.0
65 y más años,2020-04-13,144.0
00  5 años,2020-04-13,
5  17 años,2020-04-13,
18  49 años,2020-04-13,
50  59 años,2020-04-13,
60  69 años,2020-04-13,
70  79 años,2020-04-13,
80 y más años,2020-04-13,
< 1 años,2020-04-14,0.0
1  4 años,2020-04-14,0.0
5  14 años,2020-04-14,2.0
15  44 años,2020-04-14,143.0
45  64 años,2020-04-14,196.0
65 y más años,2020-04-14,156.0
00  5 años,2020-04-14,
5  17 años,2020-04-14,
18  49 años,2020-04-14,
50  59 años,2020-04-14,
60  69 años,2020-04-14,
70  79 años,2020-04-14,
80 y más años,2020-04-14,
< 1 años,2020-04-15,0.0
1  4 años,2020-04-15,0.0
5  14 años,2020-04-15,2.0
15  44 años,2020-04-15,164.0
45  64 años,2020-04-15,234.0
65 y más años,2020-04-15,162.0
00  5 años,2020-04-15,
5  17 años,2020-04-15,
18  49 años,2020-04-15,
50  59 años,2020-04-15,
60  69 años,2020-04-15,
70  79 años,2020-04-15,
80 y más años,2020-04-15,
< 1 años,2020-04-16,1.0
1  4 años,2020-04-16,0.0
5  14 años,2020-04-16,2.0
15  44 años,2020-04-16,183.0
45  64 años,2020-04-16,270.0
65 y más años,2020-04-16,187.0
00  5 años,2020-04-16,
5  17 años,2020-04-16,
18  49 años,2020-04-16,
50  59 años,2020-04-16,
60  69 años,2020-04-16,
70  79 años,2020-04-16,
80 y más años,2020-04-16,
< 1 años,2020-04-17,2.0
1  4 años,2020-04-17,0.0
5  14 años,2020-04-17,2.0
15  44 años,2020-04-17,187.0
45  64 años,2020-04-17,284.0
65 y más años,2020-04-17,196.0
00  5 años,2020-04-17,
5  17 años,2020-04-17,
18  49 años,2020-04-17,
50  59 años,2020-04-17,
60  69 años,2020-04-17,
70  79 años,2020-04-17,
80 y más años,2020-04-17,
< 1 años,2020-04-18,2.0
1  4 años,2020-04-18,0.0
5  14 años,2020-04-18,2.0
15  44 años,2020-04-18,190.0
45  64 años,2020-04-18,290.0
65 y más años,2020-04-18,197.0
00  5 años,2020-04-18,
5  17 años,2020-04-18,
18  49 años,2020-04-18,
50  59 años,2020-04-18,
60  69 años,2020-04-18,
70  79 años,2020-04-18,
80 y más años,2020-04-18,
< 1 años,2020-04-19,2.0
1  4 años,2020-04-19,0.0
5  14 años,2020-04-19,2.0
15  44 años,2020-04-19,193.0
45  64 años,2020-04-19,292.0
65 y más años,2020-04-19,200.0
00  5 años,2020-04-19,
5  17 años,2020-04-19,
18  49 años,2020-04-19,
50  59 años,2020-04-19,
60  69 años,2020-04-19,
70  79 años,2020-04-19,
80 y más años,2020-04-19,
< 1 años,2020-04-20,2.0
1  4 años,2020-04-20,0.0
5  14 años,2020-04-20,2.0
15  44 años,2020-04-20,196.0
45  64 años,2020-04-20,292.0
