Province,RegionID,Cases,,,,
Aceh,ID-AC,415,91,,,
Bali,ID-BA,"3,407","2,876",,,
Bangka-Belitung Islands,ID-BB,193,173,,,
Banten,ID-BT,"1,835","1,354",,,
Bengkulu,ID-BE,217,118,,,
Central Java,ID-JT,"9,516","5,319",,,
Central Kalimantan,ID-KT,"1,729","1,182",,,
Central Sulawesi,ID-ST,207,188,,,
East Java,ID-JI,"22,089","14,415",,,
East Kalimantan,ID-KI,"1,426",903,,,
East Nusa Tenggara,ID-NT,145,110,,,
Gorontalo,ID-GO,"1,015",544,,,
Jakarta Special Capital Region,ID-JK,"21,399","13,208",,,
Jambi,ID-JA,162,115,,,
Lampung,ID-LA,255,195,,,
Maluku,ID-MA,"1,093",699,,,
North Kalimantan,ID-KU,283,214,,,
North Maluku,ID-MU,"1,530",328,,,
North Sulawesi,ID-SA,"2,580","1,205",,,
North Sumatra,ID-SU,"3,931","1,353",,,
Papua,ID-PA,"3,059","1,375",,,
Riau,ID-RI,445,308,,,
Riau Islands,ID-KR,447,321,,,
Southeast Sulawesi,ID-SG,782,470,,,
South Kalimantan,ID-KS,"6,098","3,367",,,
South Sulawesi,ID-SN,"9,422","6,482",,,
South Sumatra,ID-SS,"3,417","1,794",,,
Special Region of Yogyakarta,ID-YO,674,399,,,
West Java,ID-JB,"6,532","3,966",,,
West Kalimantan,ID-KB,387,355,,,
West Nusa Tenggara,ID-NB,"2,065","1,288",,,
West Papua,ID-PB,433,292,,,
West Sulawesi,ID-SR,230,140,,,
West Sumatra,ID-SB,948,760,,,
