Date_Name,Date,Ships in Luanda Bay,Ships in Offshore Area,Ships in Lobito Bay,Policy_Name,Policy,Confirmed,Measured Current Infected,New Cases,Angola Population,New_Cases_pc,Active_cases_pc,nat_retail_recreation_mob,nat_grocery__pharmacy_mob,nat_parks_mob,nat_transit_mob,nat_workplaces_mob,nat_residential_mob,loc_retail_recreation_mob,loc_grocery__pharmacy_mob,loc_parks_mob,loc_transit_mob,loc_workplaces_mob,loc_residential_mob,,Luanda City Nighttime Radiance,ZEE Nighttime Radiance,SO2_PercentChange_HuamboCity,SO2_PercentChange_LuandaCity,SO2_PercentChange_ZEE,NO2_PercentChange_HuamboCity,NO2_PercentChange_LuandaCity,NO2_PercentChange_ZEE
03/20/20,1,,,,Pre-Emergency,7.75,1,1,1,31830000,3.14169022934339E-05,3.14169022934339E-05,-5,13,-5,-21,3,2,-7,14,-7,-30,2,3,,,,,,,,,
03/21/20,2,,,,Pre-Emergency,7.75,2,2,1,31830000,3.14169022934339E-05,6.28338045868677E-05,-10,16,-8,-8,-1,5,-15,12,-15,-23,-3,5,,,,,,,,,
03/22/20,3,28,25,6,Pre-Emergency,7.75,2,2,0,31830000,0,6.28338045868677E-05,-33,-4,-29,-41,-10,13,-39,-10,-51,-54,-13,14,,,,,,,,,
03/23/20,4,,,,Pre-Emergency,7.75,3,3,1,31830000,3.14169022934339E-05,9.42507068803016E-05,-43,-25,-31,-52,-68,26,-46,-27,-50,-63,-72,28,,,,,,,,,
03/24/20,5,,,,Pre-Emergency,7.75,3,3,0,31830000,0,9.42507068803016E-05,-26,-8,-21,-36,-14,12,-29,-11,-36,-46,-17,14,,,,,,,,,
03/25/20,6,,,,Pre-Emergency,7.75,3,3,0,31830000,0,9.42507068803016E-05,-22,1,-24,-41,-22,15,-25,-2,-39,-52,-27,17,,,,,,,,,
03/26/20,7,,,,Pre-Emergency,7.75,4,4,1,31830000,3.14169022934339E-05,0.000125667609174,-10,23,-9,-25,-27,11,-14,21,-18,-38,-32,12,,,,,,,,,
03/27/20,8,,,,Emergency State – Initial,2.75,4,4,0,31830000,0,0.000125667609174,-48,-22,-32,-52,-47,26,-54,-28,-52,-66,-53,29,,,,,,,,,
03/28/20,9,,,,Emergency State – Initial,2.75,5,5,1,31830000,3.14169022934339E-05,0.000157084511467,-51,-33,-28,-41,-22,20,-59,-41,-55,-58,-32,22,,,,,,,,,
03/29/20,10,,,,Emergency State – Initial,2.75,7,5,2,31830000,6.28338045868677E-05,0.000157084511467,-61,-40,-39,-57,-11,22,-67,-50,-70,-72,-19,23,,,,,,,,,
