fecha_primeros_sintomas,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28
activos,1,2,3,12,14,17,20,21,30,37,45,54,75,88,101,124,158,214,264,330,441,591,758,1029,1272,1529,1798,2139,2431,2707,3056,3315,3595,3862,4088,4263,4364,4468,4547,4733,4826,4856,4935,4972,5028,5108,5182,5300,5409,5439,5556,5772,5971,6173,6392,6621,6786,6981,7584,7946,8366,8790,9439,10149,10848,11962,13163,14257,15670,17861,19906,22126,24897,27693,30387,33233,36424,39244,42352,46067,49189,51705,53897,56540,58810,60624,62661,64349,67075,67980,69397,70519,70844,71703,71713,72464,73343,73156,73159,72944,74131,73688,72056,72033,71487,70888,70272,69398,68721,68161,67063,66411,65683,64949,62746,62098,61369,60789,59649,58933,58049,56428,55695,54459,53570,52137,50684,49575,47384,46192,45573,43980,42582,41214,40412,39415,38427,37462,36589,35897,35179,34545,34286,33550,32398,31660,31266,30840,30212,29794,29277,28933,28748,28214,27980,27594,27420,27048,26694,26882,26558,26557,26518,26214,26189,26085,25900,25779,25519,25306,25092,25025,24962,24619,24422,23897,23593,23359,23249,23056,22835,22438,22024,21632,20796,19889,18752,17352,15645
recuperados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,12,14,17,20,21,30,37,45,54,75,88,102,126,161,226,278,347,461,612,788,1066,1317,1583,1873,2227,2533,2833,3217,3541,3873,4209,4549,4875,5152,5534,5864,6316,6699,7083,7468,7805,8245,8649,9055,9509,9958,10314,10708,11306,11835,12489,13091,13704,14254,14786,15829,16595,17421,18299,19397,20463,21556,23268,24998,26746,28761,31565,34160,36912,40726,44288,47808,51532,55821,59707,63908,69335,74187,78451,82658,88105,92970,97536,103387,108637,114883,119512,125218,130226,134752,141038,145900,150915,156001,161261,166129,170480,177518,182325,186939,191545,196705,201114,205024,210436,214621,219076,223064,227672,231812,235429,240264,244423,248308,252334,256354,260047,263073,266864,270316,273535,276634,279809,282496,285004,287648,290615,293881,296314,298936,301261,303485,306279,308743,310997,313223,315706,317675,319549,321934,324165,326279,327974,330202,332101,333697,336073,338020,339930,341971,343920,345655,347143,349354,351213,352973,354856,356760,358658,360215,362287,364209,366015,367871,369699,371174,372449,374446,376238,377935,379475,381182
