fecha_primeros_sintomas,Casos,Total
2020-02-22,activos,1
2020-02-23,activos,2
2020-02-24,activos,3
2020-02-25,activos,12
2020-02-26,activos,14
2020-02-27,activos,17
2020-02-28,activos,20
2020-02-29,activos,21
2020-03-01,activos,30
2020-03-02,activos,37
2020-03-03,activos,45
2020-03-04,activos,54
2020-03-05,activos,75
2020-03-06,activos,88
2020-03-07,activos,101
2020-03-08,activos,124
2020-03-09,activos,158
2020-03-10,activos,214
2020-03-11,activos,264
2020-03-12,activos,330
2020-03-13,activos,441
2020-03-14,activos,591
2020-03-15,activos,758
2020-03-16,activos,1029
2020-03-17,activos,1272
2020-03-18,activos,1529
2020-03-19,activos,1798
2020-03-20,activos,2139
2020-03-21,activos,2431
2020-03-22,activos,2707
2020-03-23,activos,3056
2020-03-24,activos,3315
2020-03-25,activos,3595
2020-03-26,activos,3862
2020-03-27,activos,4088
2020-03-28,activos,4263
2020-03-29,activos,4364
2020-03-30,activos,4468
2020-03-31,activos,4547
2020-04-01,activos,4733
2020-04-02,activos,4826
2020-04-03,activos,4856
2020-04-04,activos,4935
2020-04-05,activos,4972
2020-04-06,activos,5028
2020-04-07,activos,5108
2020-04-08,activos,5182
2020-04-09,activos,5300
2020-04-10,activos,5409
2020-04-11,activos,5439
2020-04-12,activos,5556
2020-04-13,activos,5772
2020-04-14,activos,5971
2020-04-15,activos,6173
2020-04-16,activos,6392
2020-04-17,activos,6621
2020-04-18,activos,6786
2020-04-19,activos,6981
2020-04-20,activos,7584
2020-04-21,activos,7946
2020-04-22,activos,8366
2020-04-23,activos,8790
2020-04-24,activos,9439
2020-04-25,activos,10149
2020-04-26,activos,10848
2020-04-27,activos,11962
2020-04-28,activos,13163
2020-04-29,activos,14257
2020-04-30,activos,15670
2020-05-01,activos,17861
2020-05-02,activos,19906
2020-05-03,activos,22126
2020-05-04,activos,24897
2020-05-05,activos,27693
2020-05-06,activos,30387
2020-05-07,activos,33233
2020-05-08,activos,36424
2020-05-09,activos,39244
2020-05-10,activos,42352
2020-05-11,activos,46067
2020-05-12,activos,49189
2020-05-13,activos,51705
2020-05-14,activos,53897
2020-05-15,activos,56540
2020-05-16,activos,58810
2020-05-17,activos,60624
2020-05-18,activos,62661
2020-05-19,activos,64349
2020-05-20,activos,67075
2020-05-21,activos,67980
2020-05-22,activos,69397
2020-05-23,activos,70519
2020-05-24,activos,70844
2020-05-25,activos,71703
2020-05-26,activos,71713
2020-05-27,activos,72464
2020-05-28,activos,73343
2020-05-29,activos,73156
2020-05-30,activos,73159
2020-05-31,activos,72944
2020-06-01,activos,74131
2020-06-02,activos,73688
2020-06-03,activos,72056
2020-06-04,activos,72033
2020-06-05,activos,71487
2020-06-06,activos,70888
2020-06-07,activos,70272
2020-06-08,activos,69398
2020-06-09,activos,68721
2020-06-10,activos,68161
2020-06-11,activos,67063
2020-06-12,activos,66411
2020-06-13,activos,65683
2020-06-14,activos,64949
2020-06-15,activos,62746
2020-06-16,activos,62098
2020-06-17,activos,61369
2020-06-18,activos,60789
2020-06-19,activos,59649
2020-06-20,activos,58933
2020-06-21,activos,58049
2020-06-22,activos,56428
2020-06-23,activos,55695
2020-06-24,activos,54459
2020-06-25,activos,53570
2020-06-26,activos,52137
2020-06-27,activos,50684
2020-06-28,activos,49575
2020-06-29,activos,47384
2020-06-30,activos,46192
2020-07-01,activos,45573
2020-07-02,activos,43980
2020-07-03,activos,42582
2020-07-04,activos,41214
2020-07-05,activos,40412
2020-07-06,activos,39415
2020-07-07,activos,38427
2020-07-08,activos,37462
2020-07-09,activos,36589
2020-07-10,activos,35897
2020-07-11,activos,35179
2020-07-12,activos,34545
2020-07-13,activos,34286
2020-07-14,activos,33550
2020-07-15,activos,32398
2020-07-16,activos,31660
2020-07-17,activos,31266
2020-07-18,activos,30840
2020-07-19,activos,30212
2020-07-20,activos,29794
2020-07-21,activos,29277
2020-07-22,activos,28933
2020-07-23,activos,28748
2020-07-24,activos,28214
2020-07-25,activos,27980
2020-07-26,activos,27594
2020-07-27,activos,27420
2020-07-28,activos,27048
2020-07-29,activos,26694
2020-07-30,activos,26882
2020-07-31,activos,26558
2020-08-01,activos,26557
2020-08-02,activos,26518
2020-08-03,activos,26214
2020-08-04,activos,26189
2020-08-05,activos,26085
2020-08-06,activos,25900
2020-08-07,activos,25779
2020-08-08,activos,25519
2020-08-09,activos,25306
2020-08-10,activos,25092
2020-08-11,activos,25025
2020-08-12,activos,24962
2020-08-13,activos,24619
2020-08-14,activos,24422
2020-08-15,activos,23897
2020-08-16,activos,23593
2020-08-17,activos,23359
2020-08-18,activos,23249
2020-08-19,activos,23056
2020-08-20,activos,22835
2020-08-21,activos,22438
2020-08-22,activos,22024
2020-08-23,activos,21632
2020-08-24,activos,20796
2020-08-25,activos,19889
2020-08-26,activos,18752
2020-08-27,activos,17352
2020-08-28,activos,15645
2020-02-22,recuperados,0
2020-02-23,recuperados,0
2020-02-24,recuperados,0
2020-02-25,recuperados,0
2020-02-26,recuperados,0
2020-02-27,recuperados,0
2020-02-28,recuperados,0
2020-02-29,recuperados,0
2020-03-01,recuperados,0
2020-03-02,recuperados,0
2020-03-03,recuperados,0
2020-03-04,recuperados,0
2020-03-05,recuperados,0
2020-03-06,recuperados,0
2020-03-07,recuperados,1
2020-03-08,recuperados,2
2020-03-09,recuperados,3
2020-03-10,recuperados,12
2020-03-11,recuperados,14
2020-03-12,recuperados,17
2020-03-13,recuperados,20
2020-03-14,recuperados,21
2020-03-15,recuperados,30
2020-03-16,recuperados,37
2020-03-17,recuperados,45
2020-03-18,recuperados,54
2020-03-19,recuperados,75
2020-03-20,recuperados,88
2020-03-21,recuperados,102
2020-03-22,recuperados,126
2020-03-23,recuperados,161
2020-03-24,recuperados,226
2020-03-25,recuperados,278
2020-03-26,recuperados,347
2020-03-27,recuperados,461
2020-03-28,recuperados,612
2020-03-29,recuperados,788
2020-03-30,recuperados,1066
2020-03-31,recuperados,1317
2020-04-01,recuperados,1583
2020-04-02,recuperados,1873
2020-04-03,recuperados,2227
2020-04-04,recuperados,2533
2020-04-05,recuperados,2833
2020-04-06,recuperados,3217
2020-04-07,recuperados,3541
2020-04-08,recuperados,3873
2020-04-09,recuperados,4209
2020-04-10,recuperados,4549
2020-04-11,recuperados,4875
2020-04-12,recuperados,5152
2020-04-13,recuperados,5534
2020-04-14,recuperados,5864
2020-04-15,recuperados,6316
2020-04-16,recuperados,6699
2020-04-17,recuperados,7083
2020-04-18,recuperados,7468
2020-04-19,recuperados,7805
2020-04-20,recuperados,8245
2020-04-21,recuperados,8649
2020-04-22,recuperados,9055
2020-04-23,recuperados,9509
2020-04-24,recuperados,9958
2020-04-25,recuperados,10314
2020-04-26,recuperados,10708
2020-04-27,recuperados,11306
2020-04-28,recuperados,11835
2020-04-29,recuperados,12489
2020-04-30,recuperados,13091
2020-05-01,recuperados,13704
2020-05-02,recuperados,14254
2020-05-03,recuperados,14786
2020-05-04,recuperados,15829
2020-05-05,recuperados,16595
