Grupo de edad,00 - 04 años,05 - 09 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65 - 69 años,70 - 74 años,75 - 79 años,80 y más años,00 - 04 años,05 - 09 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65 - 69 años,70 - 74 años,75 - 79 años,80 y más años
2020-06-12,1535,1104,1315,2237,6381,10740,11057,9147,7586,7305,6926,6342,4786,2924,2086,1418,1659,1380,1050,1284,2480,6131,10131,9643,7682,6309,6567,6028,5460,3799,2502,1908,1415,2523
2020-06-15,1651,1200,1420,2455,7089,11878,12240,10176,8427,8146,7772,7244,5378,3296,2353,1608,1868,1477,1124,1383,2715,6852,11231,10729,8522,7062,7373,6858,6175,4299,2807,2155,1621,2846
2020-06-19,2058,1573,1851,3286,9355,15283,15456,12873,10562,10289,9839,9217,6764,4180,2948,2022,2334,1903,1483,1827,3718,9144,14731,13729,11028,9132,9685,8966,8106,5626,3680,2813,2122,3769
2020-06-23,2302,1772,2054,3640,10344,16776,17023,14139,11641,11327,10867,10188,7494,4657,3232,2248,2613,2095,1657,2060,4117,10152,16213,15087,12097,10081,10661,9926,8959,6232,4074,3103,2339,4191
2020-06-28,2565,1981,2307,4088,11420,18389,18717,15565,12870,12469,11944,11169,8304,5138,3591,2473,2904,2304,1868,2346,4627,11208,17766,16546,13271,11115,11658,10969,9876,6861,4506,3428,2575,4640
2020-07-01,2673,2072,2367,4235,11824,19034,19378,16139,13351,12923,12376,11605,8618,5367,3764,2582,3028,2393,1953,2453,4834,11638,18388,17197,13770,11528,12108,11391,10279,7149,4704,3558,2690,4819
2020-07-05,2848,2210,2517,4547,12487,20041,20423,16979,14126,13692,13105,12326,9128,5719,3995,2735,3240,2580,2087,2625,5188,12323,19455,18140,14520,12174,12801,12066,10934,7632,5003,3772,2858,5080
2020-07-10,3022,2374,2731,4837,13089,20984,21431,17815,14831,14412,13736,12947,9647,6038,4228,2911,3445,2772,2240,2815,5509,12980,20400,19130,15286,12823,13459,12709,11536,8096,5308,4040,3050,5441
2020-07-13,3132,2489,2860,5016,13505,21603,22065,18292,15269,14857,14132,13291,9925,6244,4367,2987,3581,2879,2353,2937,5734,13388,21027,19698,15724,13199,13864,13121,11880,8376,5502,4173,3153,5631
2020-07-17,3240,2604,2979,5219,13911,22215,22712,18754,15730,15297,14529,13650,10193,6451,4515,3072,3718,2990,2450,3090,5947,13840,21659,20193,16156,13607,14264,13497,12269,8621,5706,4316,3255,5837
2020-07-24,3392,2733,3157,5467,14493,23090,23627,19530,16399,15952,15162,14247,10668,6751,4742,3243,3919,3141,2580,3237,6217,14441,22586,21054,16818,14221,14830,14112,12800,9062,6015,4533,3452,6171
2020-07-27,3473,2805,3224,5610,14735,23482,24063,19819,16655,16245,15450,14505,10858,6878,4847,3304,4024,3198,2631,3329,6342,14719,22973,21405,17099,14441,15114,14359,13016,9213,6133,4624,3539,6324
2020-07-31,3564,2887,3295,5743,15055,23905,24505,20206,16984,16603,15790,14816,11111,7038,4978,3382,4124,3287,2705,3411,6489,14990,23413,21813,17424,14745,15419,14685,13289,9423,6287,4738,3630,6482
2020-08-03,3651,2966,3361,5841,15259,24255,24845,20473,17231,16846,16047,15071,11297,7142,5059,3438,4191,3349,2787,3475,6604,15236,23734,22140,17669,14980,15642,14900,13520,9600,6394,4822,3707,6583
2020-08-07,3792,3105,3512,6059,15711,24871,25428,20929,17619,17240,16388,15420,11553,7298,5177,3528,4270,3489,2919,3635,6883,15667,24349,22679,18125,15352,16037,15247,13828,9865,6544,4943,3800,6742
2020-08-10,3917,3220,3623,6230,16041,25323,25881,21290,17946,17550,16692,15706,11746,7427,5286,3598,4360,3571,3030,3752,7070,16009,24810,23118,18468,15636,16324,15547,14127,10066,6676,5051,3883,6858
2020-08-14,4042,3320,3779,6396,16431,25831,26389,21690,18286,17929,17037,16016,11975,7599,5410,3686,4458,3702,3165,3901,7316,16405,25340,23660,18873,16024,16709,15897,14460,10299,6828,5176,3984,7015
2020-08-17,4133,3400,3884,6537,16683,26192,26762,21985,18531,18166,17255,16235,12163,7712,5504,3760,4548,3794,3255,4008,7467,16692,25739,23985,19115,16256,16941,16116,14670,10466,6964,5264,4061,7122
2020-08-21,4244,3495,3998,6706,16966,26639,27182,22299,18845,18439,17532,16478,12373,7851,5598,3821,4629,3895,3349,4121,7658,17027,26188,24413,19507,16560,17246,16405,14980,10674,7128,5361,4142,7269
2020-08-24,4337,3582,4089,6879,17222,27031,27543,22568,19095,18692,17766,16700,12558,7973,5681,3894,4712,3986,3456,4235,7838,17356,26628,24821,19832,16813,17474,16663,15236,10856,7268,5454,4206,7375
2020-08-28,4461,3705,4215,7046,17551,27518,28018,22901,19422,18969,18064,16996,12771,8118,5792,3970,4819,4115,3576,4376,8049,17770,27183,25301,20223,17122,17780,16986,15543,11058,7420,5552,4303,7531
