Date,Measured Current Infected,New Deaths,Recovered Population,Accumulative Deaths,Population,Total Cases,New Cases,New_Cases_pc,Active_cases_pc,Closure Policy Name,Policy,Mobility,retail_and_recreation_mob,grocery_and_pharmacy_mob,parks_percent_mob,transit_stations_mob,workplaces_mob,residential_mob
1,,0,,0,8125072,1,1,0.000123075832436,,Initial Closures,1.7,3.93075255016288,5,15,7,9,12,0
2,,0,,0,8125072,2,1,0.000123075832436,,Initial Closures,1.7,3.88745567797439,5,14,9,9,13,0
3,,0,,0,8125072,3,1,0.000123075832436,,Initial Closures,1.7,3.77644817556548,1,12,10,6,14,0
4,,0,,0,8125072,4,1,0.000123075832436,,Initial Closures,1.7,3.99174158505715,12,15,7,6,3,2
5,,0,,0,8125072,6,2,0.000246151664871,,Initial Closures,1.7,3.2669925105269,17,16,49,21,-3,4
6,,0,,0,8125072,9,3,0.000369227497307,,Initial Closures,1.7,2.77427691239713,1,12,17,9,14,0
7,,0,,0,8125072,10,1,0.000123075832436,,Initial Closures,1.7,3.86618958390483,3,11,7,12,16,-2
8,,0,,0,8125072,14,4,0.000492303329743,,Initial Closures,1.7,3.90526023507334,-3,6,10,12,14,0
9,,0,,0,8125072,23,9,0.001107682491921,,Initial Closures,1.7,3.78612792888444,0,10,5,10,15,-1
10,,0,,0,8125072,29,6,0.000738454994614,,Initial Closures,1.7,3.9998017960183,0,15,5,6,15,0
11,,0,,0,8125072,40,11,0.001353834156793,,Initial Closures,1.7,2.77557076005785,6,19,6,3,3,3
12,,0,,0,8125072,54,14,0.0017230616541,,Initial Closures,1.7,2.81440679682066,-3,30,-5,-4,-3,5
13,,0,,0,8125072,123,69,0.008492232438063,,Initial Closures,1.7,2.66259422357751,-17,31,-18,-16,0,8
14,,0,,0,8125072,152,29,0.003569199140635,,Initial Closures,1.7,4.15178401812058,-29,14,-28,-28,-15,13
15,,0,,0,8125072,174,22,0.002707668313585,,Initial Closures,1.7,4.15333289965506,-35,12,-33,-33,-22,16
16,,0,,0,8125072,247,73,0.008984535767806,,Initial Closures,1.7,4.16101207520675,-50,-6,-39,-43,-31,21
17,,0,,0,8125072,304,57,0.007015322448835,,Initial Closures,1.7,3.96982017372569,-54,-11,-46,-48,-34,25
18,,0,,0,8125072,359,55,0.006769170783964,,Initial Closures,1.7,4.27185325790653,-62,-21,-53,-50,-34,22
19,,1,,1,8125072,409,50,0.006153791621785,,Initial Closures,1.7,3.48653303206464,-70,-36,-59,-56,-41,21
20,,0,,1,8125072,459,50,0.006153791621785,,Initial Closures,1.7,2.92091927423993,-62,-30,-52,-56,-44,27
21,,1,,2,8125072,540,81,0.009969142427292,,Initial Closures,1.7,4.22452187779791,-62,-30,-54,-59,-47,27
22,,0,,2,8125072,682,142,0.01747676820587,,Initial Closures,1.7,4.25141448047858,-62,-28,-52,-58,-47,28
23,,1,,3,8125072,746,64,0.007876853275885,,Initial Closures,1.7,4.29036974637995,-56,-14,-46,-54,-46,26
24,,0,,3,8125072,938,192,0.023630559827655,,Initial Closures,1.7,4.47210190449756,-72,-40,-65,-68,-59,36
25,,0,,3,8125072,1084,146,0.017969071535612,,Initial Closures,1.7,4.5650836786322,-71,-38,-61,-62,-49,27
26,,0,,3,8125072,1167,83,0.010215294092163,,Initial Closures,1.7,3.5295054654487,-74,-48,-62,-62,-47,23
27,,0,,3,8125072,1295,128,0.01575370655177,,Initial Closures,1.7,2.91848224386214,-67,-35,-58,-66,-59,31
28,,1,,4,8125072,1420,125,0.015384479054463,,Initial Closures,1.7,4.27974042596598,-64,-27,-53,-62,-59,29
29,,1,,5,8125072,1521,101,0.012430659076006,,Initial Closures,1.7,4.20870013278365,-64,-27,-54,-62,-59,30
30,,1,,6,8125072,1636,115,0.014153720730106,,Initial Closures,1.7,4.33749392943694,-65,-29,-55,-63,-59,31
31,,2,,8,8125072,1742,106,0.013046038238184,,Initial Closures,1.7,4.54931253126901,-65,-29,-58,-62,-57,33
32,,1,,9,8125072,1957,215,0.026461303973676,,Initial Closures,1.7,2.97838047322453,-66,-30,-57,-56,-47,24
33,,1,,10,8125072,2102,145,0.017845995703177,,Initial Closures,1.7,3.58317324884305,-68,-39,-58,-56,-46,20
34,,0,,10,8125072,2244,142,0.01747676820587,,Initial Closures,1.7,2.96471771088184,-64,-32,-56,-63,-57,28
35,,2,,12,8125072,2350,106,0.013046038238184,,Initial Closures,1.7,4.51705220062337,-63,-27,-56,-61,-57,27
36,,2,,14,8125072,2548,198,0.024369014822269,,Initial Closures,1.7,4.59701917541706,-64,-29,-56,-62,-57,27
37,,7,,21,8125072,2832,284,0.034953536411739,,Initial Closures,1.7,4.51822286931624,-62,-21,-53,-60,-58,27
38,,8,,29,8125072,3193,361,0.044430375509288,,Initial Closures,1.7,3.51742213357081,-83,-49,-73,-78,-82,42
39,,3,,32,8125072,3448,255,0.031384337271104,,Initial Closures,1.7,4.85662541958933,-75,-43,-64,-66,-59,27
40,,3,,35,8125072,3599,151,0.018584450697791,,Initial Closures,1.7,3.4366174859562,-76,-52,-72,-70,-50,21
41,,1,,36,8125072,3803,204,0.025107469816883,,Initial Closures,1.7,3.03362210199079,-63,-34,-55,-62,-54,27
42,,4,,40,8125072,4086,283,0.034830460579303,,Initial Closures,1.7,3.92771533458607,-62,-31,-55,-61,-54,26
43,,1,,41,8125072,4334,248,0.030522806444054,,Initial Closures,1.7,3.913311484535,-62,-31,-54,-60,-54,27
44,,7,,48,8125072,4682,348,0.042830389687624,,Initial Closures,1.7,4.07821464137982,-63,-29,-54,-61,-54,28
45,,3,,51,8125072,4915,233,0.028676668957518,,Initial Closures,1.7,4.22668758582579,-63,-30,-57,-61,-53,32
46,,7,,58,8125072,5192,277,0.034092005584689,,Initial Closures,1.7,4.45889717249498,-64,-33,-55,-55,-40,22
47,,5,,63,8125072,5381,189,0.023261332330347,,Initial Closures,1.7,2.8991199312395,-67,-40,-58,-58,-42,19
48,,4,,67,8125072,5643,262,0.032245868098154,,Initial Closures,1.7,2.48233805323065,-62,-35,-53,-60,-51,26
49,,2,,69,8125072,5788,145,0.017845995703177,,Initial Closures,1.7,3.47472664339883,-62,-32,-54,-59,-51,25
50,,9,,78,8125072,6083,295,0.036307370568532,,Initial Closures,1.7,3.57917088677063,-62,-33,-53,-59,-51,25
51,,7,,85,8125072,6434,351,0.043199617184931,,Initial Closures,1.7,3.76617316514225,-62,-32,-54,-59,-51,26
52,,1,,86,8125072,6761,327,0.040245797206474,,Initial Closures,1.7,2.73893704424033,-64,-35,-58,-61,-51,30
53,,3,,89,8125072,7165,404,0.049722636304023,,Initial Closures,1.7,3.71684523670703,-62,-32,-53,-54,-39,21
54,,2,,91,8125072,7496,331,0.040738100536217,,Initial Closures,1.7,3.09260075141356,-65,-39,-58,-58,-40,18
55,,4,,95,8125072,7858,362,0.044553451341724,,Initial Closures,1.7,2.64864359637121,-61,-35,-53,-60,-48,26
56,,5,,100,8125072,8300,442,0.05439951793658,,Initial Closures,1.7,3.7994938830976,-61,-33,-52,-58,-50,19
57,,4,,104,8125072,8889,589,0.072491665304628,,Initial Closures,1.7,3.79847629397735,-59,-31,-51,-57,-49,24
58,,6,,110,8125072,9625,736,0.090583812672675,,Initial Closures,1.7,3.83263029894412,-53,-16,-45,-52,-49,22
59,,4,,114,8125072,10516,891,0.109660566700209,,Initial Closures,1.7,3.72037430104182,-83,-77,-66,-75,-83,41
60,,8,,122,8125072,11661,1145,0.140921828138877,,Initial Closures,1.7,3.88573349316051,-56,-19,-48,-51,-42,21
61,,13,,135,8125072,12656,995,0.122460453273522,,Initial Closures,1.7,3.22666701927414,-60,-29,-54,-54,-37,18
62,,8,,143,8125072,13528,872,0.107322125883931,,Initial Closures,1.7,2.76374789323803,-56,-23,-47,-56,-47,24
63,,3,,146,8125072,14707,1179,0.145106406441691,,Initial Closures,1.7,3.85849682963693,-55,-21,-47,-54,-48,23
64,,4,,150,8125072,15582,875,0.107691353381238,,Initial Closures,1.7,3.85675994619084,-58,-26,-48,-57,-50,25
