Week,Date_Name,Cerrillos,Estación Central,Maipú,Pudahuel,Quilicura,Tiltil,Colina,Lampa,Independencia,Huechuraba,Cerro Navia,Conchalí,Lo Prado,Quinta Normal,Recoleta,Renca,San Joaquín,Providencia,Santiago,La Granja,Macul,Ñuñoa,Peñalolén,La Reina,Vitacura,Las Condes,Lo Barnechea,La Florida,La Pintana,San José de Maipo,Pirque,Puente Alto,San Miguel,San Ramón,La Cisterna,El Bosque,Lo Espejo,Pedro Aguirre Cerda,Paine,Buin,Calera de Tango,San Bernardo,Melipilla,San Pedro,Alhué,Curacaví,María Pinto,Isla de Maipo,El Monte,Padre Hurtado,Peñaflor,Talagante
1,"Jan 1, 2019",0.058,0.013,0.172,0.425,0.119,0.315,0.308,0.485,-0.058,0.452,0.04,0.033,-0.018,0.065,-0.097,0.04,0.033,-0.019,0.002,0.04,0.033,0,0.197,-0.02,-0.007,0.275,0.334,0.135,0.086,-0.229,0.333,0.005,0.079,0.11,0.175,0.071,0.16,0.092,0.352,0.202,0.196,0.233,0.174,0.593,0.004,0.402,0.333,0.202,0.257,0.305,0.289,0.201
2,"Jan 8, 2019",0.033,-0.118,0.294,0.359,0.204,0.262,0.461,0.339,-0.082,0.196,-0.051,-0.148,-0.18,-0.104,-0.017,-0.002,-0.13,0.089,-0.119,0.048,0.018,-0.007,0.152,0,0.006,0.164,0.296,0.134,0.052,0.307,0.295,0.071,-0.067,0.057,0.092,0.099,0.015,0.013,0.267,0.214,0.203,0.201,0.405,0.335,0.518,0.334,0.5,0.291,0.333,0.403,0.263,0.272
3,"Jan 15, 2019",-0.025,0.069,0.05,-0.041,0.023,-0.164,-0.081,-0.111,0.012,-0.026,-0.036,0.035,-0.002,-0.043,-0.026,0.003,0.014,0.026,0.019,0.038,0.005,0.075,0,-0.035,0.004,-0.024,-0.162,0.001,0.027,-0.622,-0.121,-0.04,0.001,0.081,0.119,0.002,0.079,0.057,-0.3,-0.051,-0.022,-0.049,0.231,0.001,0,-0.113,-0.057,0.001,0.001,-0.087,0.001,-0.05
4,"Jan 22, 2019",0.041,0.044,0.082,-0.112,0.005,-0.8,-0.988,-0.293,-0.026,-0.097,0.001,0.035,0.072,-0.037,-0.03,0.013,0.033,0.058,0.013,0.036,0.006,0.024,-0.058,-0.064,-0.008,-0.15,-1,-0.084,-0.029,-0.915,-0.667,-0.039,0.03,0.067,0.09,0.003,0.068,0.068,-0.604,-0.236,-0.141,-0.08,-0.711,-0.82,-1,-0.748,-0.6,-0.429,-0.394,-0.152,-0.102,-0.164
5,"Jan 29, 2019",0.03,0.042,-0.022,-0.101,-0.008,-0.248,-0.114,-0.145,-0.023,-0.035,-0.026,0.034,0.043,-0.042,-0.02,0.001,0.02,0.029,0.003,0.045,-0.008,-0.004,0.035,-0.041,-0.004,0.001,-0.111,0.001,0.01,-0.5,-0.117,-0.009,0.022,0.065,0.142,0.021,0.088,0.05,-0.143,-0.071,-0.057,-0.009,-0.415,-0.411,-0.429,-0.25,-0.333,-0.18,-0.227,-0.091,-0.076,0.001
6,"Feb 5, 2019",0.001,0.026,-0.009,-0.085,-0.073,-0.333,-0.201,-0.156,-0.029,-0.114,-0.044,0.011,0.044,-0.089,-0.051,-0.034,0.003,-0.06,0.001,0.016,-0.027,-0.022,-0.044,-0.108,-0.035,-0.1,-0.246,-0.06,-0.018,-0.335,-0.166,-0.065,-0.004,0.027,0.101,0.005,0.037,0.013,-0.199,-0.102,-0.086,-0.04,-0.333,-0.399,-0.404,-0.287,-0.333,-0.198,-0.211,-0.085,-0.074,-0.086
7,"Feb 12, 2019",0.01,0.011,0.007,-0.046,0.004,-0.378,0.001,-0.08,-0.033,0.02,-0.007,-0.001,0.079,-0.018,0.006,-0.01,-0.006,-0.057,-0.028,0.007,-0.012,-0.048,-0.005,-0.082,-0.043,0.001,0.19,0.001,-0.007,-0.233,0,-0.024,0.02,0.041,0.104,0.006,0.063,0.035,0,0,0.001,0.001,-0.145,-0.249,-0.49,-0.112,-0.201,0,0,-0.038,0,0.004
8,"Feb 19, 2019",0.021,0.025,0.008,-0.019,0.011,-0.539,-0.546,-0.08,-0.031,-0.054,0.015,0.089,0.103,-0.016,-0.023,-0.003,0.007,-0.013,-0.013,0.012,-0.006,-0.041,-0.058,-0.075,-0.003,-0.133,-0.751,-0.054,-0.01,-1,-0.414,-0.038,0.045,0.041,0.125,0.001,0.079,0.023,-0.333,-0.205,-0.1,-0.021,-0.119,0.007,-0.653,-0.242,-0.2,-0.08,-0.166,-0.071,-0.055,-0.058
9,"Feb 26, 2019",-0.009,0.022,0.002,-0.038,-0.024,0,-0.049,-0.079,-0.036,-0.071,-0.046,0.026,0.028,-0.074,0,-0.02,-0.016,-0.045,0.014,0.02,-0.006,-0.007,-0.074,-0.083,-0.012,-0.059,0.001,-0.06,0.002,0,-0.118,-0.039,-0.004,0.044,0.103,0.03,0.037,0.011,-0.086,-0.049,-0.027,0.006,-0.056,0,0.128,-0.05,-0.1,-0.072,0,0,-0.011,-0.056
10,"Mar 5, 2019",-0.03,-0.005,0.003,-0.023,-0.035,-0.096,0.001,-0.024,-0.062,-0.004,-0.018,-0.008,0.011,-0.05,-0.018,-0.018,-0.004,-0.029,-0.005,0,-0.025,-0.017,0,-0.07,-0.022,0.001,0,0,-0.004,-0.216,-0.059,-0.035,-0.034,0.047,0.088,-0.009,-0.035,-0.033,0,0,-0.036,-0.005,0,-0.116,-0.118,-0.1,-0.083,-0.026,0,0,0.001,-0.028
