Area,T-Value,Norm_P_Value,PrePVal*1000,PostPVal*1000
Cerrillos,0.514523604747732,0.018611834573409,1.57142857142857,-2.71428571428571
Estación Central,0.0001707664785,0.440875426246324,-0.270509977827051,-0.846153846153846
Maipú,0.316852374695698,0.002480862762145,1.55179704016913,-8.23529411764706
Pudahuel,0.848103621834038,0.000524711498279,2.89736842105263,-11.3333333333333
Quilicura,0.605451945400307,0.097745962928139,0.892361111111111,-3.05
Tiltil,0.109220167961298,0.014822835668096,1.09639953542393,-19.75
Colina,0.093817330359221,0.183245468753373,0.691351351351351,-8.31578947368421
Lampa,0.574277701207679,0.001223274285123,2.98130677847659,-9.92307692307692
Independencia,0.427577357493126,0.718397698981017,1.47088465845465,2.09090909090909
Huechuraba,0.624119476106183,0.000373549647773,2.45913978494624,-6.5
Cerro Navia,0.692045330775148,0.011561384392324,1.06363636363636,-3.07142857142857
Conchalí,0.002041807342027,0.463655981822293,-0.530330882352941,-1.47619047619048
Lo Prado,0.382658976862338,0.011584956784685,0,-4
Quinta Normal,0.036249555370013,0.008325746631699,1.32575757575758,-2.6
Recoleta,0.000715536127315,0.456696186771782,0.409007352941176,0.4
Renca,0.752117740490364,0.084288892649677,1.07142857142857,-1.5
San Joaquín,0.726679675517668,0.463063044225107,0.134848484848485,1.57142857142857
Providencia,5.82226348665731E-05,4.02872049068133E-05,-1.57142857142857,6
Santiago,0.000126287154501,0.002787242583279,-0.543358395989975,3.38461538461538
La Granja,0.105291411501011,0.429353468919274,-0.530663329161452,2.16666666666667
Macul,0.078513254154297,0.752531154545064,-0.111111111111111,-0.090909090909091
Ñuñoa,0.012284972340945,0.176845934826186,-0.421538461538461,1.84615384615385
Peñalolén,0.327840809385747,0.178967933221617,1.66666666666667,-1.41176470588235
La Reina,0.001223026768668,0.006075852488911,3.9198717948718,-9.6875
Vitacura,0.537057639558001,0.096573738382453,-0.394736842105263,6
Las Condes,0.037607845312772,0.060141963783512,1.78285714285714,-3.125
Lo Barnechea,0.437779280932662,0.728518931297777,0.174242424242424,1
La Florida,0.220763674816474,0.109375693249489,1.62134502923977,-1.66666666666667
La Pintana,0.530891811690826,0.063234195425466,0.520869565217391,-2.75
San José de Maipo,0.081260540161106,0.071677305894866,0,18.7857142857143
Pirque,0.959475335526131,0.026038894056581,4.81534090909091,-9.66666666666667
Puente Alto,0.29823724310076,0.013781097020112,1.37176079734219,-3
San Miguel,0.463349244151585,0.785880910491124,0.272727272727273,0.666666666666667
San Ramón,0.001050862134318,0.190327164757117,-1.65625,0.076923076923077
La Cisterna,2.8153554267308E-05,0.066269757166776,-3.45535714285714,-0.904761904761905
El Bosque,0.39616358708277,0.182161808103702,0.333333333333333,-2.25
Lo Espejo,0.137381832367393,0.059932624721865,0.526610644257703,-3.57142857142857
Pedro Aguirre Cerda,0.627555714278946,0.733127757877076,0.27953488372093,-0.222222222222222
Paine,0.052751839777356,0.079177953094648,1.59166666666667,-9.07692307692308
Buin,0.673056704909001,0.003295902036312,2.95359848484849,-9.31578947368421
Calera de Tango,0.620560866631485,0.006772901059232,3.3960113960114,-9.66666666666667
San Bernardo,0.715027489905787,0.002171822639892,2.53306686046512,-8.36363636363637
Melipilla,0.044315708627474,0.162659990593137,0,-10.875
San Pedro,0.010857044495693,0.115431878453545,0,-14.5454545454545
Alhué,0.021302711856144,0.400253665053611,0,-3
Curacaví,0.27379548100576,0.04743138496701,2.78104575163399,-10.7142857142857
María Pinto,0.146549417094346,0.171586903851095,0.322916666666667,-13
Isla de Maipo,0.095450640910992,0.01508416538387,2.60434782608696,-12.8888888888889
El Monte,0.093544982229692,0.050829022057102,1.57787878787879,-10.5555555555556
Padre Hurtado,0.479893291234255,0.003828137791598,3.47613636363636,-9.8
Peñaflor,0.743348905370109,0.004869837786703,2.12292609351433,-7.42857142857143
Talagante,0.382108334711502,0.036667335873473,2.65942028985507,-6.68421052631579
